"Taluk name","Total Agricultural Land Holders _Others_Numbers_Male","Total Agricultural Land Holders _Other_Numbers_Female","Total Agricultural Land Holders _Others_Numbers_Institution","Total Agricultural Land Holders _Others_Numbers_Total","Total Agricultural Land Holders _Others_Area_Male","Total Agricultural Land Holders _Others_Area_Female","Total Agricultural Land Holders _Others_Area_Institutions","Total Agricultural Land Holders _Others_Area_Total"
Afzalpur,33123,10790,0,43913,77024.75,22576.45,0,99601.2
Ajjampura,0,0,0,0,0,0,0,0
Aland,44376,10377,0,54753,108248.09,23103.41,0,131351.5
Alnavara,0,0,0,0,0,0,0,0
Alur,17313,4962,0,22275,19450.63,4929.89,0,24380.52
Anekal,29634,7790,0,37424,23455.17,5796.89,0,29252.06
Ankola,16386,5725,0,22111,9026.41,2594.52,0,11620.93
Annigeri,0,0,0,0,0,0,0,0
Arkalgud,42475,10294,0,52769,33741.32,8054.01,0,41795.33
Arsikere,62310,14883,0,77193,61280.46,13689.22,0,74969.68
Athani,83817,10803,0,94620,150135.33,17487.49,0,167622.82
Aurad,33503,8324,0,41827,70851.46,14811.95,0,85663.41
Babaleshwara,0,0,0,0,0,0,0,0
Badami,34008,6026,0,40034,68881.34,11508.29,0,80389.63
Bagalkote,20644,4738,0,25382,43541.24,9076.39,0,52617.63
Bagepalli,20674,3161,0,23835,29213.95,3902.18,0,33116.13
Bailhongal,49213,4437,0,53650,77094,5914,0,83008
Ballari,24320,7230,0,31550,52202.35,13553.23,0,65755.58
"Bangalore (North)",30597,8250,0,38847,21569.9,5633.06,0,27202.96
Bangalore-East,5423,1248,0,6671,4474.86,868.06,0,5342.92
Bangalore-South,12872,4068,0,16940,13052.31,3896.7,0,16949.01
Bangarpet,20234,4465,0,24699,15308.93,3068.99,0,18377.92
Bantwal,33006,15985,0,48991,24593.76,12101.71,0,36695.47
Basavakalyan,34981,8651,0,43632,63763.34,13771.9,0,77535.24
"Basavan Bagewadi",47540,8489,0,56029,136143.09,22909.54,0,159052.63
Belagavi,45776,3169,0,48945,56352,3530,0,59882
Belthangady,26096,11596,0,37692,22909.72,10108.78,0,33018.5
Belur,36673,8117,0,44790,40331.23,8556.48,0,48887.71
Bhadravathi,26491,9852,0,36343,20828.17,7694.22,0,28522.39
Bhalki,37941,11693,0,49634,62238.25,17080.58,0,79318.83
Bhatkal,11418,4250,0,15668,4821.23,1621.62,0,6442.85
Bidar,25514,7468,0,32982,40448.57,11504.17,0,51952.74
Bijapur,64734,9579,0,74313,174299.49,24244.74,0,198544.23
Bilagi,16587,3189,0,19776,30146.3,5371.46,0,35517.76
Bramhavara,18477,14903,0,33380,9737,8367,0,18104
Byadagi,16960,2040,0,19000,25998.11,2772.78,0,28770.89
Bynduru,14113,12117,0,26230,7917,5571,0,13488
Chadachana,0,0,0,0,0,0,0,0
Challakere,27050,8933,0,35983,65091.52,21708.3,0,86799.82
Chamarajanagara,46826,11655,0,58481,42696.24,9556.37,0,52252.61
Channagiri,35899,10344,0,46243,43960.28,12201.24,0,56161.52
Channapatna,45706,12414,0,58120,22806.12,6568.17,0,29374.29
Channarayapatna,86432,25435,0,111867,56617.23,15246.67,0,71863.9
Chikballapur,29718,6532,0,36250,19099.57,3701.17,0,22800.74
Chikkodi,80721,6260,0,86981,99739,6739,0,106478
Chikmagalur,34559,6893,0,41452,48535,10181.93,0,58716.93
Chiknayakanahalli,31438,6096,0,37534,43292.69,7417.26,0,50709.95
Chincholi,29256,8601,0,37857,65936.23,18569.46,0,84505.69
Chinthamani,29703,5592,0,35295,24542.18,4453.74,0,28995.92
Chitradurga,26918,10121,0,37039,50562.76,18395.04,0,68957.8
Chittaguppa,0,0,0,0,0,0,0,0
Chittapur,42259,8832,0,51091,94132.57,18941.32,0,113073.89
Dandelli,0,0,0,0,0,0,0,0
Davanagere,31414,8118,0,39532,40647.42,9998.37,0,50645.79
Devanahalli,28500,7027,0,35527,20509.27,4634.55,0,25143.82
"Devara Hipparagi",0,0,0,0,0,0,0,0
Devdurga,20569,4393,0,24962,44546.76,10391.35,0,54938.11
