Year,Fruits-Area,Fruits-Production,Vegetables-Area,Vegetables-Production,Flowers-Area,Flowers-Production(Loose),Nuts-Area,Nuts-Production,"Aroma & Medi.-Area","Aroma & Medi.-Production","Plantation Crops-Area","Plantation Crops-Production",Spices-Area,Spices-Production,Mushroom-Production,Honey-Production,"Grand Total-Area","Grand Total-Production"
2001-02,4010,43001,6156,88622,106,535,117,114,NA,NA,2984,9697,3220,3765,40,10,16593,145784
2002-03,3788,45203,6092,84815,70,735,117,114,NA,NA,2984,9697,3220,3765,40,10,16271,144379
2003-04,4661,45942,6082,88334,101,580,106,121,NA,NA,3102,13161,5155,5113,40,10,19207,153301
2004-05,5049,50867,6744,101246,118,659,106,121,131,159,3147,9835,3150,4001,40,10,18445,166938
2005-06,5324,55356,7213,111399,129,654,130,149,262,202,3283,11263,2366,3705,35,52,18707,182815
2006-07,5554,59563,7581,114993,144,880,132,150,324,178,3207,12007,2448,3953,37,51,19390,191812
2007-08,5857.2,65586.3,7848.3,128448.8,166.3,868.4,132,177,397,396,3189.6,11299.6,2617,4357,37,65,20207.4,211235.1
2008-09,6100.9,68465.5,7980.7,129076.8,166.5,987.4,136,172.6,430,430,3217.3,11336.4,2629.4,4144.9,37,65,20660.8,214715.6
2009-10,6329.2,71515.5,7984.8,133737.6,182.9,1020.6,141.8,193,508.6,572.5,3264.6,11928.2,2463.7,4016,40.6,65,20875.6,223089
2010-11,6383,74877.5,8494.5,146554.5,190.9,1031.3,NA,NA,510.1,605.2,3305.7,12007,2940.4,5350.5,40.6,65,21824.6,240531.6
2011-12,6705,76424.2,8989.5,156325.5,253.7,1651.6,NA,NA,505.6,565.7,3576.5,16358.7,3212.5,5951.5,NA,NA,23242.8,257277.1
2012-13,6982,81285,9205,162187,233,1729,NA,NA,557,918,3641,16985,3076,5744,NA,NA,23695,268847
2013-14,7216.3,88977.1,9396.1,162896.9,255,1754.5,NA,NA,493.3,895.3,3674.6,16301.2,3163.2,5908.3,17,76.2,24198.5,277352
2014-15,6242.3,86283,9493.7,167058.5,246.1,1640.6,NA,NA,507.8,830.8,3537.8,15644.4,3188,5732.4,28,76.2,23215.8,277743
