Crop,Weights,"Area-T.E. (2007-08)",Area-2007-08,Index-2007-08,Area-2008-09,Index-2008-09,Area-2009-10,Index-2009-10,Area-2010-11,Index-2010-11,Area-2011-12,Index-2011-12,Area-2012-13,Index-2012-13,Area-2013-14,Index-2013-14,Area-2014-15,Index-2014-15,Area-2015-16*,Index-2015-16*
Rice,16.89,43795.93,43914.4,100.27,45537.4,103.98,41918.4,95.71,42862.45,97.87,44006.25,100.48,42753.87,97.62,44136,100.78,44110.6,100.72,43388.08,99.07
Wheat,17.99,27505.57,28038.6,101.94,27752.4,100.9,28457.42,103.46,29068.59,105.68,29864.77,108.58,30003.34,109.08,30473.2,110.79,31465.6,114.4,30227.6,109.9
Jowar,1.59,8301.27,7764,93.53,7530.9,90.72,7787.2,93.81,7381.75,88.92,6245.08,75.23,6214.36,74.86,5793.4,69.79,6161.4,74.22,5653.4,68.1
Bajra,1.64,9553.47,9571.3,100.19,8752.5,91.62,8904.23,93.2,9612.31,100.62,8776.7,91.87,7297.42,76.39,7810.8,81.76,7318,76.6,6983.35,73.1
Maize,2.94,7866.53,8117.3,103.19,8173.8,103.91,8261.6,105.02,8553.17,108.73,8781.93,111.64,8672.63,110.25,9066.2,115.25,9185.4,116.77,8691.24,110.48
Ragi,0.36,1366.13,1387.1,101.53,1381.4,101.12,1268,92.82,1286.15,94.15,1175.78,86.07,1128.02,82.57,1193.7,87.38,1208.1,88.43,1258.91,92.15
"Small Millets",0.08,1037.9,1039.2,100.13,905.2,87.21,830.5,80.02,799.92,77.07,798.78,76.96,754.09,72.66,682.3,65.74,589.6,56.81,598.48,57.66
Barley,0.25,626.23,602.6,96.23,705.7,112.69,623.8,99.61,705.39,112.64,643.4,102.74,695.12,111,673.5,107.55,707.5,112.98,589.81,94.18
"Coarse Cereals",6.86,28751.53,28481.5,99.85,27449.5,97.89,27675.33,98.47,28338.69,101.21,26421.67,96.4,24761.64,92.09,25219.9,94.38,25170,87.54,23775.19,82.69
Cereals,41.73,100053.03,100434.5,100.92,100739.3,101.65,98051.15,99.5,100269.73,101.79,100292.69,103.3,97518.86,101.65,99829.1,104.04,100746.2,100.69,97390.86,97.34
Tur,1.69,3622.7,3725.8,102.85,3377.9,93.24,3465.72,95.67,4366.69,120.54,4007.37,110.62,3892.86,107.46,3904.9,107.79,3853.5,106.37,3745.85,103.4
Gram,3.47,7321.33,7543.7,103.04,7892.5,107.8,8169.15,111.58,9185.59,125.46,8299.06,113.35,8521.79,116.4,9927.4,135.6,8251.1,112.7,8349.07,114.04
Moong,0.9,3343.3,3726.7,111.47,2842.67,85.03,3070.06,91.83,3508.19,104.93,3387.1,101.31,2718.72,81.32,3382.9,101.18,3019,90.3,3832.11,114.62
Urad,1.11,3097.97,3188.4,102.92,2669.6,86.17,2958.1,95.49,3247.7,104.83,3215.9,103.81,3132.1,101.1,3063.5,98.89,3246.1,104.78,4019.1,129.73
Lentil,0.55,1427.17,1305.6,91.48,1375.95,96.41,1479.81,103.69,1597.44,111.93,1562.36,109.47,1423.4,99.74,1341.2,93.98,1468.8,102.92,770.04,53.96
"Other Pulses",1.2,4259.53,4142.8,97.26,3935.54,92.39,4139.5,97.18,4496.05,105.55,3990.4,93.68,3567.9,83.76,3593,84.35,3714.1,87.19,4543.26,106.66
"Total Pulses",8.92,23072,23633,102.34,22094.16,97.29,23282.34,102.15,26401.66,116.39,24462.2,107.55,23256.78,103.85,25212.9,112.83,23552.6,102.08,25259.43,109.48
Foodgrains,50.66,123125.03,124067.5,101.17,122833.46,100.88,121333.48,99.97,126671.39,104.36,124754.89,104.05,120775.63,102.04,125042,105.59,124298.8,100.95,122650.29,99.61
Groundnut,4.11,6214.37,6292,101.25,6164.9,99.2,5477.5,88.14,5856.12,94.24,5263.72,84.7,4721.05,75.97,5505.2,88.59,4768.7,76.74,4555.04,73.3
Castorseed,0.48,759.83,786.9,103.56,866.2,114,734.9,96.72,880.34,115.86,1470.88,193.58,1233.59,162.35,1063.2,139.93,1089.3,143.36,1037.27,136.51
Nigerseed,0.06,430.33,407.6,94.72,393.4,91.42,375.5,87.26,371,86.21,364.4,84.68,310.41,72.13,298.7,69.41,232.1,53.93,252.5,58.67
Sesamum,0.47,1741.83,1799.1,103.29,1809.1,103.86,1942.1,111.5,2083.2,119.6,1901.55,109.17,1705.76,97.93,1678.9,96.39,1746.1,100.24,1946.72,111.76
"Rapeseed & Mustard",3.6,6630.67,5825.5,87.86,6298.1,94.98,5588,84.28,6900.48,104.07,5893.51,88.88,6362.59,95.96,6645.7,100.23,5799.1,87.46,5761.88,86.9
Linseed,0.09,447.07,467.9,104.66,407.9,91.24,342,76.5,359.23,80.35,322.64,72.17,296.27,66.27,293.1,65.56,285.5,63.86,297.77,66.61
Safflower,0.1,353.97,320.3,90.49,294.6,83.23,287.8,81.31,243.85,68.89,250.41,70.75,183.51,51.84,177.8,50.23,174.9,49.41,144.16,40.73
