Crop,Weights,"Production - T.E. (2007-08)","Production - 2007-08","Index - 2007-08","Production - 2008-09","Index - 2008-09","Production - 2009-10","Index - 2009-10","Production - 2010-11","Index - 2010-11","Production - 2011-12","Index - 2011-12","Production - 2012-13","Index - 2012-13","Production - 2013-14","Index - 2013-14","Production - 2014-15","Index - 2014-15","Production - 2015-16*","Index - 2015-16*"
Rice,16.89,93947.2,96682.4,102.91,99172,105.56,89083.2,94.82,95970,102.15,105301,112.09,105231.6,112.01,106645.5,113.52,105482.1,112.28,104316.83,111.04
Wheat,17.99,74577.13,78570.2,105.35,80679.4,108.18,80803.6,108.35,86873.95,116.49,94882.06,127.23,93506.48,125.38,95849.8,128.52,86526.6,116.02,93500.8,125.37
Jowar,1.59,7568.77,7925.9,104.72,7245.6,95.73,6698.2,88.5,7003.15,92.53,5979.2,79,5281.48,69.78,5541.8,73.22,5445.3,71.94,4411.33,58.28
Bajra,1.64,8692.6,9970.1,114.7,8887.1,102.24,6506.4,74.85,10369.91,119.3,10276.02,118.22,8741.98,100.57,9250.1,106.41,9184.2,105.66,8057.35,92.69
Maize,2.94,16254.1,18955.4,116.62,19731.4,121.39,16719.5,102.86,21725.82,133.66,21759.37,133.87,22258.22,136.94,24259.5,149.25,24172.7,148.72,21806.54,134.16
Ragi,0.36,1983.13,2152.2,108.53,2039.9,102.86,1888.5,95.23,2193.53,110.61,1929.24,97.28,1574.41,79.39,1982.9,99.99,2060.9,103.92,1793.31,90.43
"Small Millets",0.08,500.63,550.7,110,444.8,88.85,381.9,76.28,442.01,88.29,451.53,90.19,435.65,87.02,429.9,85.87,385.9,77.08,365.29,72.97
Barley,0.25,1248.2,1196.1,95.83,1689.1,135.32,1354.7,108.53,1662.94,133.23,1618.65,129.68,1752.45,140.4,1830.7,146.67,1613,129.23,1505.43,120.61
"Coarse Cereals",6.86,36247.43,40750.4,112.13,40037.9,110.03,33549.2,92.34,43397.35,118.94,42014.01,114.83,40044.19,109.21,43294.9,117.97,42862,118.25,37939.24,104.67
Cereals,41.73,204771.77,216003,105.48,219889.3,107.43,203436,100.24,226241.3,111.09,242197.08,119.06,238782.27,117.31,245790.2,120.72,234870.7,114.7,235756.87,115.13
Tur,1.69,2709.33,3075.9,113.53,2265.5,83.62,2464.6,90.97,2861.12,105.6,2654.05,97.96,3022.68,111.57,3174.4,117.17,2807.3,103.62,2457.93,90.72
Gram,3.47,5894.07,5748.6,97.53,7060.2,119.78,7475.9,126.84,8221.09,139.48,7702.32,130.68,8832.48,149.85,9526.3,161.63,7332.3,124.4,7169.08,121.63
