State,District,"Wheat (in Hectare)","Maize(in Hectare)","Rice (in Hectare)","Barley (in Hectare)","Ragi  (in Hectare)","Pulses (in Hectare)","Common millets (in Hectare)","Total Food grains (in Hectare)","Chillies (in Hectare)","Ginger (in Hectare)","Oil seeds (in Hectare)"
"Himachal Pradesh",Bilaspur,23810,24610,1440,140,6,151,38,50195,5,90,321
"Himachal Pradesh",Chamba,18142,26758,2990,4740,22,3939,1050,57641,48,4,2397
"Himachal Pradesh",Hamirpur,30198,33223,1840,95,0,42,25,65423,10,8,78
"Himachal Pradesh",Kangra,84675,56445,34080,2298,4,4203,102,181807,6,21,3070
"Himachal Pradesh",Kinnaur,180,85,10,705,10,363,1345,2698,0,0,0
"Himachal Pradesh",Kullu,13575,16100,1328,1965,220,3558,133,36879,65,84,262
"Himachal Pradesh",Lahaul-spiti,88,25,0,555,0,398,45,1111,8,0,15
"Himachal Pradesh",Mandi,58540,50290,17924,3401,615,4529,652,135951,0,0,974
"Himachal Pradesh",Shimla,7635,8701,765,2590,460,4935,1595,26681,90,65,322
"Himachal Pradesh",Sirmaur,25675,18890,6555,2275,420,4346,119,58280,45,1782,1088
"Himachal Pradesh",Solan,28075,21008,3978,1640,0,1772,45,56518,289,206,621
"Himachal Pradesh",Una,28505,31309,1710,0,0,161,65,61750,17,4,1256
"Himachal Pradesh",Total,319098,287444,72620,20404,1757,28397,5214,734934,583,2264,10404
