"Crop/Group of Crops","Projected Demand  by Financial Year 2016-17","Projected Demand  by Financial Year 2020-21","Projected Supply  by Financial Year 2016-17","Actual Production  for Financial Year 2006-07","Actual Production  for Financial Year 2011-12"
Rice,110,117,98-106,93,104
Wheat,89,98,93-104,76,94
Maize,19,22,NA,15,22
"Coarse Cereals",36,38,42-48,34,42
Cereals,235,253,240-251,203,240
Pulses,22,25,18-21,14,17
"Food grains",257,277,258-272,217,257
"Oilseeds/ Edible Oils",59,71,33-41,24,30
"Sugarcane/ Sugar",279,312,365-411,355,358
Vegetables,161,189,NA,116,147
Fruits,97,124,NA,59,75
Milk,141,173,NA,103,122
Fish,11,14,NA,6.9,8.3
"Meat, other than poultry",3.7,5,NA,2.3,2.7
"Poultry Meat",3.3,4.3,NA,NA,2.2
