District/Year,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978
Gurdaspur,929,685,623,675,675,323,148,249,344,499,724,567,453,503,480,500,502,551,541,551,518,520,403,445,358,405,535,437,364,416,424,434,291,358,403,452,485,307,317,362,323,261,353,306
Pathankot,114,87,77,84,83,46,24,47,50,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,457,291,294,438,439,313,98,201,301,353,365,293,270,272,221,772,694,700,1013,685,697,752,697,724,625,413,829,842,694,604,696,810,543,698,721,721,752,479,517,534,405,475,655,545
"Tarn Taran",1030,763,798,738,738,362,233,674,504,380,408,340,318,342,426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,912,763,770,787,788,633,533,511,508,504,544,559,496,524,516,527,541,527,523,478,428,501,374,359,323,225,389,361,355,342,346,429,291,397,409,340,373,296,299,277,278,243,308,240
Jalandhar,1145,992,987,1023,1020,868,778,660,786,749,765,787,736,698,662,704,687,565,527,469,522,521,452,462,501,520,640,658,610,640,621,684,428,536,639,542,517,408,428,395,377,338,329,235
"SBS Nagar",418,373,341,362,363,307,267,236,269,252,281,283,244,236,228,258,241,193,179,166,183,168,149,139,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,501,442,398,415,415,338,255,263,255,280,302,286,217,201,187,207,224,221,196,202,224,205,169,176,144,147,172,161,132,153,157,157,98,103,149,131,131,98,94,105,94,89,108,104
Rupnagar,270,232,213,226,226,192,176,174,180,156,176,193,173,163,162,251,236,209,166,180,205,176,137,133,117,117,156,159,133,134,131,138,95,109,121,113,100,87,83,72,70,59,49,33
"SAS Nagar",225,156,141,161,160,148,120,128,134,125,145,128,107,102,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludhiana,1955,1729,1681,1825,1771,1641,1525,1504,1574,1429,1515,1683,1611,1667,1581,1688,1774,1637,1503,1304,1314,1175,1047,1122,978,830,1089,1223,1090,1072,1019,1151,757,982,1040,897,844,814,804,634,518,491,329,254
Ferozpur,1283,1034,1132,1135,1134,838,728,989,868,723,941,953,1233,1195,1159,1297,1303,1552,1363,1131,1097,1249,1084,1185,883,820,1164,1111,957,922,893,931,658,876,963,883,888,760,798,768,600,592,612,504
Fazilka,281,121,247,302,301,101,43,146,150,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faridkot,744,599,707,744,744,570,483,505,558,527,566,605,516,348,371,449,399,456,458,362,365,429,360,353,240,672,994,810,711,738,664,706,523,642,698,667,674,630,548,486,348,403,360,319
"Sri Muktsar Sahib",997,722,875,831,831,563,379,496,547,397,517,641,669,450,416,512,500,462,493,376,430,489,357,212,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moga,1449,1270,1306,1403,1403,1305,1170,1196,1159,1009,1054,1169,1154,1079,1029,1146,1059,980,899,780,788,559,561,616,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathinda,1414,1172,1360,1325,1325,1017,802,816,790,575,702,857,766,523,515,601,680,677,618,452,465,448,341,297,196,160,222,184,130,313,250,202,96,185,202,202,246,131,67,44,25,31,23,10
Mansa,904,611,712,737,737,537,407,461,454,320,379,546,445,383,404,441,535,480,453,348,406,417,344,353,222,163,266,186,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sangrur,2256,1814,1838,1998,1998,1755,1479,1573,1574,1381,1473,1768,1550,1669,2342,2459,2622,2338,2149,1930,1793,1793,1621,1860,1472,1280,1606,1640,1519,1450,1443,1440,828,1151,1088,1006,937,802,712,591,482,494,408,262
Barnala,960,846,858,933,932,865,768,734,709,598,679,789,698,675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patiala,1631,1243,1245,1355,1355,1184,1030,1222,1520,1166,1212,1344,1138,1318,1336,1485,1526,1428,1239,1272,1207,1237,998,1069,945,841,1062,997,967,1118,1238,1255,942,1062,1134,1101,1003,965,977,898,789,818,791,623
"Fatehgarh Sahib",521,436,424,475,476,427,395,407,431,385,388,446,440,454,448,497,481,462,395,380,415,338,283,338,258,270,308,294,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Punjab,20396,16381,17027,17972,17914,14333,11841,13192,13665,11925,13136,14237,13234,12802,12577,13794,14004,13438,12715,11066,11057,10977,9377,9843,7925,6863,9432,9063,8066,7902,7882,8337,5550,7099,7567,7055,6950,5777,5644,5166,4309,4294,4325,3435
