"Name of crop",2002,2003,2004,2005,2006,2007,2008,2009
Potato,NA,NA,NA,0,NA,NA,0,0
"Vegetable crops",NA,0,0,0,NA,0,0,0
Cashew-nut,NA,NA,NA,0,NA,0,NA,NA
"Coconut (palms)",0,NA,NA,NA,NA,NA,0,NA
"Turmeric/ spice crops",0,NA,0,0,0,0,0,NA
Fruits,0,NA,NA,0,0,0,0,NA
"Betel -Vine",0,NA,NA,NA,NA,NA,NA,NA
"Medicinal & Aromatic Plant",0,NA,0,0,0,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tuber Crops",NA,NA,NA,0,0,NA,NA,NA
Crops,NA,NA,NA,0,0,NA,NA,NA
"Floricultural Crops",NA,NA,NA,0,0,NA,0,NA
"Plantation Crops",NA,NA,NA,NA,0,NA,NA,NA
