"Sl No",District,Taluk,"Pesticides Dealers (Numbers)"
1,Belgaum,Chikkodi,139
2,Belgaum,Athani,182
3,Belgaum,Raibag,132
4,Belgaum,Gokak,170
5,Belgaum,Hukkeri,107
6,Belgaum,Belgaum,117
7,Belgaum,Khanapur,26
8,Belgaum,Savadatti,80
9,Belgaum,Bailhongal,51
10,Belgaum,Ramadurg,36
11,Belgaum,Kittur,23
12,Belgaum,Nippani,42
13,Bagalkot,Jamakhandi,118
14,Bagalkot,Bilagi,40
15,Bagalkot,Mudhol,98
16,Bagalkot,Badami,26
17,Bagalkot,Bagalkot,65
18,Bagalkot,Hungund,29
19,Bagalkot,Guledagudda,11
20,Bagalkot,Illkal,9
21,Vijayapura,Bijapur,107
22,Vijayapura,Indi,85
23,Vijayapura,Sindagi,164
24,Vijayapura,"Basvana Bagewadi",46
25,Vijayapura,Muddebihal,48
26,Vijayapura,Nidagundi,51
27,Vijayapura,Babaleshwar,57
28,Vijayapura,Chadachan,44
29,Vijayapura,Talikote,22
30,Vijayapura,Thikota,62
31,Vijayapura,Devarahipparagi,0
32,Vijayapura,Kholar,0
33,Kalaburgi,Aland,66
34,Kalaburgi,Afzalpur,51
35,Kalaburgi,Gulbarga,117
36,Kalaburgi,Chincholi,54
37,Kalaburgi,Sedam,36
38,Kalaburgi,Chittapur,44
39,Kalaburgi,Jevargi,94
40,Kalaburgi,Kalagi,13
41,Kalaburgi,"Gulbarga North",10
42,Kalaburgi,Yedrami,51
43,Bidar,Basavakalyan,66
44,Bidar,Bhalki,84
45,Bidar,Aurad,67
46,Bidar,Bidar,58
47,Bidar,Humnabad,41
48,Bidar,Chitaguppa,11
49,Raichur,Lingasugur,95
50,Raichur,Devdurga,157
51,Raichur,Raichur,270
52,Raichur,Manvi,231
53,Raichur,Sindhanur,287
54,Raichur,Maski,35
55,Koppal,Yelburga,37
56,Koppal,Kushtagi,50
57,Koppal,Gangavathi,208
58,Koppal,Koppal,74
59,Koppal,Karatagi,57
60,Gadag,Naragund,48
61,Gadag,Ron,28
62,Gadag,Gadag,55
63,Gadag,Shirahatti,16
64,Gadag,Mundargi,23
65,Gadag,Gajendragad,28
66,Gadag,Lakshmeshwar,21
67,Dharwad,Dharwad,77
68,Dharwad,Navalgund,59
69,Dharwad,Hubli,156
70,Dharwad,Kalgatigi,41
71,Dharwad,Kundgol,56
72,"Uttar Kannada",Karwar,1
73,"Uttar Kannada",Joida,0
74,"Uttar Kannada",haliyal,13
