Year,Month,Product,"Quantity(In 000 MTs)"," N(In 000 MTs)"," P(In 000 MTs)","K(In 000 MTs)"
2014-2015,April,UREA,1814.7,834.762,0,0
2014-2015,April,DAP,209.5,37.71,96.37,0
2014-2015,April,A/S,34.3,7.203,0,0
2014-2015,April,20:20,162.4,32.48,32.48,0
2014-2015,April,15:15:15,20,3,3,3
2014-2015,April,17:17:17,7.3,1.241,1.241,1.241
2014-2015,April,SSP,225,0,36,0
2014-2015,April,10:26:26,34.3,3.43,8.918,8.918
2014-2015,April,12:32:16,52.8,6.336,16.896,8.448
2014-2015,April,28:28:00,0,0,0,0
2014-2015,April,14:35:14,1.3,0.182,0.455,0.182
2014-2015,April,19:19:19,0,0,0,0
2014-2015,April,16:20,0,0,0,0
2014-2015,April,CAN,0,0,0,0
2014-2015,April,23:23,0,0,0,0
2014-2015,April,14:28:14,0,0,0,0
2014-2015,May,UREA,1875.4,862.684,0,0
2014-2015,May,DAP,299.8,53.964,137.908,0
2014-2015,May,A/S,39.1,8.211,0,0
2014-2015,May,20:20,269.5,53.9,53.9,0
2014-2015,May,15:15:15,53.8,8.07,8.07,8.07
2014-2015,May,17:17:17,11.5,1.955,1.955,1.955
2014-2015,May,SSP,225,0,36,0
2014-2015,May,10:26:26,92.4,9.24,24.024,24.024
2014-2015,May,12:32:16,75,9,24,12
2014-2015,May,28:28:00,39.2,10.976,10.976,0
2014-2015,May,14:35:14,0,0,0,0
2014-2015,May,19:19:19,0,0,0,0
2014-2015,May,16:20,9.2,1.472,1.84,0
2014-2015,May,CAN,0,0,0,0
2014-2015,May,23:23,0,0,0,0
2014-2015,May,14:28:14,0,0,0,0
2014-2015,June,UREA,1902.7,875.242,0,0
2014-2015,June,DAP,282.9,50.922,130.134,0
2014-2015,June,A/S,29.3,6.153,0,0
2014-2015,June,20:20,263.5,52.7,52.7,0
2014-2015,June,15:15:15,18.8,2.82,2.82,2.82
2014-2015,June,17:17:17,6.9,1.173,1.173,1.173
2014-2015,June,SSP,225,0,36,0
2014-2015,June,10:26:26,119.4,11.94,31.044,31.044
2014-2015,June,12:32:16,78.3,9.396,25.056,12.528
2014-2015,June,28:28:00,40.3,11.284,11.284,0
2014-2015,June,14:35:14,13,1.82,4.55,1.82
2014-2015,June,19:19:19,0,0,0,0
2014-2015,June,16:20,1.7,0.272,0.34,0
2014-2015,June,CAN,0,0,0,0
2014-2015,June,23:23,0,0,0,0
2014-2015,June,14:28:14,0,0,0,0
2014-2015,July,UREA,1945.3,894.838,0,0
2014-2015,July,DAP,273.4,49.212,125.764,0
2014-2015,July,A/S,29.3,6.153,0,0
2014-2015,July,20:20,314.8,62.96,62.96,0
2014-2015,July,15:15:15,18.7,2.805,2.805,2.805
2014-2015,July,17:17:17,1.3,0.221,0.221,0.221
2014-2015,July,SSP,225,0,36,0
2014-2015,July,10:26:26,213.1,21.31,55.406,55.406
2014-2015,July,12:32:16,58.4,7.008,18.688,9.344
2014-2015,July,28:28:00,31.6,8.848,8.848,0
2014-2015,July,14:35:14,16.8,2.352,5.88,2.352
2014-2015,July,19:19:19,0,0,0,0
2014-2015,July,16:20,0,0,0,0
2014-2015,July,CAN,0,0,0,0
2014-2015,July,23:23,0,0,0,0
2014-2015,July,14:28:14,0,0,0,0
