State,District,"Wheat ( in Metric Tonnes)","Maize ( in Metric Tonnes)","Rice ( in Metric Tonnes)","Barley ( in Metric Tonnes)","Ragi ( in Metric Tonnes)","Pulses ( in Metric Tonnes)","Common millets ( in Metric Tonnes)","Total Food grains ( in Metric Tonnes)","Chillies ( in Metric Tonnes)","Ginger ( in Metric Tonnes)","Oil  seeds ( in Metric Tonnes)"
"Himachal Pradesh",Bilaspur,48096,54634,2851,231,6,141,0,105959,2,361,159
"Himachal Pradesh",Chamba,41545,68768,4485,7726,22,8227,1029,131802,21,15,1176
"Himachal Pradesh",Hamirpur,58886,88041,2907,167,0,34,0,150035,5,30,33
"Himachal Pradesh",Kangra,190519,136597,52824,4205,4,7674,93,391916,3,86,1992
"Himachal Pradesh",Kinnaur,196,217,15,1325,10,716,874,3353,0,0,0
"Himachal Pradesh",Kullu,21992,42826,1763,3694,216,7760,133,78384,40,336,167
"Himachal Pradesh",Lahaul-spiti,125,69,0,988,0,923,29,2134,4,0,8
"Himachal Pradesh",Mandi,117665,128742,29216,6054,744,9460,815,292696,0,0,986
"Himachal Pradesh",Shimla,13819,23058,780,4558,647,9128,1611,53601,52,188,175
"Himachal Pradesh",Sirmaur,40567,55159,7932,3890,411,9030,73,117062,21,8803,611
"Himachal Pradesh",Solan,43236,59453,9985,2575,0,2007,0,117256,121,840,373
"Himachal Pradesh",Una,43043,87039,4121,0,0,128,0,134331,7,16,764
"Himachal Pradesh",Total,619689,744603,116879,35413,2060,55228,4657,1578529,276,10675,6444
