Sl.No.,District,"Insurance company","Sum of ACK_application_Count","Total Claim initiated",,"Total Claims settled",,"Total Claims pending",,"Pending claim amount at Escrow account ",
NA,NA,NA,NA,"No. Of Beneficiaries",Claims,"No.of Beneficiaries",Claims,"No.of Beneficiaries",Claims,"Beneficiaries pending",Claims
1,Bagalakote,AIC,191670,125689,0,125689,0,0,0,0,0
2,Ballary,AIC,38600,25315,0,25315,0,0,0,0,0
3,"Bangalore urban",AIC,162,0,0,0,0,0,0,0,0
4,Bidar,AIC,56102,11671,0,11671,0,0,0,0,0
5,Chikkamagaluru,AIC,16362,11470,1.34,11470,1.34,0,1.34,47,1.34
6,Chitradurga,AIC,2465,1555,0,1555,0,0,0,0,0
7,Dakshinakannada,AIC,82,21,0,21,0,0,0,0,0
8,Dharwad,AIC,176203,159886,0,159886,0,0,0,0,0
9,Gadag,AIC,164053,155877,0,155877,0,0,0,0,0
10,Mysuru,AIC,51067,49345,0.42,49345,0.42,0,0.42,22,0.42
11,Ramanagara,AIC,9589,9361,0.14,9361,0.14,0,0.14,4,0.14
12,Shivamogga,AIC,970,730,0,730,0,0,0,0,0
13,Udupi,AIC,588,13,0,13,0,0,0,0,0
14,Vijayapur,AIC,205779,85546,44.05,85546,44.05,0,44.05,947,44.05
NA,"AIC Total",NA,913692,636479,45.95,636479,45.95,0,45.95,1020,45.95
15,Belagavi,Sriram,322195,183885,11.1,183885,11.1,0,11.1,116,11.1
16,Davanagere,Sriram,5497,4468,6.11,4468,6.11,0,6.11,90,6.11
17,Haveri,Sriram,45060,39205,67.8,39205,67.8,0,67.8,1172,67.8
18,Kolar,Sriram,10132,9963,1.59,9963,1.59,0,1.59,58,1.59
19,Koppal,Sriram,79127,71380,250.9,71380,250.9,0,250.9,2974,250.9
20,Uttarakannada,Sriram,2953,1193,0,1193,0,0,0,0,0
21,Yadgiri,Sriram,34717,10191,1.14,10191,1.14,0,1.14,35,1.14
NA,"Shriram Total",NA,499681,320285,338.64,320285,338.64,0,338.64,4445,338.64
22,Chamarajanagar,UIIC,50328,49132,29.11,49132,29.11,0,29.11,407,29.11
23,Chikkaballapura,UIIC,334,210,0.8,210,0.8,0,0.8,7,0.8
24,Hassan,UIIC,27340,22850,2.44,22850,2.44,0,2.44,80,2.44
25,Kalaburgi,UIIC,63744,8766,4.86,8766,4.86,0,4.86,226,4.86
26,Mandya,UIIC,86225,80131,31.2,80131,31.2,0,31.2,1694,31.2
27,Raichur,UIIC,95962,68966,771.59,68966,771.59,0,771.59,11006,771.59
28,Tumakuru,UIIC,1218,1177,0.13,1177,0.13,0,0.13,3,0.13
NA,"UIIC Total",NA,325151,231232,840.13,231232,840.13,0,840.13,13423,840.13
NA,"Grand Total",NA,1738524,1187996,1224.72,1187996,1224.72,0,1224.72,18888,1224.72
