Category,"State/ UT Name",Fruits-Area-2009-10,Fruits-Production-2009-10,Fruits-Area-2010-11,Fruits-Production-2010-11,Fruits-Area-2011-12,Fruits-Production-2011-12,Fruits-Area-2012-13,Fruits-Production-2012-13,Fruits-Area-2013-14,Fruits-Production-2013-14,"Fruits-Area-2014-15 @","Fruits-Production-2014-15 @",Vegetables-Area-2009-10,Vegetables-Production-2009-10,Vegetables-Area-2010-11,Vegetables-Production-2010-11,Vegetables-Area-2011-12,Vegetables-Production-2011-12,Vegetables-Area-2012-13,Vegetables-Production-2012-13,Vegetables-Area-2013-14,Vegetables-Production-2013-14,"Vegetables-Area-2014-15 @","Vegetables-Production-2014-15 @",Flowers-Area-2009-10,Flowers-Production-2009-10,Flowers-Area-2010-11,Flowers-Production-2010-11,Flowers-Area-2011-12,Flowers-Production-2011-12,Flowers-Area-2012-13,Flowers-Production-2012-13,Flowers-Area-2013-14,Flowers-Production-2013-14,"Flowers-Area-2014-15 @","Flowers-Production-2014-15 @","Aroma & Medi.-Area-2009-10","Aroma & Medi.-Production-2009-10","Aroma & Medi.-Area-2010-11","Aroma & Medi.-Production-2010-11","Aroma & Medi.-Area-2011-12","Aroma & Medi.-Production-2011-12","Aroma & Medi.-Area-2012-13","Aroma & Medi.-Production-2012-13","Aroma & Medi.-Area-2013-14","Aroma & Medi.-Production-2013-14","Aroma & Medi.-Area-2014-15 @","Aroma & Medi.-Production-2014-15 @","Plantation Crops-Area-2009-10","Plantation Crops-Production-2009-10","Plantation Crops-Area-2010-11","Plantation Crops-Production-2010-11","Plantation Crops-Area-2011-12","Plantation Crops-Production-2011-12","Plantation Crops-Area-2012-13","Plantation Crops-Production-2012-13","Plantation Crops-Area-2013-14","Plantation Crops-Production-2013-14","Plantation Crops-Area-2014-15 @","Plantation Crops-Production-2014-15 @",Spices-Area-2009-10,Spices-Production-2009-10,Spices-Area-2010-11,Spices-Production-2010-11,Spices-Area-2011-12,Spices-Production-2011-12,Spices-Area-2012-13,Spices-Production-2012-13,Spices-Area-2013-14,Spices-Production-2013-14,"Spices-Area-2014-15 @","Spices-Production-2014-15 @",Honey-Production-2013-14,"Honey-Production-2014-15 @","Grand Total-Area-2009-10","Grand Total-Production-2009-10","Grand Total-Area-2010-11","Grand Total-Production-2010-11","Grand Total-Area-2011-12","Grand Total-Production-2011-12","Grand Total-Area-2012-13","Grand Total-Production-2012-13","Grand Total-Area-2013-14","Grand Total-Production-2013-14","Grand Total-Area-2014-15 @","Grand Total-Production-2014-15 @"
State,"Andhra Pradesh",921.1,12918.3,646.1,9417,671.69,9841.07,940.74,13939.08,640.05,10510.56,547.85,9124.22,331.3,5426.2,651.2,11847.6,660.97,12025.28,686.08,12104.65,439.64,8149.76,354.86,6445.6,21.4,130.3,21.8,133.7,64.15,389.01,34.85,224.41,20.37,136.27,14.39,103.32,20.3,79.9,20.3,79.9,0.26,3.84,0.29,4.36,1.88,3.51,0.45,1.19,304.3,768.9,304.8,777.2,350,1396.11,334.14,1452.97,329.59,1364.68,315.42,1200.96,312.5,1159.7,289.2,1069.2,292.82,1129.31,312.62,1187.68,169.36,775.82,169.36,775.82,1.5,1.5,1910.9,20483.3,1933.4,23324.6,2039.89,24784.62,2308.72,28913.15,1600.89,20972.09,1402.33,17673.82
State,"Arunachal Pradesh",72,107.9,72,107.9,85.11,308.86,86.86,312.24,89.09,321.26,90,331.4,4.2,38.5,4.2,38.5,6.34,83.5,1.52,37.56,1.4,35,1.7,41,1.22,NA,1.2,NA,1.22,0,0.02,0.01,0.02,0.01,0.02,0.01,NA,NA,NA,NA,5.15,109.18,5.15,109.18,5.15,109.18,5.15,109.18,NA,NA,0,0,0,0,0,0,1,0.56,0,0,7.6,43.3,10.1,61.6,10.05,61.6,10.17,64.27,10.17,64.27,10.17,64.27,NA,NA,89.82,190.3,87.5,208,107.87,563.14,103.72,523.26,106.83,532.14,107.04,547.72
State,Assam,117.3,1575.5,137.5,1763.5,142.76,1851.77,150.71,2073.82,144.68,2007.8,155.51,2242.74,255.2,4569.9,260.1,2925.5,266,3045.56,278.74,3415.07,281.4,3031.9,296.23,4752.13,NA,NA,NA,NA,0,0,1.8,11.7,3,20,3.53,22.8,NA,NA,0,0,NA,NA,0,0,4.35,0.16,4.99,0.16,88.8,163.7,88.8,163.7,94.52,268.16,98.11,183.36,97.8,174.56,98.76,238.06,27.4,18.6,89.2,222.1,93.05,261.56,96.66,287.5,93.08,279.14,93.08,279.14,NA,NA,488.7,6327.7,575.6,5074.8,596.33,5427.05,626.02,5971.45,624.31,5546.26,652.1,7568.07
State,Bihar,293.6,3464.9,296.4,3911.8,299.24,3946.39,301.45,4249.19,302.07,4013.58,303.79,4000.4,836,13906.8,845,14630.2,857.01,15552.38,861.79,16325.68,809.8,15097.77,842,14467.15,0.2,2.3,0.2,2.3,0.9,8.72,1.02,10.15,0.82,7.63,1.43,13.68,NA,NA,NA,NA,3.56,0.45,3.82,0.5,4.56,0.59,4,0.69,NA,NA,0,0,15.24,97.54,15.25,97.14,15.25,97.33,14.9,97.3,11.3,12.4,13,12.5,13.01,12.54,13.01,12.54,13.01,12.54,13.01,12.54,6.5,6.5,1141.1,17386.4,1154.6,18556.8,1188.96,19618.02,1196.34,20695.19,1145.51,19238.68,1179.12,18601.02
State,Chhattisgarh,125.3,1185.9,177,1569.6,185.19,1569.18,195.61,1702.32,212.89,1930.18,221.59,2113.36,315.4,3601.1,345.8,4248.8,351.55,4582.63,380.66,4993.85,403.43,5465.92,418.63,5739.51,4.09,13.5,6.9,27.1,8.41,32.85,9.79,37.75,10.13,45.73,10.96,50.03,11.2,64.5,11.2,64.5,12.12,91.41,10.27,60.28,8.44,50.25,7.95,55.19,33,17,33.7,25.3,14.29,21.32,14.91,17.47,15.12,23.96,15.41,27.67,11.6,7.2,11.7,8.3,11.67,8.32,12.31,15.37,11.8,8.3,11.69,11.65,0.5,0.5,500.59,4889.2,586.3,5943.6,583.23,6305.71,623.55,6827.04,661.81,7524.84,686.23,7997.91
State,Goa,11,78.4,11,78.6,11.13,154.67,11.16,80.9,11.28,81.19,11.46,83.1,5.7,57.8,5.7,57.8,6.5,78.2,6.65,80.51,7,79.92,7.19,82,NA,NA,NA,NA,0,0,0,0,0.01,0.02,0.01,0.03,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,82.5,116.8,83.5,114.8,84.93,120.62,84.91,117.27,85.46,123.43,85.7,122.8,0.7,0.2,0.7,0.2,0.73,0.23,0.73,0.23,0.91,0.28,0.91,0.28,NA,NA,99.9,253.2,100.9,251.4,103.29,353.72,103.45,278.91,104.66,284.94,105.26,288.33
State,Gujarat,352.9,6985.1,349.9,7245,353.73,7522.43,381.5,8413.17,370.76,8001.96,370.76,8001.96,406.8,7255.5,515.9,9379.5,517.63,10049.81,537.64,10520.69,582.28,11571.24,578.35,11543.29,12.53,49.5,12.5,49.5,15.96,135.5,17.27,149.27,17.3,163.6,17.3,163.6,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,16,108,23.1,129.3,28.56,240.75,29.09,246.4,39.6,227.57,39.6,227.57,266.3,400.9,479.4,792.6,551.67,882.14,551.68,882.14,541.82,848.48,608.86,1019.96,0.1,0.1,1054.53,14799,1380.8,17595.9,1467.55,18830.63,1517.18,20211.67,1551.76,20812.95,1614.87,20956.48
State,Haryana,41.5,303.9,46.3,356.6,47.03,476.55,49.53,516.07,50.59,554.9,51.39,596.15,300.9,3987,346.4,4649.3,356.77,5068.42,360.33,5011.31,373.17,5565.9,368.42,5291.52,6.2,60.3,6.2,60.3,6.34,64.15,6.47,64.72,6.48,65.45,6.07,62.85,1,2.8,1,0.6,1.73,1.13,1.75,1.14,1.76,1.14,0.55,1.23,NA,NA,0,0,0,0,0,0,0,0,0,0,5.2,24.5,15.1,77.9,12.8,61.69,16.13,82.82,16.13,82.82,16.13,82.82,4,4,354.8,4386.6,415,5152.8,424.67,5671.94,434.21,5676.08,448.13,6285.47,442.56,6043.49
State,"Himachal Pradesh",208.4,382.7,214.8,1031.1,214.57,372.82,218.03,555.71,220.71,866.34,220.71,751.94,79.8,1390.7,80.4,1474.9,85.68,1561.51,79.46,1521.13,86.6,1635.88,83.75,1585.37,0.68,0.6,0.7,0.6,0.86,35.29,0.91,37.71,0.82,28.14,0.8,27.21,NA,NA,NA,NA,NA,NA,0,0,1.11,0.9,1.11,0.9,NA,NA,0,0,0,0,10.26,0,0,0,0,0,4.4,18.6,6.6,19.6,4.77,19.26,7.3,10.26,8.43,14.16,8.43,14.16,5,5,304.28,1803.3,302.5,2533.6,305.88,1988.88,315.96,2124.81,317.67,2562.77,314.8,2396.12
State,"Jammu & Kashmir",209.8,1534.7,325.6,2220.5,455.74,2329.89,347.22,1742.14,355.21,2073.94,352.38,1542.68,69.8,1374.2,69.7,1559.1,63.06,1395.47,63.06,1395.47,63.06,1395.47,63.06,1395.47,0.13,0.2,0.1,0.2,0.18,1.06,0.85,0.4,0.75,0.42,0.46,0.35,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3.9,0.9,3.9,0.9,4.15,1.08,4.14,1.07,4.94,1.07,4.94,1.07,2.5,2.5,390.43,3078.9,399.3,3781.2,523.13,3727.5,415.27,3139.09,423.96,3475.23,420.84,2942.06
