States/UTs,"2015 Agricultural Labourers - A","2015 Farmers/Cultivators - B","2015 - Total (A+B)"
"Andhra Pradesh",400,516,916
"Arunachal Pradesh",3,7,10
Assam,54,84,138
Bihar,7,0,7
Chhattisgarh,100,854,954
Goa,0,0,0
Gujarat,244,57,301
Haryana,134,28,162
"Himachal Pradesh",46,0,46
"Jammu & Kashmir",21,0,21
Jharkhand,21,0,21
Karnataka,372,1197,1569
Kerala,207,3,210
"Madhya Pradesh",709,581,1290
Maharashtra,1261,3030,4291
Manipur,0,1,1
Meghalaya,1,2,3
Mizoram,1,0,1
Nagaland,0,0,0
Odisha,27,23,50
Punjab,24,100,124
Rajasthan,73,3,76
Sikkim,3,15,18
"Tamil Nadu",604,2,606
Telangana,42,1358,1400
Tripura,48,1,49
"Uttar Pradesh",179,145,324
Uttarakhand,2,0,2
"West Bengal",0,0,0
"A & N Islands",0,0,0
Chandigarh,0,0,0
"D & N Haveli",0,0,0
"Daman & Diu",0,0,0
"Delhi (UT)",0,0,0
Lakshadweep,0,0,0
Puducherry,12,0,12
"Total (All India)",4595,8007,12602
