Crops,"2007-08 Area ( In '000' hectare )","2007-08 Production ( In '000' tonne)","2008-09 Area ( In '000' hectare )","2008-09 Production ( In '000' tonne)","2009-10  Area ( In '000' hectare )","2009-10  Production ( In '000' tonne)","2010-11  Area ( In '000' hectare )","2010-11  Production ( In '000' tonne)",,,
Banana,658,23823,709,26217,770,26470,830,29780,NA,NA,NA
Mango,2201,13997,2309,12750,2312,15027,2297,15188,NA,NA,NA
Citrus,867,8015,924,8623,987,9638,846,7464,NA,NA,NA
Papaya,83,2909,98,3629,96,3913,106,4196,NA,NA,NA
Guava,179,1981,204,2270,220,2572,205,2462,NA,NA,NA
Apple,264,2001,274,1985,283,1777,289,2891,NA,NA,NA
Pineapple,80,1245,84,1341,92,1387,89,1415,NA,NA,NA
Sapota,152,1258,156,1308,159,1347,160,1424,NA,NA,NA
Grapes,68,1735,80,1878,106,881,111,1235,NA,NA,NA
Pomegranate,124,884,109,807,125,820,107,743,NA,NA,NA
Litchi,69,418,72,423,74,483,78,497,NA,NA,NA
Others,1112,7321,1083,7234,1105,7201,1265,7583,NA,NA,NA
"Fruits Total",5857,65587,6101,68466,6329,71516,6383,74878,NA,NA,NA
Potato,1795,34658,1828,34391,1835,36577,1863,42339,NA,NA,NA
Tomato,566,10303,599,11149,634,12433,865,16526,NA,NA,NA
Onion,821,13900,834,13565,756,12159,1064,15118,NA,NA,NA
Brinjal,561,9678,600,10378,612,10563,680,11896,NA,NA,NA
Tapioca,270,9056,280,9623,232,8060,221,8076,NA,NA,NA
Cabbage,266,5910,310,6870,331,7281,369,7949,NA,NA,NA
Cauliflower,312,5777,349,6532,348,6569,369,6745,NA,NA,NA
Okra,407,4179,432,4528,452,4803,498,5784,NA,NA,NA
Peas,313,2491,348,2916,365,3029,370,3517,NA,NA,NA
"Sweet Potato",123,1094,124,1120,119,1095,113,1047,NA,NA,NA
Others,2414,31402,2275,28006,2300,31168,2083,27557,NA,NA,NA
"Vegetables Total",7848,128449,7981,129077,7985,133738,8495,146554,NA,NA,NA
Aromatic,397,396,430,430,509,573,510,605,NA,NA,NA
Almond/Walnut,132,177,136,173,142,193,NA,NA,NA,NA,NA
"Flowers Loose",166,868,167,987,183,1021,191,1031,NA,NA,NA
"Flowers Cut*",NA,43644,NA,47942,NA,66671,NA,69027,NA,NA,NA
"Plantation Crops",3190,11300,3217,11336,3265,11928,3306,12007,NA,NA,NA
Mushroom,NA,37,NA,37,NA,41,NA,41,NA,NA,NA
Honey,NA,65,NA,65,NA,65,NA,65,NA,NA,NA
Spices,2617,4357,2629,4145,2464,4016,2940,5350,NA,NA,NA
"Grand Total",20207,211235,20662,214716,20876,223089,21825,240531,NA,NA,NA
