"Sl. No.",City,"Juveniles Apprehended - Boys","Juveniles Apprehended - Girls","Juveniles Apprehended - Transgender","Juveniles Apprehended - Total","18 Years & Above - Below 30 Years - Male","18 Years & Above - Below 30 Years - Female","18 Years & Above - Below 30 Years - Transgender","18 Years & Above - Below 30 Years - Total","30 Years & above - Below 45 Years - Male","30 Years & above - Below 45 Years - Female","30 Years & above - Below 45 Years - Transgender","30 Years & above - Below 45 Years - Total","45 Years & above - Below 60 Years - Male","45 Years & above - Below 60 Years - Female","45 Years & above - Below 60 Years - Transgender","45 Years & above - Below 60 Years - Total","60 Years & Above - Male","60 Years & Above - Female","60 Years & Above - Transgender","60 Years & Above - Total","Total - Male","Total - Female","Total - Transgender","Total Persons Arrested by age and Sex"
1,"Ahmedabad (Gujarat)",55,0,0,55,33645,1207,0,34852,31567,2155,0,33722,10127,1162,0,11289,732,211,0,943,76126,4735,0,80861
2,"Bengaluru (Karnataka)",41,0,0,41,7907,151,0,8058,5361,400,2,5763,1451,311,0,1762,318,112,0,430,15078,974,2,16054
3,"Chennai (Tamil Nadu)",75,0,0,75,39567,533,0,40100,25285,950,0,26235,14223,372,0,14595,1828,60,0,1888,80978,1915,0,82893
4,"Coimbatore (Tamil Nadu)",4,0,0,4,4865,59,0,4924,3847,43,0,3890,1595,21,0,1616,365,13,0,378,10676,136,0,10812
5,"Delhi City",251,0,0,251,10598,198,0,10796,8387,533,0,8920,2535,189,0,2724,90,13,0,103,21861,933,0,22794
6,"Ghaziabad (Uttar Pradesh)",0,0,0,0,3139,0,0,3139,0,0,0,0,0,0,0,0,0,0,0,0,3139,0,0,3139
7,"Hyderabad (Telangana)",27,0,0,27,618,36,0,654,275,14,0,289,123,5,0,128,0,0,0,0,1043,55,0,1098
8,"Indore (Madhya Pradesh)",42,0,0,42,1760,80,0,1840,1093,89,0,1182,295,15,0,310,27,0,0,27,3217,184,0,3401
9,"Jaipur (Rajasthan)",11,0,0,11,4315,192,0,4507,3729,207,0,3936,1153,60,0,1213,42,1,0,43,9250,460,0,9710
10,"Kanpur (Uttar Pradesh)",0,0,0,0,2899,0,0,2899,1814,0,0,1814,591,0,0,591,0,0,0,0,5304,0,0,5304
11,Kochi(Kerala),15,0,0,15,5026,19,0,5045,4163,19,0,4182,1553,7,0,1560,243,0,0,243,11000,45,0,11045
12,"Kolkata (West Bengal)",0,0,0,0,257,16,0,273,524,27,0,551,298,16,0,314,10,0,0,10,1089,59,0,1148
13,"Kozhikode (Kerala)",7,0,0,7,397,1,0,398,230,3,0,233,137,3,0,140,17,0,0,17,788,7,0,795
14,"Lucknow (Uttar Pradesh)",24,0,0,24,1202,8,0,1210,1754,3,0,1757,1036,1,0,1037,0,0,0,0,4016,12,0,4028
15,"Mumbai (Maharashtra)",58,0,0,58,10678,74,0,10752,8108,158,0,8266,1584,69,0,1653,152,14,0,166,20580,315,0,20895
16,"Nagpur (Maharashtra)",15,0,0,15,4374,161,0,4535,3774,306,0,4080,1319,104,0,1423,137,33,0,170,9619,604,0,10223
17,"Patna (Bihar)",2,0,0,2,1836,83,0,1919,826,52,0,878,750,4,0,754,0,0,0,0,3414,139,0,3553
18,"Pune (Maharashtra)",11,0,0,11,1495,5,0,1500,1328,18,0,1346,397,0,0,397,31,0,0,31,3262,23,0,3285
19,"Surat (Gujarat)",21,0,0,21,18727,1842,0,20569,16156,3956,0,20112,6734,3074,0,9808,745,214,0,959,42383,9086,0,51469
"Total Cities","Total Cities",659,0,0,659,153305,4665,0,157970,118221,8933,2,127156,45901,5413,0,51314,4737,671,0,5408,322823,19682,2,342507
