"S. No",City," Juveniles Apprehended - Boys"," Juveniles Apprehended - Girls"," Juveniles Apprehended - Total","18 and above and below 30 years - Male","18 and above and below 30 years - Female","18 and above and below 30 years - Total","30 and above and below 45 years - Male","30 and above and below 45 years - Female","30 and above and below 45 years - Total","45 and above and below 60 years - Male","45 and above and below 60 years - Female","45 and above and below 60 years - Total","60 years and above - Male","60 years and above - Female","60 years and above - Total","Total   - Male","Total   - Female","Total   - Total Persons Arrested by age and Sex"
1,"Ahmedabad (Gujarat)",298,0,298,14488,950,15438,12385,1290,13675,4264,668,4932,463,146,609,31898,3054,34952
2,Bengaluru(Karnataka),197,3,200,13577,579,14156,9602,974,10576,2531,381,2912,430,84,514,26337,2021,28358
3,"Chennai(Tamil Nadu)",816,0,816,13717,1117,14834,21194,2577,23771,16070,917,16987,2007,93,2100,53804,4704,58508
4,"Coimbatore(Tamil Nadu)",35,0,35,3248,488,3736,2674,293,2967,759,189,948,224,62,286,6940,1032,7972
5,Delhi,3073,2,3075,54129,1003,55132,30474,834,31308,8769,266,9035,514,22,536,96959,2127,99086
6,"Ghaziabad(Uttar Pradesh)",0,0,0,1192,5,1197,2241,1,2242,837,1,838,0,0,0,4270,7,4277
7,Hyderabad(Telangana),377,0,377,2839,150,2989,3376,129,3505,1197,30,1227,101,1,102,7890,310,8200
8,"Indore(Madhya Pradesh)",275,6,281,5396,248,5644,2873,198,3071,635,74,709,52,11,63,9231,537,9768
9,Jaipur(Rajasthan),404,1,405,7630,491,8121,4533,474,5007,2421,250,2671,121,19,140,15109,1235,16344
10,"Kanpur(Uttar Pradesh)",9,0,9,5360,52,5412,2228,17,2245,752,7,759,0,0,0,8349,76,8425
11,Kochi(Kerala),15,0,15,6253,50,6303,5883,184,6067,2588,43,2631,191,2,193,14930,279,15209
12,"Kolkata(West Bengal)",19,0,19,6773,1112,7885,4216,862,5078,1203,269,1472,38,0,38,12249,2243,14492
13,Kozhikode(Kerala),26,0,26,1373,33,1406,1895,77,1972,658,43,701,135,18,153,4087,171,4258
14,"Lucknow(Uttar Pradesh)",80,0,80,8192,0,8192,0,0,0,0,0,0,0,0,0,8272,0,8272
15,Mumbai(Maharashtra),668,0,668,26772,1323,28095,18065,1356,19421,5265,476,5741,542,76,618,51312,3231,54543
16,Nagpur(Maharashtra),442,2,444,4918,160,5078,4294,217,4511,915,67,982,45,18,63,10614,464,11078
17,Patna(Bihar),15,0,15,4480,31,4511,2839,16,2855,902,1,903,0,0,0,8236,48,8284
18,Pune(Maharashtra),420,0,420,7848,357,8205,5885,473,6358,1655,242,1897,177,66,243,15985,1138,17123
19,Surat(Gujarat),621,2,623,13237,283,13520,7708,479,8187,2617,423,3040,195,55,250,24378,1242,25620
"Grand Total","TOTAL CITIES",7790,16,7806,201422,8432,209854,142365,10451,152816,54038,4347,58385,5235,673,5908,410850,23919,434769
