"Sl. No.","Crime Head","Juveniles Apprehended - Boys","Juveniles Apprehended - Girls","Juveniles Apprehended - Transgender","Juveniles Apprehended - Total","18 Years & Above - Below 30 Years - Male ","18 Years & Above - Below 30 Years - Female","18 Years & Above - Below 30 Years - Transgender","18 Years & Above - Below 30 Years - Total","30 Years & above - Below 45 Years - Male","30 Years & above - Below 45 Years - Female","30 Years & above - Below 45 Years - Transgender","30 Years & above - Below 45 Years - Total","45 Years & above - Below 60 Years - Male ","45 Years & above - Below 60 Years - Female","45 Years & above - Below 60 Years - Transgender","45 Years & above - Below 60 Years - Total","60 Years & Above - Male","60 Years & Above - Female","60 Years & Above - Transgender","60 Years & Above - Total","Total of Overall Age Group - Male ","Total of Overall Age Group - Female","Total of Overall Age Group - Transgender","Total of Overall Age Group"
1,Murder,313,3,0,316,2489,72,1,2562,1627,79,1,1707,450,18,0,468,28,6,0,34,4907,178,2,5087
2,"Culpable Homicide not amounting to Murder",5,0,0,5,176,4,0,180,144,7,0,151,57,1,0,58,3,0,0,3,385,12,0,397
3,"Causing Death by Negligence",17,0,0,17,2685,48,0,2733,2668,70,0,2738,834,37,0,871,57,5,0,62,6261,160,0,6421
3.1,"Deaths due to Negligence relating to Road Accidents",17,0,0,17,2252,46,0,2298,2201,65,0,2266,663,35,0,698,44,4,0,48,5177,150,0,5327
3.1.1,"Hit and Run",3,0,0,3,1002,12,0,1014,668,21,0,689,181,6,0,187,26,4,0,30,1880,43,0,1923
3.1.2,"Other Accidents",14,0,0,14,1250,34,0,1284,1533,44,0,1577,482,29,0,511,18,0,0,18,3297,107,0,3404
3.2,"Deaths due to Negligence relating to Rail Accidents",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.3,"Deaths due to Medical Negligence",0,0,0,0,8,0,0,8,5,2,0,7,4,0,0,4,1,0,0,1,18,2,0,20
3.4,"Deaths due to Negligence of Civic Bodies",0,0,0,0,21,1,0,22,41,1,0,42,8,0,0,8,0,0,0,0,70,2,0,72
3.5,"Deaths due to other Negligence",0,0,0,0,404,1,0,405,421,2,0,423,159,2,0,161,12,1,0,13,996,6,0,1002
4,"Dowry Deaths",0,0,0,0,318,30,0,348,226,51,0,277,107,24,0,131,9,5,0,14,660,110,0,770
5,"Abetment of Suicide",8,0,0,8,346,59,0,405,370,112,0,482,129,60,0,189,20,11,0,31,873,242,0,1115
6,"Attempt to Commit Murder",557,1,0,558,4440,61,0,4501,2835,112,0,2947,700,33,0,733,54,8,0,62,8586,215,0,8801
7,"Attempt to commit Culpable Homicide",52,0,0,52,944,10,0,954,685,18,0,703,187,8,0,195,23,0,0,23,1891,36,0,1927
8,"Attempt to Commit Suicide",1,0,0,1,19,2,0,21,32,7,0,39,8,1,0,9,3,0,0,3,63,10,0,73
9,"Miscarriage, Infanticide, Foeticide and Abandonment",0,0,0,0,41,18,1,60,39,13,0,52,35,6,0,41,1,1,0,2,116,38,1,155
10,Hurt,1040,3,0,1043,25471,1204,6,26681,17622,1367,7,18996,6576,454,1,7031,367,36,0,403,51076,3064,14,54154
10.1,"Simple Hurt",858,3,0,861,21637,1070,6,22713,14985,1221,7,16213,5950,406,1,6357,305,32,0,337,43735,2732,14,46481
10.1.1,"Voluntarily Causing Simple Hurt",256,0,0,256,7652,463,0,8115,6001,523,0,6524,2663,140,0,2803,108,7,0,115,16680,1133,0,17813
10.1.2,"Voluntarily causing hurt by Dangerous weapons or means",550,2,0,552,11853,521,5,12379,7343,604,4,7951,2880,235,1,3116,179,21,0,200,22805,1383,10,24198
10.1.3,"Voluntarily Causing hurt/Force to deter public servant from his duty",22,1,0,23,1051,62,1,1114,893,70,3,966,240,22,0,262,10,0,0,10,2216,155,4,2375
10.1.4,"Causing Hurt by act endangering life/safety of others",13,0,0,13,581,19,0,600,486,20,0,506,116,9,0,125,8,4,0,12,1204,52,0,1256
10.1.5,"Other Simple Hurt",17,0,0,17,500,5,0,505,262,4,0,266,51,0,0,51,0,0,0,0,830,9,0,839
10.2,"Grievous Hurt",182,0,0,182,3834,134,0,3968,2637,146,0,2783,626,48,0,674,62,4,0,66,7341,332,0,7673
10.2.1,"Voluntarily causing grievous hurt",77,0,0,77,1568,78,0,1646,1225,73,0,1298,282,24,0,306,36,3,0,39,3188,178,0,3366
10.2.2,"Voluntarily causing grievous hurt by dangerous weapons or means",105,0,0,105,2008,49,0,2057,1209,62,0,1271,299,22,0,321,23,1,0,24,3644,134,0,3778
10.2.3,"Acid Attack",0,0,0,0,26,1,0,27,12,0,0,12,0,0,0,0,0,0,0,0,38,1,0,39
10.2.4,"Attempt to Acid Attack",0,0,0,0,15,0,0,15,8,2,0,10,2,1,0,3,1,0,0,1,26,3,0,29
10.2.5,"Voluntarily Causing Grievous hurt/Force to deter public servant from his duty",0,0,0,0,101,1,0,102,66,1,0,67,5,0,0,5,0,0,0,0,172,2,0,174
10.2.6,"Causing Grevious Hurt by act endangering life/safety of others",0,0,0,0,113,5,0,118,114,8,0,122,38,1,0,39,2,0,0,2,267,14,0,281
10.2.7,"Other Grevious Hurt",0,0,0,0,3,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,6,0,0,6
11,"Wrongful Restraint/Confinement",4,0,0,4,137,8,0,145,114,15,0,129,41,5,0,46,2,0,0,2,298,28,0,326
12,"Assault on Women with Intent to Outrage her Modesty",193,2,0,195,5611,287,0,5898,3601,292,0,3893,972,79,0,1051,95,11,0,106,10472,671,0,11143
12.1,"Assault on Women with Intent to Outrage her Modesty",127,2,0,129,2837,191,0,3028,1727,185,0,1912,475,49,0,524,59,6,0,65,5225,433,0,5658
12.2,"Sexual Harassment",35,0,0,35,1069,31,0,1100,764,37,0,801,199,16,0,215,26,3,0,29,2093,87,0,2180
12.2.1,"at Work or Office Premises",1,0,0,1,25,0,0,25,41,0,0,41,8,0,0,8,0,0,0,0,75,0,0,75
12.2.2,"In Public Transport System",0,0,0,0,19,0,0,19,14,0,0,14,1,0,0,1,2,0,0,2,36,0,0,36
12.2.3,"In Shelter Homes for women and Children",3,0,0,3,27,0,0,27,17,2,0,19,0,1,0,1,1,0,0,1,48,3,0,51
12.2.4,"Other Places",31,0,0,31,998,31,0,1029,692,35,0,727,190,15,0,205,23,3,0,26,1934,84,0,2018
12.3,"Assault or use of Criminal Force on women with intent to Disrobe",9,0,0,9,652,55,0,707,398,50,0,448,137,8,0,145,3,2,0,5,1199,115,0,1314
12.4,Voyeurism,3,0,0,3,133,0,0,133,63,0,0,63,18,0,0,18,0,0,0,0,217,0,0,217
12.5,Stalking,19,0,0,19,920,10,0,930,649,20,0,669,143,6,0,149,7,0,0,7,1738,36,0,1774
13,"Kidnapping and Abduction",68,1,0,69,2262,52,0,2314,1352,55,0,1407,192,14,0,206,5,0,0,5,3879,122,0,4001
13.1,"Kidnapping and Abduction",45,0,0,45,1104,30,0,1134,557,27,0,584,88,3,0,91,0,0,0,0,1794,60,0,1854
13.1.1,"Missing Children Deemed as Kidnapped",11,0,0,11,535,11,0,546,202,15,0,217,40,0,0,40,0,0,0,0,788,26,0,814
13.1.2,"Other Kidnapping & Abduction",34,0,0,34,569,19,0,588,355,12,0,367,48,3,0,51,0,0,0,0,1006,34,0,1040
13.2,"Kidnapping and Abduction for the Purpose of Begging",0,1,0,1,3,1,0,4,1,3,0,4,0,0,0,0,1,0,0,1,5,5,0,10
13.3,"Kidnapping and Abduction in order to Murder",0,0,0,0,51,0,0,51,27,0,0,27,5,0,0,5,1,0,0,1,84,0,0,84
13.4,"Kidnapping for Ransom",2,0,0,2,130,4,0,134,128,3,0,131,23,1,0,24,2,0,0,2,285,8,0,293
13.5,"Kidnapping and Abduction of Women to compel her for marriage",9,0,0,9,532,1,0,533,179,1,0,180,20,0,0,20,0,0,0,0,740,2,0,742
13.6,"Procuration of Minor Girls",0,0,0,0,32,11,0,43,18,18,0,36,4,8,0,12,0,0,0,0,54,37,0,91
13.7,"Importation of Girls from Foreign Country",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
13.8,"Other Kidnapping & Abducion",12,0,0,12,410,5,0,415,441,3,0,444,52,2,0,54,1,0,0,1,916,10,0,926
14,"Human Trafficking",0,0,0,0,141,41,0,182,145,46,1,192,25,19,0,44,1,0,0,1,312,106,1,419
15,"Exploitation of Trafficked Person",1,0,0,1,19,3,0,22,19,10,0,29,2,1,0,3,0,0,0,0,41,14,0,55
16,"Selling of Minors for Prostitution",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
17,"Buying of Minors for Prostitution",0,0,0,0,1,0,0,1,3,0,0,3,1,0,0,1,0,0,0,0,5,0,0,5
18,Rape,164,0,0,164,2167,46,0,2213,1321,61,0,1382,348,24,0,372,18,4,0,22,4018,135,0,4153
19,"Attempt to Commit Rape",2,0,0,2,32,4,0,36,15,2,0,17,6,0,0,6,0,0,0,0,55,6,0,61
20,"Unnatural Offences",9,0,0,9,97,0,0,97,74,5,0,79,22,4,0,26,3,0,0,3,205,9,0,214
"Offences Affecting the Human Body(Total)","Offences Affecting the Human Body(Total)",2434,10,0,2444,47396,1949,8,49353,32893,2322,9,35224,10692,788,1,11481,689,87,0,776,94104,5156,18,99278
