"Sl. No.","Crime Head","Juveniles Apprehended - Boys","Juveniles Apprehended - Girls","Juveniles Apprehended - Transgender","Juveniles Apprehended - Total","18 Years & Above - Below 30 Years - Male ","18 Years & Above - Below 30 Years - Female","18 Years & Above - Below 30 Years - Transgender","18 Years & Above - Below 30 Years - Total","30 Years & above - Below 45 Years - Male","30 Years & above - Below 45 Years - Female","30 Years & above - Below 45 Years - Transgender","30 Years & above - Below 45 Years - Total","45 Years & above - Below 60 Years - Male ","45 Years & above - Below 60 Years - Female","45 Years & above - Below 60 Years - Transgender","45 Years & above - Below 60 Years - Total","60 Years & Above - Male","60 Years & Above - Female","60 Years & Above - Transgender","60 Years & Above - Total","Total of Overall Age Group - Male ","Total of Overall Age Group - Female","Total of Overall Age Group - Transgender","Total of Overall Age Group - Total"
1,"The Dowry Prohibition Act",0,0,0,0,298,80,0,378,745,267,0,1012,306,275,0,581,191,107,0,298,1540,729,0,2269
2,"The Immoral Traffic (Prevention) Act",0,0,0,0,444,112,0,556,345,153,0,498,81,25,0,106,3,3,0,6,873,293,0,1166
3,"The Protection of Women from Domestic Violence Act",0,0,0,0,4,0,0,4,3,0,0,3,3,0,0,3,1,0,0,1,11,0,0,11
4,"The Indecent Representation of Women (Prohibition) Act",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,746,192,0,938,1093,420,0,1513,390,300,0,690,195,110,0,305,2424,1022,0,3446
5,"The Protection of Children from Sexual Offences Act",375,0,0,375,3953,55,0,4008,2089,74,2,2165,571,25,0,596,29,1,0,30,7017,155,2,7174
6,"The Juvenile Justice (Care and Protection of Children) Act",18,0,0,18,134,10,0,144,168,20,0,188,57,7,0,64,5,0,0,5,382,37,0,419
7,"The Prohibition of Child Marriage Act",0,0,0,0,32,1,0,33,31,10,0,41,5,5,0,10,2,0,0,2,70,16,0,86
8,"The Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act",0,0,0,0,7,0,0,7,3,0,0,3,0,0,0,0,0,0,0,0,10,0,0,10
9,"The Child Labour (Prohibition & Regulation) Act",0,0,0,0,49,2,0,51,78,4,0,82,25,0,0,25,4,0,0,4,156,6,0,162
10,"The Medical Termination of Pregnancy Act",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,393,0,0,393,4175,68,0,4243,2369,108,2,2479,658,37,0,695,40,1,0,41,7635,214,2,7851
11,"The SC/ST (Prevention of Atrocities) Act against SCs",0,0,0,0,163,1,0,164,227,11,0,238,117,5,0,122,0,0,0,0,507,17,0,524
12,"The SC/ST (Prevention of Atrocities) Act against STs",0,0,0,0,7,0,0,7,5,1,0,6,4,0,0,4,0,0,0,0,16,1,0,17
13,"The Protection of Civil Rights Act against SCs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"The Protection of Civil Rights Act against STs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,170,1,0,171,232,12,0,244,121,5,0,126,0,0,0,0,523,18,0,541
