"Sl. No. Col. (1)","Crime Head Col. (2)","Cases Pending Trial from the Previous Year - Col. (3)","Cases Sent for Trial during the year - Col. (4)","Total Cases for Trial (Col.3+Col.4) - Col. (5)","Cases Abated by Court - Col. (6)","Cases Withdrawn from Prosecution - Col. (7)","Cases Compounded or Compromised - Col. (8)","Cases Disposed off by Plea Bargaining - Col. (9)","Cases Quashed - Col. (10)","Cases Disposed off without trial (Col.6+Col.7+Col.8+Col.9+Col.10) - Col. (11)","Cases Stayed or Sent to Record Room - Col. (12)","Cases Convicted Out of Cases from Previous Year - Col. (13)","Cases Convicted Out of Cases during the Year - Col. (14)","Cases Convicted (Col.13+Col.14) - Col. (15)","Cases Discharged - Col. (16)","Cases Acquitted - Col. (17)","Cases which Trials were Completed (Col.15+Col.16+Col.17) - Col. (18)","Cases Disposed off by Courts (Col.11+Col.18) - Col. (19)","Cases Pending Trial at End of the Year (Col.5-Col.19) - Col. (20)","Conviction Rate (Col.15/Col.18)*100 - Col. (21)","Pendency Percentage (Col.20/Col.5)*100 - Col. (22)"
1,"Murder with Rape/Gang Rape",906,231,1137,0,0,0,0,0,0,0,20,14,34,1,10,45,45,1092,75.6,96
2,"Dowry Deaths",50511,6209,56720,6,0,12,31,3,52,8,881,83,964,151,1137,2252,2304,54416,42.8,95.9
3,"Abetment to Suicide of Women",21186,4774,25960,24,0,17,1,8,50,1,249,18,267,130,939,1336,1386,24574,20,94.7
4,Miscarriage,520,124,644,1,0,0,0,0,1,0,8,0,8,1,12,21,22,622,38.1,96.6
5,"Acid Attack",503,97,600,0,0,0,0,0,0,0,3,0,3,1,11,15,15,585,20,97.5
6,"Attempt to Acid Attack",140,33,173,1,0,0,0,0,1,0,3,0,3,0,0,3,4,169,100,97.7
7,"Cruelty by Husband or his relatives",651405,114304,765709,131,102,9126,1311,593,11263,153,4145,170,4315,992,19851,25158,36421,729288,17.2,95.2
8,"Kidnapping and Abduction of Women",184910,29518,214428,29,20,282,24,20,375,11,1286,332,1618,386,4405,6409,6784,207644,25.2,96.8
8.1,"Kidnapping and Abduction",51039,11175,62214,17,1,124,8,6,156,1,382,133,515,219,1266,2000,2156,60058,25.8,96.5
8.2,"Kidnapping and Abduction in order to Murder",683,46,729,1,0,0,0,0,1,0,3,0,3,0,0,3,4,725,100,99.5
