"S. No (Col.1)","Crime Head (Col.2)","Cases Pending Trial from the Previous Year (Col.3)","Cases Sent for Trial during the year (Col.4)","Total Cases for Trial (Col.5=Col.3+ Col.4)","Cases Abated by Court (Col.6)","Cases Withdrawn from Prosecution (Col.7)","Cases Compounded or Compromised (Col.8)","Cases Disposed off by Plea Bargaining (Col.9)","Cases Quashed (Col.10)","Cases Disposed off Without Trial (Col.11=Col.6+Col.7+Col.8+Col.9+Col.10)","Cases Stayed or Sent to Record Room (Col.12)","Cases Convicted Out of Cases from Previous Year (Col.13)","Cases Convicted Out of Cases during the Year (Col.14)","Cases Convicted (Col.15=Col.13+ Col.14)","Cases Discharged (Col.16)","Cases Acquitted (Col.17)","Cases in which Trials were Completed (Col.18=Col.15+ Col.16+ Col.17)","Cases Disposed off by Courts (Col.19=Col.11+ Col.18)","Cases Pending Trial at end of the Year (Col.20=Col.5 - Col.19)","Conviction Rate (Col.21=Col.15/ Col.18) *100","Pendency Percentage (Col.22=Col.20/ Col.5) *100"
1,"Murder with Rape/Gang Rape",86,24,110,0,0,0,0,0,0,0,2,2,4,0,10,14,14,96,28.6,87.3
2,"Dowry Deaths",2524,393,2917,0,0,0,0,0,0,2,84,3,87,0,121,208,208,2709,41.8,92.9
3,"Abetment to Suicide of Women",754,340,1094,0,20,0,0,1,21,0,14,0,14,1,94,109,130,964,12.8,88.1
4,Miscarriage,47,25,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,NA,100
5,"Acid Attack",30,13,43,0,0,0,0,0,0,0,1,0,1,0,2,3,3,40,33.3,93
6,"Attempt to Acid Attack",17,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,NA,100
7,"Cruelty by Husband or His Relatives",45552,10074,55626,22,86,718,2,515,1343,84,271,3,274,132,1939,2345,3688,51938,11.7,93.4
8,"Kidnapping and Abduction of Women",10668,1445,12113,1,1,5,1,11,19,5,114,7,121,23,276,420,439,11674,28.8,96.4
8.1,"Kidnapping and Abduction",4567,705,5272,0,0,5,0,9,14,3,40,4,44,12,172,228,242,5030,19.3,95.4
8.2,"Kidnapping and Abduction in order to Murder",66,1,67,0,0,0,0,0,0,0,1,0,1,0,8,9,9,58,11.1,86.6
8.3,"Kidnapping for Ransom",121,7,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,NA,100
8.4,"Kidnapping and Abduction of Women to Compel Her for Marriage",4322,634,4956,0,1,0,1,1,3,1,68,2,70,11,87,168,171,4785,41.7,96.5
8.4.1,"Kidnapping and Abduction of Women to Compel Her for Marriage - Women",2569,367,2936,0,1,0,1,0,2,1,66,0,66,11,64,141,143,2793,46.8,95.1
8.4.2,"Kidnapping and Abduction of Women to Compel Her for Marriage - Girls",1753,267,2020,0,0,0,0,1,1,0,2,2,4,0,23,27,28,1992,14.8,98.6
8.5,"Procuration of Minor Girls",130,28,158,1,0,0,0,0,1,0,1,0,1,0,3,4,5,153,25,96.8
8.6,"Importation of Girls from Foreign Country",63,1,64,0,0,0,0,0,0,0,1,0,1,0,0,1,1,63,100,98.4
8.7,"Kidnapping and Abduction of Women - Others",1399,69,1468,0,0,0,0,1,1,1,3,1,4,0,6,10,11,1457,40,99.3
9,"Human Trafficking",147,79,226,0,0,0,0,0,0,0,1,1,2,0,21,23,23,203,8.7,89.8
10,"Selling of Minor Girls",71,5,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,NA,100
11,"Buying of Minor Girls",10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,100
12,Rape,11603,2767,14370,7,0,5,1,15,28,23,281,16,297,29,764,1090,1118,13252,27.2,92.2
12.1,"Rape - Women",11214,2527,13741,7,0,5,1,15,28,20,219,16,235,28,727,990,1018,12723,23.7,92.6
12.2,"Rape - Girls",389,240,629,0,0,0,0,0,0,3,62,0,62,1,37,100,100,529,62,84.1
13,"Attempt to Commit Rape",164,71,235,0,0,0,0,0,0,0,4,0,4,1,11,16,16,219,25,93.2
13.1,"Attempt to Commit Rape - Women",148,51,199,0,0,0,0,0,0,0,4,0,4,1,11,16,16,183,25,92
13.2,"Attempt to Commit Rape - Girls",16,20,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,NA,100
