"Sl. No. Col. (1)","Crime Head Col. (2)","Cases Pending Trial from the Previous Year - Col. (3)","Cases Sent for Trial during the year - Col. (4)","Total Cases for Trial (Col.3+Col.4) - Col. (5)","Cases Abated by Court - Col. (6)","Cases Withdrawn from Prosecution - Col. (7)","Cases Compounded or Compromised - Col. (8)","Cases Disposed off by Plea Bargaining - Col. (9)","Cases Quashed - Col. (10)","Cases Disposed off without trial (Col.6+Col.7+Col.8+Col.9+Col.10) - Col. (11)","Cases Stayed or Sent to Record Room - Col. (12)","Cases Convicted Out of Cases from Previous Year - Col. (13)","Cases Convicted Out of Cases during the Year - Col. (14)","Cases Convicted (Col.13+Col.14) - Col. (15)","Cases Discharged - Col. (16)","Cases Acquitted - Col. (17)","Cases which Trials were Completed (Col.15+Col.16+Col.17) - Col. (18)","Cases Disposed off by Courts (Col.11+Col.18) - Col. (19)","Cases Pending Trial at End of the Year (Col.5-Col.19) - Col. (20)","Conviction Rate (Col.15/Col.18)*100 - Col. (21)","Pendency Percentage (Col.20/Col.5)*100 - Col. (22)"
1,"The Dowry Prohibition Act",54483,10703,65186,7,2,411,18,55,493,14,432,81,513,89,1335,1937,2430,62756,26.5,96.3
2,"The Immoral Traffic (Prevention) Act",14562,1473,16035,6,11,14,128,2,161,153,162,39,201,7,303,511,672,15363,39.3,95.8
3,"The Protection of Women from Domestic Violence Act",2244,419,2663,0,0,4,0,0,4,0,2,5,7,0,16,23,27,2636,30.4,99
4,"The Indecent Representation of Women (Prohibition) Act",525,17,542,0,0,1,0,0,1,0,4,0,4,1,17,22,23,519,18.2,95.8
NA,NA,71814,12612,84426,13,13,430,146,57,659,167,600,125,725,97,1671,2493,3152,81274,29.1,96.3
5,"The Protection of Children from Sexual Offences Act",170382,51129,221511,111,2,327,14,34,488,10,4526,630,5156,575,10258,15989,16477,205034,32.2,92.6
6,"The Juvenile Justice (Care and Protection of Children) Act",7924,1765,9689,5,0,10,0,1,16,1,205,164,369,17,218,604,620,9069,61.1,93.6
7,"The Prohibition of Child Marriage Act",2056,809,2865,0,0,0,1,0,1,0,6,4,10,3,90,103,104,2761,9.7,96.4
8,"The Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act",899,66,965,0,0,0,0,0,0,1,3,0,3,0,6,9,9,956,33.3,99.1
9,"The Child Labour (Prohibition & Regulation) Act",1820,576,2396,1,0,0,0,0,1,0,127,24,151,0,45,196,197,2199,77,91.8
10,"The Medical Termination of Pregnancy Act",222,36,258,0,0,0,0,0,0,0,3,0,3,0,8,11,11,247,27.3,95.7
NA,NA,183303,54381,237684,117,2,337,15,35,506,12,4870,822,5692,595,10625,16912,17418,220266,33.7,92.7
11,"The SC/ST (Prevention of Atrocities) Act against SCs",44419,4549,48968,8,1,0,0,11,20,1,537,255,792,51,789,1632,1652,47316,48.5,96.6
12,"The SC/ST (Prevention of Atrocities) Act against STs",4701,193,4894,0,0,0,0,0,0,6,14,5,19,2,73,94,94,4800,20.2,98.1
13,"The Protection of Civil Rights Act against SCs",1181,5,1186,0,0,0,0,0,0,0,0,0,0,1,11,12,12,1174,0,99
14,"The Protection of Civil Rights Act against STs",85,4,89,0,0,0,0,0,0,0,0,0,0,0,2,2,2,87,0,97.8
NA,NA,50386,4751,55137,8,1,0,0,11,20,7,551,260,811,54,875,1740,1760,53377,46.6,96.8
15,"The Prevention of Damage to Public Property Act",22012,3560,25572,7,1,10,0,4,22,3,433,453,886,46,678,1610,1632,23940,55,93.6
16,"The Unlawful Activities (P) Act",2384,523,2907,38,0,1,0,0,39,0,27,0,27,2,39,68,107,2800,39.7,96.3
17,"The Official Secrets Act",116,40,156,1,0,0,0,0,1,0,1,0,1,0,2,3,4,152,33.3,97.4
"Offences against State - Related Acts","Offences against State - Related Acts",24512,4123,28635,46,1,11,0,4,62,3,461,453,914,48,719,1681,1743,26892,54.4,93.9
