"S. No (Col.1)","Crime Head (Col.2)","Cases Pending Investigation from Previous Year (Col.3)","Cases Reported during the year (Col.4)","Cases Reopened for Investigation (Col.5)","Total Cases for Investigation (Col.6=Col.3+ Col.4+ Col.5)","Cases Not Investigated Under 157_1_b CRPC (Col.7)","Cases Transferred to other State or Agency (Col.8)","Cases Withdrawn by the Govt during Investigation (Col.9)","Final Report - Cases Ended as FR Non Cognizable (Col.10)","Final Report - Cases Ended as Final Report False (Col.11)","Final Report - Cases Ended as Mistake of Fact or of Law or Civil Dispute (Col.12)","Final Report - Cases True but Insufficient Evidence or Untraced or No Clue (Col.13)","Final Report - Cases Abated during Investigation (Col.14)","Final Report - Total (Col.15=Col.10+ Col.11+ Col.12+ Col.13+ Col.14)","Chargesheets Submitted - Cases Chargesheeted Out of Cases from Previous Year (Col.16)","Chargesheets Submitted - Cases Chargesheeted Out of Cases during the Year (Col.17)","Chargesheets Submitted - Cases Chargesheeted (Col.18=Col.16+ Col.17)","Total Cases Disposed Off by Police (Col.19=Col.7+ Col.8+ Col.15+ Col.18)","Cases Quashed at Investigation Stage (Col.20)","Cases Stayed at Investigation Stage (Col.21)","Cases Pending Investigation at End of the Year (Col.22=Col.6- Col.9- Col.19- Col.20)","Chargesheeting Rate (Col.23=Col.18/ Col.19) *100","Pendency Percentage (Col.24=Col.22/ Col.6) *100"
1,"Murder - Total",765,1393,3,2161,0,3,0,0,13,18,80,68,179,309,907,1216,1398,0,0,763,87,35.3
1.1,"Murder with Rape/POCSO",29,139,3,171,0,0,0,0,0,1,5,3,9,4,93,97,106,0,0,65,91.5,38
1.2,"Other Murder",736,1254,0,1990,0,3,0,0,13,17,75,65,170,305,814,1119,1292,0,0,698,86.6,35.1
2,"Abetment of Suicide of Child",42,241,5,288,0,1,0,0,6,6,4,1,17,22,150,172,190,0,0,98,90.5,34
3,"Attempt to Commit Murder",299,271,0,570,0,2,0,0,3,4,24,2,33,51,176,227,262,0,0,308,86.6,54
4,Infanticide,48,73,0,121,0,0,0,0,1,5,23,0,29,3,6,9,38,0,0,83,23.7,68.6
5,Foeticide,35,115,0,150,0,0,0,0,2,16,66,0,84,6,9,15,99,0,0,51,15.2,34
6,"Exposure and Abandonment",449,899,0,1348,0,1,0,1,14,60,617,1,693,34,83,117,811,0,0,537,14.4,39.8
7,"Simple Hurt",441,2945,0,3386,0,0,0,5,16,18,39,0,78,240,2536,2776,2854,0,0,532,97.3,15.7
8,"Grievous Hurt",33,924,0,957,1,0,0,0,43,0,2,0,45,25,589,614,660,0,0,297,93,31
9,"Kidnapping and Abduction of Children - Total",31080,54163,13,85256,21,50,81,113,7534,14686,8253,182,30768,5697,13081,18778,49617,103,11,35455,37.8,41.6
9.1,"Kidnapping and Abduction",18995,34958,9,53962,21,46,81,109,5267,11242,5679,114,22411,2496,5811,8307,30785,86,4,23010,27,42.6
9.1.1,"Missing Children Deemed as Kidnapped",8304,17718,8,26030,21,19,81,102,3581,7094,2519,61,13357,862,2013,2875,16272,3,0,9674,17.7,37.2
9.1.2,"Other Kidnapping & Abduction",10691,17240,1,27932,0,27,0,7,1686,4148,3160,53,9054,1634,3798,5432,14513,83,4,13336,37.4,47.7
9.2,"Kidnapping and Abduction for the Purpose of Begging",45,72,0,117,0,0,0,0,24,5,6,0,35,10,24,34,69,0,0,48,49.3,41
9.3,"Kidnapping and Abduction in order to Murder",103,144,0,247,0,0,0,0,9,20,27,0,56,24,32,56,112,0,0,135,50,54.7
9.4,"Kidnapping for Ransom",91,95,0,186,0,1,0,0,5,3,6,0,14,17,55,72,87,0,0,99,82.8,53.2
9.5,"Kidnapping and Abduction of Minor Girls to compel her for marriage",7158,12124,0,19282,0,2,0,3,1068,2343,1865,4,5283,2131,4852,6983,12268,15,7,6999,56.9,36.3
9.6,"Procuration of Minor Girls",2127,3382,2,5511,0,1,0,0,608,393,311,39,1351,490,1140,1630,2982,0,0,2529,54.7,45.9
9.7,"Importation of Girls from Foreign Country",2,2,0,4,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,2,100,50
9.8,"Other Kidnapping & Abduction",2559,3386,2,5947,0,0,0,1,553,680,359,25,1618,528,1166,1694,3312,2,0,2633,51.1,44.3
10,"Human Trafficking",192,330,1,523,0,3,0,0,1,9,14,0,24,50,186,236,263,0,0,260,89.7,49.7
11,"Selling of Minors for Prostitution - Total",175,81,0,256,0,1,0,0,0,36,25,0,61,35,38,73,135,0,0,121,54.1,47.3
