"S. No (Col.1)","Category (Col.2)","Crime Head (Col.3)","Cases Pending Investigation from Previous Year (Col.4)","Cases Reported during the year (Col.5)","Cases Reopened for Investigation (Col.6)","Total Cases for Investigation (Col.7=Col.4+ Col.5+ Col.6)","Cases Not Investigated under 157_1_b CRPC (Col.8)","Cases Transferred to other State or Agency (Col.9)","Cases Withdrawn by the Govt during Investigation (Col.10)","Final Report - Cases Ended as FR Non Cognizable (Col.11)","Final Report - Cases Ended as Final Report False (Col.12)","Final Report - Cases Ended as Mistake of Fact or of Law or Civil Dispute (Col.13)","Final Report - Cases True but Insufficient Evidence or Untraced or No Clue (Col.14)","Final Report - Cases Abated during Investigation (Col.15)","Final Report - Total (Col.16=Col.11+ Col.12+ Col.13+ Col.14+ Col.15)","Chargesheets Submitted - Cases Chargesheeted Out of Cases from Previous Year (Col.17)","Chargesheets Submitted - Cases Chargesheeted Out of Cases during the Year (Col.18)","Chargesheets Submitted - Cases Chargesheeted (Col.19=Col.17+ Col.18)","Total Cases Disposed Off by Police (Col.20=Col.8+ Col.9+ Col.16+ Col.19)","Cases Quashed at Investigation Stage (Col.21)","Cases Stayed at Investigation Stage (Col.22)","Cases Pending Investigation at End of the Year (Col.23=Col.7- Col.10- Col.20- Col.21)","Chargesheeting Rate (Col.24=Col.19/ Col.20) *100","Pendency Percentage (Col.25=Col.23/ Col.7) *100"
1,"IPC Crimes against Children","Murder - Total",757,1497,1,2255,0,3,0,0,19,11,95,75,200,268,942,1210,1413,0,1,842,85.6,37.3
1.1,"IPC Crimes against Children","Murder with Rape/POCSO",65,139,0,204,0,0,0,0,1,1,9,1,12,20,97,117,129,0,0,75,90.7,36.8
1.2,"IPC Crimes against Children","Other Murder",692,1358,1,2051,0,3,0,0,18,10,86,74,188,248,845,1093,1284,0,1,767,85.1,37.4
2,"IPC Crimes against Children","Abetment of Suicide of Child",98,228,0,326,0,0,0,0,6,4,6,1,17,46,140,186,203,0,0,123,91.6,37.7
3,"IPC Crimes against Children","Attempt to Commit Murder",308,323,0,631,0,0,0,0,6,1,5,1,13,87,218,305,318,1,0,312,95.9,49.4
4,"IPC Crimes against Children",Infanticide,83,56,0,139,0,0,0,0,4,1,27,0,32,7,13,20,52,0,0,87,38.5,62.6
5,"IPC Crimes against Children",Foeticide,51,128,0,179,0,0,0,0,3,5,90,0,98,8,15,23,121,0,0,58,19,32.4
6,"IPC Crimes against Children","Exposure and Abandonment",538,876,0,1414,0,2,0,7,42,25,711,1,786,22,70,92,880,0,0,534,10.5,37.8
7,"IPC Crimes against Children","Simple Hurt",532,2847,0,3379,0,0,1,2,26,55,111,0,194,198,2169,2367,2561,1,0,816,92.4,24.1
8,"IPC Crimes against Children","Grievous Hurt",297,317,0,614,0,0,0,0,5,2,8,0,15,37,205,242,257,1,0,356,94.2,58
9,"IPC Crimes against Children","Kidnapping and Abduction of Children - Total",34866,62668,22,97556,6,44,33,106,8638,18155,10344,272,37515,5791,14629,20420,57985,42,20,39496,35.2,40.5
9.1,"IPC Crimes against Children","Kidnapping and Abduction",22480,42908,1,65389,5,38,33,50,6094,14553,7383,207,28287,2843,7657,10500,38830,26,5,26500,27,40.5
9.1.1,"IPC Crimes against Children","Missing Children Deemed as Kidnapped",9681,23826,1,33508,0,23,33,32,4372,8625,3587,84,16700,911,3828,4739,21462,7,0,12006,22.1,35.8
9.1.2,"IPC Crimes against Children","Other Kidnapping & Abduction",12799,19082,0,31881,5,15,0,18,1722,5928,3796,123,11587,1932,3829,5761,17368,19,5,14494,33.2,45.5
9.2,"IPC Crimes against Children","Kidnapping and Abduction for the Purpose of Begging",49,71,0,120,0,0,0,14,13,6,3,0,36,9,48,57,93,0,0,27,61.3,22.5
9.3,"IPC Crimes against Children","Kidnapping and Abduction in order to Murder",135,164,0,299,0,0,0,1,12,4,81,0,98,26,32,58,156,1,0,142,37.2,47.5
9.4,"IPC Crimes against Children","Kidnapping for Ransom",99,110,0,209,1,0,0,0,5,13,3,2,23,17,58,75,99,0,0,110,75.8,52.6
9.5,"IPC Crimes against Children","Kidnapping and Abduction of Minor Girls to compel her for marriage",7038,13587,0,20625,0,1,0,24,1096,2688,1970,17,5795,1849,5014,6863,12659,14,15,7952,54.2,38.6
9.6,"IPC Crimes against Children","Procuration of Minor Girls",2528,3039,21,5588,0,4,0,4,684,369,371,36,1464,622,1003,1625,3093,0,0,2495,52.5,44.6
9.7,"IPC Crimes against Children","Importation of Girls from Foreign Country",2,3,0,5,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,100,80
9.8,"IPC Crimes against Children","Other Kidnapping & Abduction",2535,2786,0,5321,0,1,0,13,734,522,533,10,1812,425,816,1241,3054,1,0,2266,40.6,42.6
10,"IPC Crimes against Children","Human Trafficking",285,435,4,724,0,2,0,0,6,23,12,0,41,77,204,281,324,0,0,400,86.7,55.2
11,"IPC Crimes against Children","Selling of Minors for Prostitution - Total",121,42,0,163,0,0,0,0,0,5,6,0,11,11,27,38,49,0,0,114,77.6,69.9
11.1,"IPC Crimes against Children",Boys,9,2,0,11,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,10,100,90.9
11.2,"IPC Crimes against Children",Girls,112,40,0,152,0,0,0,0,0,5,6,0,11,11,26,37,48,0,0,104,77.1,68.4
12,"IPC Crimes against Children","Buying of Minors for Prostitution - Total",24,8,0,32,0,0,0,0,0,0,1,0,1,0,2,2,3,0,0,29,66.7,90.6
12.1,"IPC Crimes against Children",Boys,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,100
12.2,"IPC Crimes against Children",Girls,22,8,0,30,0,0,0,0,0,0,1,0,1,0,2,2,3,0,0,27,66.7,90
13,"IPC Crimes against Children",Rape,2552,9312,6,11870,0,6,0,2,235,96,153,5,491,1781,6995,8776,9273,2,13,2595,94.6,21.9
14,"IPC Crimes against Children","Attempt to Commit Rape",126,445,0,571,0,0,0,0,15,5,19,0,39,44,291,335,374,0,1,197,89.6,34.5
15,"IPC Crimes against Children","Assault on Women with Intent to Outrage her Modesty",1380,8030,3,9413,0,0,0,2,319,160,303,6,790,670,6187,6857,7647,12,1,1754,89.7,18.6
16,"IPC Crimes against Children","Insult to the Modesty of Women",150,172,0,322,0,0,0,0,3,8,12,0,23,56,117,173,196,0,0,126,88.3,39.1
17,"IPC Crimes against Children","Other IPC Crimes",5005,11346,1,16352,0,2,0,0,581,185,1645,88,2499,1513,6584,8097,10598,5,6,5749,76.4,35.2
Total,"IPC Crimes against Children","Total IPC Crimes against Children",47173,98730,37,145940,6,59,34,119,9908,18741,13548,449,42765,10616,38808,49424,92254,64,42,53588,53.6,36.7
18,"SLL Crimes","Protection of Children from Sexual Offences Act, 2012 - Total",15074,39827,23,54924,2,68,1,18,593,611,808,50,2080,8078,27490,35568,37718,25,29,17180,94.3,31.3
18.1,"SLL Crimes","Section 4 & 6 of POCSO Act or POCSO Act ( Section 4 & 6) r/w Section 376 IPC",7805,21605,2,29412,1,48,0,5,200,223,367,43,838,4564,15151,19715,20602,13,14,8797,95.7,29.9
18.1.1A,"SLL Crimes",Girls,7761,21401,2,29164,1,48,0,5,191,219,360,42,817,4538,15006,19544,20410,13,14,8741,95.8,30
18.1.1B,"SLL Crimes",Boys,44,204,0,248,0,0,0,0,9,4,7,1,21,26,145,171,192,0,0,56,89.1,22.6
18.2,"SLL Crimes","Section 8 & 10 of POCSO Act or POCSO Act (Section 8 & 10) r/w Section 354 IPC",5553,14320,20,19893,0,16,1,11,240,236,296,5,788,2876,9743,12619,13423,9,13,6460,94,32.5
18.2.1A,"SLL Crimes",Girls,5507,14124,10,19641,0,16,1,11,231,233,294,5,774,2845,9652,12497,13287,8,12,6345,94.1,32.3
18.2.1B,"SLL Crimes",Boys,46,196,10,252,0,0,0,0,9,3,2,0,14,31,91,122,136,1,1,115,89.7,45.6
18.3,"SLL Crimes","Section 12 of POCSO Act or POCSO Act (Section 12) r/w Section 509 IPC",710,1686,1,2397,0,2,0,2,67,43,59,1,172,322,1128,1450,1624,2,2,771,89.3,32.2
18.3.1A,"SLL Crimes",Girls,689,1651,1,2341,0,2,0,2,65,42,56,1,166,313,1111,1424,1592,2,2,747,89.4,31.9
18.3.1B,"SLL Crimes",Boys,21,35,0,56,0,0,0,0,2,1,3,0,6,9,17,26,32,0,0,24,81.3,42.9
