"Si. No. (Col. 1)","Crime Head (Col. 2)","Cases Pending Investigation from Previous Year - (Col. 3)","Cases Reported during the year - (Col. 4)","Cases Reopened for Investigation - (Col. 5)","Total Cases for Investigation (Col.3+Col.4+Col.5) - (Col. 6)","Cases Not Investigated Under 157_1_b CRPC - (Col. 7)","Cases Transferred to Other State or Agency - (Col. 8)","Cases Withdrawn by the Govt during Investigation - (Col. 9)","Final Report - Cases Ended as FR Non Cognizable - (Col. 10)","Final Report - Cases Ended as Final Report False - (Col. 11)","Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute - (Col. 12)","Final Report - Cases True but Insufficient Evidence or Untraced or No Clue - (Col. 13)","Final Report - Cases Abated during Investigation - (Col. 14)","Final Report - Total (Col.10+Col.11+Col.12+Col13+Col.14) - (Col. 15)","Charge Sheets Submitted - Cases ChargeSheeted Out of cases frm prv. Year - (Col. 16)","Charge Sheets Submitted - Cases Chargesheeted Out of Cases during the year - (Col. 17)","Charge Sheets Submitted - Cases Chargesheeted (Col.16+Col.17) - (Col. 18)","Total Cases Disposed Off by Police (Col.7+8+15+18) - (Col. 19)","Cases Quashed at Investigation Stage - (Col. 20)","Cases Stayed at Investigation Stage - (Col. 21)","Cases Pending Invsgn.at end of the year (Cols.6-9-19-20) - (Col. 22)","Chargesheeting Rate (Col.18/19*100) - (Col. 23)","Pendency Percentage (Col.22/6*100) - (Col. 24)"
1,Murder,929,1420,0,2349,0,4,0,0,17,16,72,68,173,258,908,1166,1343,0,0,1006,86.8,42.8
1.1,"Murder with Rape/POCSO",74,115,0,189,0,2,0,0,0,3,3,0,6,21,83,104,112,0,0,77,92.9,40.7
1.2,"Other Murder",855,1305,0,2160,0,2,0,0,17,13,69,68,167,237,825,1062,1231,0,0,929,86.3,43
2,"Abetment of Suicide of Child",148,281,0,429,0,0,0,0,2,4,6,0,12,54,187,241,253,0,0,176,95.3,41
3,"Attempt to Commit Murder",310,336,0,646,0,1,0,0,8,6,7,1,22,108,223,331,354,1,0,291,93.5,45
4,Infanticide,71,79,0,150,0,0,0,1,0,3,26,1,31,12,15,27,58,0,0,92,46.6,61.3
5,Foeticide,58,109,0,167,0,0,0,0,6,1,45,2,54,1,17,18,72,0,0,95,25,56.9
6,"Exposure and Abandonment",608,747,0,1355,0,0,0,0,12,20,601,1,634,48,86,134,768,0,0,587,17.4,43.3
7,"Simple Hurt",957,3255,0,4212,0,1,0,32,42,35,85,0,194,365,2509,2874,3069,4,1,1139,93.6,27
8,"Grievous Hurt",362,631,0,993,0,0,0,16,11,9,39,0,75,178,437,615,690,0,0,303,89.1,30.5
9,"Kidnapping and Abduction of Children",44400,54785,8,99193,0,29,8,93,8912,20302,7903,261,37471,5883,12467,18350,55850,52,14,43283,32.9,43.6
9.1,"Kidnapping and Abduction",30101,37501,6,67608,0,26,7,88,6405,17062,5420,194,29169,2963,6464,9427,38622,50,2,28929,24.4,42.8
9.1.1,"Missing Children Deemed as Kidnapped",14917,21248,3,36168,0,16,7,75,4468,10425,2712,127,17807,1293,2874,4167,21990,17,0,14154,18.9,39.1
9.1.2,"Other Kidnapping & Abduction",15184,16253,3,31440,0,10,0,13,1937,6637,2708,67,11362,1670,3590,5260,16632,33,2,14775,31.6,47
9.2,"Kidnapping and Abduction for the Purpose of Begging",34,44,0,78,0,0,0,0,3,1,14,5,23,5,8,13,36,0,0,42,36.1,53.8
9.3,"Kidnapping and Abduction in order to Murder",65,56,0,121,0,0,0,0,4,8,13,0,25,14,30,44,69,0,0,52,63.8,43
9.4,"Kidnapping for Ransom",107,77,0,184,0,0,0,0,3,3,12,0,18,15,54,69,87,0,0,97,79.3,52.7
