"Sl. No. Col. (1)","Crime Head Col. (2)","Cases Pending Investigation from Previous Year - Col. (3)","Cases Reported during the year - Col. (4)","Cases Reopened for Investigation - Col. (5)","Total Cases for Investigation (Col.3+Col.4+Col.5) - Col. (6)","Cases Not Investigated Under 157_1_b CRPC - Col. (7)","Cases Transferred to Other State or Agency - Col. (8)","Cases Withdrawn by the Govt during Investigation - Col. (9)","Final Report - Cases Ended as FR Non Cognizable - Col. (10)","Final Report - Cases Ended as Final Report False - Col. (11)","Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute - Col. (12)","Final Report - Cases True but Insufficient Evidence or Untraced or No Clue - Col. (13)","Final Report - Cases Abated during Investigation - Col. (14)","Final Report - Total (Col.10+ Col.11+ Col.12+ Col13+ Col.14) - Col. (15)","Charge Sheets Submitted - Cases Charge Sheeted Out of cases From Prev. Year - Col. (16)","Charge Sheets Submitted - Cases Charge sheeted Out of Cases during the year - Col. (17)","Charge Sheets Submitted - Cases Charge sheeted (Col.16+ Col.17) - Col. (18)","Total Cases Disposed Off by Police (Col.7+8+15+18) - Col. (19)","Cases Quashed at Investigation Stage - Col. (20)","Cases Stayed at Investigation Stage - Col. (21)","Cases Pending Invsgn.at end of the year (Col.6-9-19-20) - Col. (22)","Chargesheeting Rate (Col.18/ 19*100) - Col. (23)","Pendency Percentage (Col.22/ 6*100) - Col. (24)"
1,Murder,1006,1279,1,2286,0,7,0,0,19,13,81,56,169,340,821,1161,1337,0,0,949,86.8,41.5
1.1,"Murder with Rape/POCSO",77,135,0,212,0,0,0,0,2,0,2,1,5,19,99,118,123,0,0,89,95.9,42
1.2,"Other Murder",929,1144,1,2074,0,7,0,0,17,13,79,55,164,321,722,1043,1214,0,0,860,85.9,41.5
2,"Abetment of Suicide of Child",176,337,2,515,0,0,0,0,9,4,9,0,22,59,229,288,310,0,0,205,92.9,39.8
3,"Attempt to Commit Murder",291,285,0,576,0,0,0,0,0,1,7,0,8,58,161,219,227,0,0,349,96.5,60.6
4,Infanticide,90,79,0,169,0,0,0,0,2,5,37,0,44,12,11,23,67,0,0,102,34.3,60.4
5,Foeticide,95,121,0,216,0,0,0,0,12,4,90,0,106,10,17,27,133,0,0,83,20.3,38.4
6,"Exposure and Abandonment",476,709,0,1185,0,0,0,0,11,21,597,2,631,36,108,144,775,0,1,410,18.6,34.6
7,"Simple Hurt",1138,3369,0,4507,0,0,0,21,39,56,85,0,201,410,2501,2911,3112,2,0,1393,93.5,30.9
8,"Grievous Hurt",303,368,0,671,0,0,0,0,1,7,27,0,35,53,240,293,328,1,0,342,89.3,51
9,"Kidnapping and Abduction of Children",43280,67245,16,110541,0,30,0,302,12348,18845,12240,301,44036,7325,16355,23680,67746,33,39,42762,35,38.7
