"S. No (Col.1)","Category (Col.2)","Crime Head (Col.3)","Cases Pending Investigation from Previous Year (Col.4)","Cases Reported during the year (Col.5)","Cases Reopened for Investigation (Col.6)","Total Cases for Investigation (Col.7=Col.4+ Col.5+ Col.6)","Cases Not Investigated under 157_1_b CRPC (Col.8)","Cases Transferred to other State or Agency (Col.9)","Cases withdrawn by the Govt during Investigation (Col.10)","Final Report - Cases Ended as FR Non Cognizable (Col.11)","Final Report - Cases Ended as Final Report False (Col.12)","Final Report - Cases Ended as Mistake of Fact or of Law or Civil Dispute (Col.13)","Final Report - Cases True but Insufficient Evidence or Untraced or No Clue (Col.14)","Final Report - Cases Abated during Investigation (Col.15)","Final Report - Total (Col.16=Col.11+ Col.12+ Col.13+ Col.14+ Col.15)","Chargesheets Submitted - Cases Chargesheeted Out of Cases from Previous Year (Col.17)","Chargesheets Submitted - Cases Chargesheeted Out of Cases during the Year (Col.18)","Chargesheets Submitted - Cases Chargesheeted (Col.19=Col.17+ Col.18)","Total Cases Disposed Off by Police (Col.20=Col.8+ Col.9+ Col.16+ Col.19)","Cases Quashed at Investigation Stage (Col.21)","Cases Stayed at Investigation Stage (Col.22)","Cases Pending Investigation at End of the Year (Col.23=Col.7- Col.10- Col.20- Col.21)","Chargesheeting Rate (Col.24=Col.19/ Col.20) *100","Pendency Percentage (Col.25=Col.23/ Col.7) *100"
1,"IPC Crimes against Women","Murder with Rape/Gang Rape",99,294,0,393,0,1,0,0,1,6,24,2,33,31,193,224,258,0,0,135,86.8,34.4
2,"IPC Crimes against Women","Dowry Deaths",3468,7166,3,10637,0,3,0,1,162,170,369,5,707,2049,4603,6652,7362,2,1,3273,90.4,30.8
3,"IPC Crimes against Women","Abetment to Suicide of Women",2729,5037,5,7771,0,8,1,0,183,70,126,9,388,1451,3040,4491,4887,5,7,2878,91.9,37
4,"IPC Crimes against Women",Miscarriage,135,213,0,348,0,0,0,0,10,7,92,0,109,30,90,120,229,1,0,118,52.4,33.9
5,"IPC Crimes against Women","Acid Attack",57,131,0,188,0,0,0,4,5,2,10,0,21,19,81,100,121,1,0,66,82.6,35.1
6,"IPC Crimes against Women","Attempt to Acid Attack",15,37,0,52,0,0,0,0,2,0,1,0,3,6,20,26,29,0,0,23,89.7,44.2
7,"IPC Crimes against Women","Cruelty by Husband or his relatives",47288,103272,11,150571,2,154,16,170,4950,5743,6476,509,17848,23883,58954,82837,100841,339,159,49375,82.1,32.8
8,"IPC Crimes against Women","Kidnapping and Abduction of Women - Total",46340,72751,36,119127,4,22,22,152,9505,18243,13030,399,41329,8357,20172,28529,69884,38,55,49183,40.8,41.3
8.1,"IPC Crimes against Women","Kidnapping and Abduction",16189,30026,3,46218,4,10,22,16,3760,9096,4767,93,17732,2127,6949,9076,26822,14,7,19360,33.8,41.9
8.2,"IPC Crimes against Women","Kidnapping and Abduction in order to Murder",93,195,0,288,0,0,0,0,5,3,56,0,64,18,61,79,143,1,0,144,55.2,50
8.3,"IPC Crimes against Women","Kidnapping for Ransom",126,82,0,208,0,0,0,0,8,13,20,1,42,27,29,56,98,0,0,110,57.1,52.9
8.4,"IPC Crimes against Women","Kidnapping and Abduction of Women to compel her for marriage",22015,33354,12,55381,0,6,0,97,3323,6879,6910,150,17359,4761,10676,15437,32802,19,48,22560,47.1,40.7
8.4.1,"IPC Crimes against Women",Women,15469,19832,12,35313,0,5,0,54,2173,4303,4923,134,11587,2949,5609,8558,20150,1,29,15162,42.5,42.9
8.4.2,"IPC Crimes against Women",Girls,6546,13522,0,20068,0,1,0,43,1150,2576,1987,16,5772,1812,5067,6879,12652,18,19,7398,54.4,36.9
