"Sl. Col. (1)","Crime Head Col. (2)","Cases Pending Investigation from Previous Year - Col. (3)","Cases Reported during the year - Col. (4)","Cases Reopened for Investigation - Col. (5)","Total Cases for Investigation (Col.3+Col.4+Col.5) - Col. (6)","Cases Not Investigated Under 157_1_b CRPC - Col. (7)","Cases Transferred to Other State or Agency - Col. (8)","Cases Withdrawn by the Govt during Investigation - Col. (9)","Final Report - Cases Ended as FR Non Cognizable - Col. (10)","Final Report - Cases Ended as Final Report False - Col. (11)","Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute - Col. (12)","Final Report - Cases True but Insufficient Evidence or Untraced or No Clue - Col. (13)","Final Report - Cases Abated during Investigation - Col. (14)","Final Report - Total (Col.10+Col.11+Col.12+Col13+Col.14) - Col. (15)","Charge Sheets Submitted - Cases ChargeSheeted Out of cases From Prev. Year - Col. (16)","Charge Sheets Submitted - Cases Charge sheeted Out of Cases during the year - Col. (17)","Charge Sheets Submitted - Cases Charge sheeted (Col.16+Col.17) - Col. (18)","Total Cases Disposed Off by Police (Col.7+8+15+18) - Col. (19)","Cases Quashed at Investigation Stage - Col. (20)","Cases Stayed at Investigation Stage - Col. (21)","Cases Pending Invsgn.at end of the year (Col.6-9-19-20) - Col. (22)","Chargesheeting Rate (Col.18/19*100) - Col. (23)","Pendency Percentage (Col.22/6*100) - Col. (24)"
1,"Murder with Rape/Gang Rape",184,284,0,468,0,0,0,0,9,3,9,1,22,48,183,231,253,0,0,215,91.3,45.9
2,"Dowry Deaths",3692,6753,5,10450,0,2,0,5,199,202,330,4,740,1893,4316,6209,6951,0,0,3499,89.3,33.5
3,"Abetment to Suicide of Women",3568,5292,21,8881,0,5,0,6,197,117,157,8,485,1618,3156,4774,5264,6,8,3611,90.7,40.7
4,Miscarriage,149,196,0,345,0,0,0,0,17,6,53,0,76,32,92,124,200,0,0,145,62,42
5,"Acid Attack",59,102,0,161,0,0,0,0,4,2,6,0,12,26,71,97,109,0,0,52,89,32.3
6,"Attempt to Acid Attack",34,48,0,82,0,0,0,0,2,1,6,0,9,8,25,33,42,0,1,40,78.6,48.8
7,"Cruelty by Husband or his relatives",54484,136234,9,190727,3,110,1,44,6938,7037,6860,131,21010,27623,86681,114304,135427,256,141,55043,84.4,28.9
8,"Kidnapping and Abduction of Women",52447,75369,18,127834,11,23,0,236,11680,19628,14753,305,46602,9184,20334,29518,76154,31,56,51649,38.8,40.4
8.1,"Kidnapping and Abduction",21469,36406,5,57880,3,13,0,114,5582,11727,6043,205,23671,2892,8283,11175,34862,8,7,23010,32.1,39.8
8.2,"Kidnapping and Abduction in order to Murder",116,90,0,206,0,0,0,0,20,10,26,0,56,14,32,46,102,0,0,104,45.1,50.5
8.3,"Kidnapping for Ransom",83,65,0,148,0,1,0,0,1,12,4,0,17,18,25,43,61,0,0,87,70.5,58.8
8.4,"Kidnapping and Abduction of Women to compel her for marriage",22394,28012,4,50410,8,5,0,121,3881,5574,7194,75,16845,4669,8523,13192,30050,10,23,20350,43.9,40.4
8.4.1,Women,13326,15712,2,29040,8,3,0,1,2111,3583,5366,71,11132,2037,4044,6081,17224,3,16,11813,35.3,40.7
8.4.2,Girls,9068,12300,2,21370,0,2,0,120,1770,1991,1828,4,5713,2632,4479,7111,12826,7,7,8537,55.4,39.9
8.5,"Procuration of Minor Girls",2931,2566,3,5500,0,4,0,1,681,284,664,22,1652,483,751,1234,2890,4,26,2606,42.7,47.4
8.6,"Importation of Girls from Foreign Country",4,2,0,6,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,4,100,66.7
8.7,NA,5450,8228,6,13684,0,0,0,0,1515,2021,822,3,4361,1107,2719,3826,8187,9,0,5488,46.7,40.1
9,"Human Trafficking",660,914,2,1576,0,1,0,0,19,25,43,3,90,290,469,759,850,0,0,726,89.3,46.1
10,"Selling of Minor Girls",72,12,0,84,0,0,0,0,0,3,7,0,10,7,8,15,25,0,0,59,60,70.2
11,"Buying of Minor Girls",17,2,0,19,0,0,0,0,0,0,0,0,0,3,2,5,5,0,0,14,100,73.7
12,Rape,14391,31677,59,46127,3,119,0,14,4009,819,1355,59,6256,6807,19357,26164,32542,48,29,13537,80.4,29.3
12.1,Women,12600,28644,52,41296,3,111,0,14,3722,724,1296,56,5812,5933,17284,23217,29143,46,29,12107,79.7,29.3
12.2,Girls,1791,3033,7,4831,0,8,0,0,287,95,59,3,444,874,2073,2947,3399,2,0,1430,86.7,29.6
13,"Attempt to Commit Rape",1794,3800,0,5594,0,1,0,0,730,196,213,14,1153,709,2031,2740,3894,0,0,1700,70.4,30.4
