"S. No (Col.1)","Category (Col.2)","Crime Head (Col.3)","Cases Pending Investigation from Previous Year (Col.4)","Cases Reported during the year (Col.5)","Cases Reopened for Investigation (Col.6)","Total Cases for Investigation (Col.7=Col.4+ Col.5+ Col.6)","Cases Not Investigated Under 157_1_b CRPC (Col.8)","Cases Transferred to other State or Agency (Col.9)","Cases Withdrawn by the Govt during Investigation (Col.10)","Final Report - Cases Ended as FR Non Cognizable (Col.11)","Final Report - Cases Ended as Final Report False (Col.12)","Final Report - Cases Ended as Mistake of Fact or of Law or Civil Dispute (Col.13)","Final Report - Cases True but Insufficient Evidence or Untraced or No Clue (Col.14)","Final Report - Cases Abated during Investigation (Col.15)","Final Report - Total (Col.16=Col.11+ Col.12+ Col.13+ Col.14+ Col.15)","Chargesheets Submitted - Cases Chargesheeted Out of Cases from Previous Year (Col.17)","Chargesheets Submitted - Cases Chargesheeted Out of Cases during the Year (Col.18)","Chargesheets Submitted - Cases Chargesheeted (Col.19=Col.17+ Col.18)","Total Cases Disposed Off by Police (Col.20=Col.8+ Col.9+ Col.16+ Col.19)","Cases Quashed at Investigation Stage (Col.21)","Cases Stayed at Investigation Stage (Col.22)","Cases Pending Investigation at End of the Year (Col.23=Col.7- Col.10- Col.20- Col.21)","Chargesheeting Rate (Col.23=Col.19/ Col.20) *100","Pendency Percentage (Col.25=Col.23/ Col.7) *100"
1,"IPC Crimes","Murder with Rape/Gang Rape - Total",17,16,0,33,0,0,0,0,0,0,1,2,3,5,10,15,18,0,0,15,83.3,45.5
2,"IPC Crimes","Dowry Deaths",237,361,2,600,0,0,0,0,3,4,11,1,19,92,229,321,340,0,1,260,94.4,43.3
3,"IPC Crimes","Abetment to Suicide of Women",578,404,0,982,0,1,0,0,10,8,25,1,44,143,215,358,403,3,1,576,88.8,58.7
4,"IPC Crimes",Miscarriage,10,13,0,23,0,0,0,0,0,0,11,0,11,2,5,7,18,1,0,4,38.9,17.4
5,"IPC Crimes","Acid Attack",16,21,0,37,0,0,0,0,0,0,1,0,1,5,13,18,19,0,0,18,94.7,48.6
6,"IPC Crimes","Attempt to Acid Attack",7,18,0,25,0,0,0,0,0,0,1,0,1,3,8,11,12,0,0,13,91.7,52
7,"IPC Crimes","Cruelty by Husband or his relatives",11624,11788,2,23414,0,18,9,0,132,1020,674,18,1844,4585,3835,8420,10282,198,11,12925,81.9,55.2
8,"IPC Crimes","Kidnapping and Abduction of Women - Total",8934,8992,0,17926,0,2,22,2,942,3244,1889,20,6097,655,830,1485,7584,16,2,10304,19.6,57.5
8.1,"IPC Crimes","Kidnapping and Abduction",6976,6750,0,13726,0,1,22,2,857,2941,1246,18,5064,246,417,663,5728,11,0,7965,11.6,58
8.2,"IPC Crimes","Kidnapping and Abduction in order to Murder",3,2,0,5,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,100,80
8.3,"IPC Crimes","Kidnapping for Ransom",17,5,0,22,0,0,0,0,0,1,0,0,1,12,1,13,14,0,0,8,92.9,36.4
8.4,"IPC Crimes","Kidnapping and Abduction of Women to Compel her for Marriage",918,1909,0,2827,0,1,0,0,67,78,592,1,738,324,359,683,1422,4,2,1401,48,49.6
8.4.1,"IPC Crimes","Kidnapping and Abduction of Women to Compel her for Marriage - Women",666,1664,0,2330,0,1,0,0,63,48,485,0,596,234,258,492,1089,0,0,1241,45.2,53.3
8.4.2,"IPC Crimes","Kidnapping and Abduction of Women to Compel her for Marriage - Girls",252,245,0,497,0,0,0,0,4,30,107,1,142,90,101,191,333,4,2,160,57.4,32.2
8.5,"IPC Crimes","Procuration of Minor Girls",92,93,0,185,0,0,0,0,16,4,12,0,32,29,23,52,84,0,0,101,61.9,54.6
8.6,"IPC Crimes","Importation of Girls from Foreign Country",2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,100
8.7,"IPC Crimes",NA,926,232,0,1158,0,0,0,0,2,220,39,1,262,44,29,73,335,1,0,822,21.8,71
9,"IPC Crimes","Human Trafficking",47,143,0,190,0,0,0,0,0,2,7,0,9,24,73,97,106,0,0,84,91.5,44.2
10,"IPC Crimes","Selling of Minor Girls",7,2,0,9,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,7,100,77.8
11,"IPC Crimes","Buying of Minor Girls",7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA,100
12,"IPC Crimes","Rape - Total",1516,2776,1,4293,0,14,2,1,128,71,75,2,277,1048,1758,2806,3097,22,2,1172,90.6,27.3
12.1,"IPC Crimes","Rape - Women",1442,2668,1,4111,0,13,2,1,123,66,72,2,264,999,1701,2700,2977,22,2,1110,90.7,27
12.2,"IPC Crimes","Rape - Girls",74,108,0,182,0,1,0,0,5,5,3,0,13,49,57,106,120,0,0,62,88.3,34.1
13,"IPC Crimes","Attempt to Commit Rape - Total",50,64,0,114,0,0,0,0,4,2,9,0,15,14,42,56,71,0,0,43,78.9,37.7
13.1,"IPC Crimes","Attempt to Commit Rape - Women",42,58,0,100,0,0,0,0,4,2,9,0,15,13,37,50,65,0,0,35,76.9,35
13.2,"IPC Crimes","Attempt to Commit Rape - Girls",8,6,0,14,0,0,0,0,0,0,0,0,0,1,5,6,6,0,0,8,100,57.1
14,"IPC Crimes","Assault on Women with Intent to Outrage her Modesty - Total",6599,9013,1,15613,0,8,4,20,262,171,548,8,1009,3449,4971,8420,9437,31,5,6141,89.2,39.3
14.1,"IPC Crimes","Assault on Women with Intent to Outrage her Modesty - Women",6524,8897,0,15421,0,8,4,20,250,165,542,8,985,3396,4897,8293,9286,29,5,6102,89.3,39.6
14.2,"IPC Crimes","Assault on Women with Intent to Outrage her Modesty - Girls",75,116,1,192,0,0,0,0,12,6,6,0,24,53,74,127,151,2,0,39,84.1,20.3
15,"IPC Crimes","Insult to the Modesty of Women - Total",1950,1677,0,3627,0,3,0,1,24,18,112,3,158,629,665,1294,1455,2,3,2170,88.9,59.8
15.1,"IPC Crimes","Insult to the Modesty of Women - Women",1947,1671,0,3618,0,3,0,1,24,18,111,3,157,627,660,1287,1447,2,3,2169,88.9,60
15.2,"IPC Crimes","Insult to the Modesty of Women - Girls",3,6,0,9,0,0,0,0,0,0,1,0,1,2,5,7,8,0,0,1,87.5,11.1
Total,"IPC Crimes","Total IPC Crimes against Women",31599,35288,6,66893,0,46,37,24,1505,4540,3364,55,9488,10654,12656,23310,32844,273,25,33739,71,50.4
16,"SLL Crimes","Dowry Prohibition Act",398,851,0,1249,0,29,0,0,80,5,34,0,119,196,526,722,870,0,22,379,83,30.3
17,"SLL Crimes","Immoral Traffic (Prevention) Act - Total",590,538,1,1129,0,0,0,0,0,0,2,0,2,82,257,339,341,0,1,788,99.4,69.8
17.1,"SLL Crimes","Procuring, inducing Children for the sake of prostitution",439,51,0,490,0,0,0,0,0,0,0,0,0,23,39,62,62,0,0,428,100,87.3
17.2,"SLL Crimes","Detaining a person in premises where prostitution is carried on",21,54,0,75,0,0,0,0,0,0,0,0,0,21,42,63,63,0,0,12,100,16
17.3,"SLL Crimes","Prostitution in or in the vicinity of public places",52,52,1,105,0,0,0,0,0,0,0,0,0,12,41,53,53,0,1,52,100,49.5
17.4,"SLL Crimes","Seducing or soliciting for purpose of prostitution",19,70,0,89,0,0,0,0,0,0,0,0,0,16,63,79,79,0,0,10,100,11.2
17.5,"SLL Crimes","Other Sections under ITP Act",59,311,0,370,0,0,0,0,0,0,2,0,2,10,72,82,84,0,0,286,97.6,77.3
18,"SLL Crimes","Protection of Women from Domestic Violence Act",14,9,0,23,0,0,0,0,0,0,0,0,0,5,6,11,11,0,0,12,100,52.2
19,"SLL Crimes","Cyber Crimes/Information Technology Act - Total",245,89,0,334,0,1,0,0,3,15,14,0,32,15,13,28,61,0,0,273,45.9,81.7
19.1,"SLL Crimes","Publishing or Transmitting of Sexually Explicit Material",194,72,0,266,0,1,0,0,3,10,11,0,24,11,9,20,45,0,0,221,44.4,83.1
19.2,"SLL Crimes","Other Women Centric Cyber Crimes",51,17,0,68,0,0,0,0,0,5,3,0,8,4,4,8,16,0,0,52,50,76.5
20,"SLL Crimes","Protection of Children from Sexual Violence Act - Total",3992,5398,5,9395,0,12,1,0,29,50,109,2,190,1498,3727,5225,5427,11,0,3956,96.3,42.1
20.1,"SLL Crimes","POCSO Act Section 4 & 6",1664,3011,2,4677,0,10,0,0,8,25,50,1,84,768,2130,2898,2992,6,0,1679,96.9,35.9
20.2,"SLL Crimes","POCSO Act Section 8 & 10",2089,2086,2,4177,0,1,1,0,14,22,48,1,85,656,1393,2049,2135,4,0,2037,96,48.8
20.3,"SLL Crimes","POCSO Act Section 12",160,257,1,418,0,0,0,0,5,1,10,0,16,42,179,221,237,1,0,180,93.2,43.1
20.4,"SLL Crimes","POCSO Act Section 14 & 15",5,21,0,26,0,0,0,0,1,1,0,0,2,2,12,14,16,0,0,10,87.5,38.5
20.5,"SLL Crimes","POCSO Act Section 17,18,19",71,19,0,90,0,1,0,0,1,1,0,0,2,28,11,39,42,0,0,48,92.9,53.3
20.6,"SLL Crimes","POCSO Act r/w Section 377 IPC",3,4,0,7,0,0,0,0,0,0,1,0,1,2,2,4,5,0,0,2,80,28.6
21,"SLL Crimes","Indecent Representation of Women (Prohibition) Act",2,7,0,9,0,0,0,0,0,1,2,0,3,0,0,0,3,0,0,6,0,66.7
Total,"SLL Crimes","Total SLL Crimes against Women",5241,6892,6,12139,0,42,1,0,112,71,161,2,346,1796,4529,6325,6713,11,23,5414,94.2,44.6
"Grand Total","Total Crime against Women","Total Crime against Women",36840,42180,12,79032,0,88,38,24,1617,4611,3525,57,9834,12450,17185,29635,39557,284,48,39153,74.9,49.5
