"Sl. No. Col. (1)","Crime Head Col. (2)","Cases Pending Investigation from Previous Year - Col. (3)","Cases Reported during the year - Col. (4)","Cases Reopened for Investigation - Col. (5)","Total Cases for Investigation (Col.3+ Col.4+ Col.5) - Col. (6)","Cases Not Investigated Under 157-1-b CRPC - Col. (7)","Cases Transferred to Other State or Agency - Col. (8)","Cases Withdrawn by the Govt during Investi-gation - Col. (9)","Final Report - Cases Ended as FR Non Cognizable - Col. (10)","Final Report - Cases Ended as Final Report False - Col. (11)","Final Report - Cases Ended as Mistake of Fact or of law or Civil D - Col. (12)","Final Report - Cases True but Insufficient Evidence or Untraced or No Clue - Col. (13)","Final Report - Cases Abated during Investigation - Col. (14)","Final Report - Total (Col.10+ Col.11+ Col.12+ Col13+ Col.14) - Col. (15)","Charge Sheets Submitted - Cases Charge Sheeted Out of cases From Prev. Year - Col. (16)","Charge Sheets Submitted - Cases Charge sheeted Out of Cases during the year - Col. (17)","Charge Sheets Submitted - Cases Charge sheeted (Col.16+Col.17) - Col. (18)","Total Cases Disposed Off by Police (Col.7+8+15+18) - Col. (19)","Cases Quashed at Investigation Stage - Col. (20)","Cases Stayed at Investigation Stage - Col. (21)","Cases Pending Invsgn.at end of the year (Col.6-9-19-20) - Col. (22)","Chargesheeting Rate (Col.18/19*100) - Col. (23)","Pendency Percentage (Col.22/6*100) - Col. (24)"
1,"Murder with Rape/Gang Rape",20,15,0,35,0,0,0,0,0,0,1,0,1,4,10,14,15,0,0,20,93.3,57.1
2,"Dowry Deaths",218,375,0,593,0,1,0,0,2,11,7,0,20,111,248,359,380,0,0,213,94.5,35.9
3,"Abetment to Suicide of Women",684,389,0,1073,0,0,0,0,6,14,28,1,49,130,225,355,404,3,0,666,87.9,62.1
4,Miscarriage,18,10,0,28,0,0,0,0,0,0,2,0,2,7,5,12,14,0,0,14,85.7,50
5,"Acid Attack",13,16,0,29,0,0,0,0,0,1,0,0,1,6,9,15,16,0,0,13,93.8,44.8
6,"Attempt to Acid Attack",20,12,0,32,0,0,0,0,1,0,1,0,2,5,7,12,14,0,1,18,85.7,56.3
7,"Cruelty by Husband or his relatives",12484,14312,0,26796,0,8,0,4,106,590,1041,2,1743,5505,5526,11031,12782,165,45,13849,86.3,51.7
8,"Kidnapping and Abduction of Women",10847,8664,0,19511,0,5,0,0,938,4681,1126,1,6746,868,909,1777,8528,18,1,10965,20.8,56.2
8.1,"Kidnapping and Abduction",9277,7362,0,16639,0,4,0,0,909,4328,751,1,5989,468,514,982,6975,7,1,9657,14.1,58
8.2,"Kidnapping and Abduction in order to Murder",5,7,0,12,0,0,0,0,0,0,0,0,0,2,2,4,4,0,0,8,100,66.7
8.3,"Kidnapping for Ransom",6,9,0,15,0,1,0,0,0,0,0,0,0,0,4,4,5,0,0,10,80,66.7
8.4,"Kidnapping and Abduction of Women to compel her for marriage",661,690,0,1351,0,0,0,0,19,18,309,0,346,228,294,522,868,4,0,479,60.1,35.5
8.4.1,Women,522,440,0,962,0,0,0,0,7,7,201,0,215,191,208,399,614,0,0,348,65,36.2
8.4.2,Girls,139,250,0,389,0,0,0,0,12,11,108,0,131,37,86,123,254,4,0,131,48.4,33.7
8.5,"Procuration of Minor Girls",79,26,0,105,0,0,0,0,0,0,2,0,2,24,13,37,39,0,0,66,94.9,62.9
8.6,"Importation of Girls from Foreign Country",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,100,0.0
8.7,NA,819,569,0,1388,0,0,0,0,10,335,64,0,409,146,81,227,636,7,0,745,35.7,53.7
9,"Human Trafficking",93,104,0,197,0,0,0,0,1,0,0,0,1,45,55,100,101,0,0,96,99,48.7
10,"Selling of Minor Girls",4,1,0,5,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,100,80
11,"Buying of Minor Girls",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,100,0.0
12,Rape,1330,3208,0,4538,0,11,0,3,196,81,60,5,345,858,2103,2961,3317,14,12,1207,89.3,26.6
12.1,Women,1268,3103,0,4371,0,11,0,3,177,75,60,5,320,814,2035,2849,3180,14,12,1177,89.6,26.9
12.2,Girls,62,105,0,167,0,0,0,0,19,6,0,0,25,44,68,112,137,0,0,30,81.8,18
13,"Attempt to Commit Rape",46,56,0,102,0,1,0,0,10,4,3,0,17,14,35,49,67,0,0,35,73.1,34.3
13.1,Women,41,50,0,91,0,1,0,0,9,4,3,0,16,11,31,42,59,0,0,32,71.2,35.2
13.2,Girls,5,6,0,11,0,0,0,0,1,0,0,0,1,3,4,7,8,0,0,3,87.5,27.3
14,"Assault on Women with Intent to Outrage her Modesty",6468,7610,0,14078,0,17,0,13,296,192,380,8,889,3172,4321,7493,8399,6,10,5673,89.2,40.3
