"Sl. No. Col. (1)","Crime Head Col. (2)","Cases Pending Investigation from Previous Year - Col. (3)","Cases Reported during the year - Col. (4)","Cases Reopened for Investigation - Col. (5)","Total Cases for Investigation (Col.3+Col.4+Col.5) - Col. (6)","Cases Not Investigated Under 157_1_b CRPC - Col. (7)","Cases Transferred to Other State or Agency - Col. (8)","Cases Withdrawn by the Govt during Investigation - Col. (9)","Final Report - Cases Ended as FR Non Cognizable - Col. (10)","Final Report - Cases Ended as Final Report False - Col. (11)","Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute - Col. (12)","Final Report - Cases True but Insufficient Evidence or Untraced or No Clue - Col. (13)","Final Report - Cases Abated during Investigation - Col. (14)","Final Report - Total (Col.10+Col.11+Col.12+Col13+Col.14) - Col. (15)","Charge Sheets Submitted - Cases ChargeSheeted Out of cases From Prev. Year - Col. (16)","Charge Sheets Submitted - Cases Charge sheeted Out of Cases during the year - Col. (17)","Charge Sheets Submitted - Cases Charge sheeted (Col.16+Col.17) - Col. (18)","Total Cases Disposed Off by Police (Col.7+8+15+18) - Col. (19)","Cases Quashed at Investigation Stage - Col. (20)","Cases Stayed at Investigation Stage - Col. (21)","Cases Pending Invsgn.at end of the year (Col.6-9-19-20) - Col. (22)","Chargesheeting Rate (Col.18/19*100) - Col. (23)","Pendency Percentage (Col.22/6*100) - Col. (24)"
1,"The Dowry Prohibition Act",7719,13568,0,21287,1,49,0,32,418,670,1086,23,2229,3241,7462,10703,12982,13,4,8292,82.4,39
2,"The Immoral Traffic (Prevention) Act",2497,1678,18,4193,0,0,0,0,9,28,28,1,66,527,946,1473,1539,2,0,2652,95.7,63.2
3,"The Protection of Women from Domestic Violence Act",348,507,0,855,0,0,0,0,7,27,0,0,34,36,383,419,453,0,0,402,92.5,47
4,"The Indecent Representation of Women (Prohibition) Act",26,28,1,55,0,0,0,0,3,1,2,0,6,7,10,17,23,0,0,32,73.9,58.2
NA,NA,10590,15781,19,26390,1,49,0,32,437,726,1116,24,2335,3811,8801,12612,14997,15,4,11378,84.1,43.1
5,"The Protection of Children from Sexual Offences Act",19150,53874,29,73053,1,130,0,36,956,563,1021,71,2647,11028,40101,51129,53907,16,64,19130,94.8,26.2
6,"The Juvenile Justice (Care and Protection of Children) Act",1065,1871,2,2938,0,3,0,3,37,44,65,2,151,354,1411,1765,1919,0,1,1019,92,34.7
7,"The Prohibition of Child Marriage Act",561,1050,0,1611,0,15,0,0,25,46,44,2,117,277,532,809,941,0,0,670,86,41.6
8,"The Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act",49,70,0,119,0,0,0,0,0,1,1,0,2,21,45,66,68,0,0,51,97.1,42.9
9,"The Child Labour (Prohibition & Regulation) Act",365,613,0,978,0,0,0,1,4,5,17,1,28,139,437,576,604,0,0,374,95.4,38.2
10,"The Medical Termination of Pregnancy Act",15,44,0,59,0,0,0,0,2,1,1,0,4,8,28,36,40,0,0,19,90,32.2
NA,NA,21205,57522,31,78758,1,148,0,40,1024,660,1149,76,2949,11827,42554,54381,57479,16,65,21263,94.6,27
11,"The SC/ST (Prevention of Atrocities) Act against SCs",2683,5269,9,7961,0,4,0,78,526,208,444,9,1265,1154,3395,4549,5818,4,19,2139,78.2,26.9
