States/UTs,"Crime Head",2014
"Andhra Pradesh","1 - Rape (Section 376 IPC)",961
"Andhra Pradesh","1.1 - Custodial Rape",0
"Andhra Pradesh","1.1.1 - Custodial_Gang Rape",0
"Andhra Pradesh","1.1.2 - Custodial_Other Rape",0
"Andhra Pradesh","1.2 - Rape other than Custodial",961
"Andhra Pradesh","1.2.1 - Rape_Gang Rape",14
"Andhra Pradesh","1.2.2 - Rape_Others",947
"Andhra Pradesh","2 - Attempt to commit Rape (Section 376 & 511 IPC)",165
"Andhra Pradesh","3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",721
"Andhra Pradesh","3.1 - Kidnaping & Abduction Section 363 IPC",180
"Andhra Pradesh","3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC",1
"Andhra Pradesh","3.3 - Kidnapping for Ransom Section 364A",3
"Andhra Pradesh","3.4 - Kidnapping & Abduction of Women to compel her for marriage",274
"Andhra Pradesh","3.5 - Kidnapping & Abduction of Women-Other",263
"Andhra Pradesh","4 - Dowry Deaths (Section 304-B IPC)",215
"Andhra Pradesh","5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC)",4547
"Andhra Pradesh","5.1 - Sexual Harassment",1072
"Andhra Pradesh","5.2 - Assault on women with intent to Disrobe",334
"Andhra Pradesh","5.3 - Voyeurism",71
"Andhra Pradesh","5.4 - Stalking",504
"Andhra Pradesh","5.5 - Others",2566
"Andhra Pradesh","6 - Insult to the Modesty of Women_Total (Section 509 IPC)",2649
"Andhra Pradesh","6.1 - At Office premises",3
"Andhra Pradesh","6.2 - Other places related to work",84
"Andhra Pradesh","6.3 - In Public Transport system",65
"Andhra Pradesh","6.4 - in Other Places",2497
"Andhra Pradesh","7 - Cruelty by Husband or his Relatives (Section 498A)",6362
"Andhra Pradesh","8 - Importation of Girls from Foreign Country (Section 366B IPC)",0
"Andhra Pradesh","9 - Abetment of Suicides of Women u/s 306 IPC",217
"Andhra Pradesh","10 - Dowry Prohibition Act, 1961",468
"Andhra Pradesh","11 - Indecent Representation of Women (Prohibition) Act, 1986",3
