STATE/UT,"CRIME HEAD",2013
"Andhra Pradesh","Abetment of Suicide",25
"Arunachal Pradesh","Abetment of Suicide",0
Assam,"Abetment of Suicide",0
Bihar,"Abetment of Suicide",0
Chhattisgarh,"Abetment of Suicide",7
Goa,"Abetment of Suicide",1
Gujarat,"Abetment of Suicide",0
Haryana,"Abetment of Suicide",4
"Himachal Pradesh","Abetment of Suicide",1
"Jammu & Kashmir","Abetment of Suicide",0
Jharkhand,"Abetment of Suicide",0
Karnataka,"Abetment of Suicide",0
Kerala,"Abetment of Suicide",8
"Madhya Pradesh","Abetment of Suicide",40
Maharashtra,"Abetment of Suicide",40
Manipur,"Abetment of Suicide",0
Meghalaya,"Abetment of Suicide",0
Mizoram,"Abetment of Suicide",0
Nagaland,"Abetment of Suicide",0
Odisha,"Abetment of Suicide",4
Punjab,"Abetment of Suicide",0
Rajasthan,"Abetment of Suicide",1
Sikkim,"Abetment of Suicide",0
"Tamil Nadu","Abetment of Suicide",1
Tripura,"Abetment of Suicide",0
"Uttar Pradesh","Abetment of Suicide",104
Uttarakhand,"Abetment of Suicide",0
"West Bengal","Abetment of Suicide",5
"Total (State)","Abetment of Suicide",241
"A&N Islands","Abetment of Suicide",0
Chandigarh,"Abetment of Suicide",0
"D&N Haveli","Abetment of Suicide",0
"Daman & Diu","Abetment of Suicide",0
"Delhi UT","Abetment of Suicide",1
Lakshadweep,"Abetment of Suicide",0
Puducherry,"Abetment of Suicide",0
"Total (UTs)","Abetment of Suicide",1
"Total (All-India)","Abetment of Suicide",242
"Andhra Pradesh","Buying of Girls for Prostitution",0
"Arunachal Pradesh","Buying of Girls for Prostitution",0
Assam,"Buying of Girls for Prostitution",0
Bihar,"Buying of Girls for Prostitution",0
Chhattisgarh,"Buying of Girls for Prostitution",0
Goa,"Buying of Girls for Prostitution",0
Gujarat,"Buying of Girls for Prostitution",0
Haryana,"Buying of Girls for Prostitution",0
"Himachal Pradesh","Buying of Girls for Prostitution",0
"Jammu & Kashmir","Buying of Girls for Prostitution",0
