"Sl. No.","Drug - head","in Kilogram","In Numbers","In Liters"
1,"Opium Based Drugs",333312.543,0,0
1.1,Opium,17438.316,0,0
1.2,"Morphine (In Kg)",46.673,0,0
1.3,"Heroin(In Kg)",68219.917,0,0
1.3.1,Heroin,67056.79,0,0
1.3.2,Smack,1163.127,0,0
1.4,"Poppy Husk",247607.637,0,0
2,"Canabis Based Drugs",796080.805,0,0
2.1,"Ganja(In Kg)",777082.037,0,0
2.1.1,Ganja,768579.708,0,0
2.1.2,Bhang,8440.614,0,0
2.1.3,Sulfa,61.715,0,0
2.2,Hashish,108.881,0,0
2.3,Charas,18889.887,0,0
3,"Cocaine(In Kg)",2220.49,0,0
4,"Psychotropic Substances",1457.439,0,0
4.1,"Methaqualone(In Kg)",9.166,0,0
4.2,"Ephedrine/Psuedo Ephedrine",0.24,0,0
4.3,"L.S.D.(in KG)",1.97,0,0
4.4,Amphetamine/Methamphetamine,1437.408,0,0
4.5,Ketamine,0.005,0,0
4.6,ATS,8.65,0,0
5,"Medicinal Preparations",51299.887,44578576,682129.967
5.1,"Phensidyl/Cough Syrup",0,0,629251.301
5.2,"Injection Vials",0,179630,0
5.3,Pills/Capsules,0,43415653,0
5.4,"Other Medicinal Preparations",51299.887,983293,52878.666
6,"Drug Precursor - Acetic Anhydride",0,0,0
7,"Other Drugs",17415.976,3834111,213496.37
Total,Total,1201787.14,48412687,895626.337
