"Sl. No. Col. (1)","City Col. (2)","Cases Pending Investigation from Previous Year - Col. (3)","Cases Reopened for Investigation - Col. (5)","Total Cases for Investigation (Col.3+Col.4+Col.5) - Col. (6)","Cases Not Investigated Under 157_1_b CRPC - Col. (7)","Cases Transferred to Other State or Agency - Col. (8)","Cases Withdrawn by the Govt during Investigation - Col. (9)","Final Report - Cases Ended as FR Non Cognizable - Col. (10)","Final Report - Cases Ended as Final Report False - Col. (11)","Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute - Col. (12)","Final Report - Cases True but Insufficient Evidence or Untraced or No Clue - Col. (13)","Final Report - Cases Abated during Investigation - Col. (14)","Final Report - Total (Col.10+Col.11+Col.12+Col13+Col.14) - Col. (15)","Charge Sheets Submitted - Cases ChargeSheeted Out of cases From Prev. Year - Col. (16)","Charge Sheets Submitted - Cases Charge sheeted Out of Cases during the year - Col. (17)","Charge Sheets Submitted - Cases Charge sheeted (Col.16+Col.17) - Col. (18)","Total Cases Disposed Off by Police (Col.7+8+15+18) - Col. (19)","Cases Quashed at Investigation Stage - Col. (20)","Cases Stayed at Investigation Stage - Col. (21)","Cases Pending Invsgn.at end of the year (Col.6-9-19-20) - Col. (22)","Chargesheeting Rate (Col.18/19*100) - Col. (23)","Pendency Percentage (Col.22/6*100) - Col. (24)"
1,"Ahmedabad (Gujarat)",640,71790,0,72430,0,1,0,0,4,57,40,3,104,853,70963,71816,71921,4,0,505,99.9
2,"Bengaluru  (Karnataka)",24373,14762,0,39135,0,114,0,0,168,5,11422,0,11595,5738,8039,13777,25486,1,16,13648,54.1
3,"Chennai (Tamil Nadu)",109343,69170,0,178513,0,0,0,0,0,4,104,3,111,751,11053,11804,11915,16,1,166582,99.1
4,"Coimbatore (Tamil Nadu)",578,10225,0,10803,0,0,0,0,0,5,4,1,10,488,9447,9935,9945,0,0,858,99.9
5,"Delhi City",11650,14248,0,25898,0,1,0,0,0,38,134,2,174,5874,8351,14225,14400,7,0,11491,98.8
6,"Ghaziabad (Uttar Pradesh)",8,4236,0,4244,0,0,0,0,1,0,229,0,230,0,3573,3573,3803,0,0,441,94
7,"Hyderabad (Telangana)",1383,2191,0,3574,0,27,0,0,0,231,723,0,954,442,1040,1482,2463,0,13,1111,60.2
8,"Indore (Madhya Pradesh)",131,8008,0,8139,0,1,0,0,3,0,6,0,9,99,7883,7982,7992,0,0,147,99.9
9,"Jaipur (Rajasthan)",348,8187,0,8535,0,1,0,0,29,80,264,1,374,303,7618,7921,8296,1,0,238,95.5
10,"Kanpur  (Uttar Pradesh)",1065,2589,0,3654,0,0,0,0,11,0,383,0,394,557,1805,2362,2756,0,0,898,85.7
11,"Kochi (Kerala)",136,28033,2,28171,0,0,0,0,2,235,9,0,246,87,27732,27819,28065,0,0,106,99.1
12,"Kolkata (West Bengal)",2854,1524,0,4378,0,0,0,0,1,5,57,0,63,970,499,1469,1532,0,0,2846,95.9
13,"Kozhikode (Kerala)",304,5332,1,5637,0,0,0,0,6,10,25,0,41,210,4894,5104,5145,0,0,492,99.2
14,"Lucknow (Uttar Pradesh)",1735,2961,0,4696,0,0,0,0,0,0,834,0,834,829,2087,2916,3750,0,0,946,77.8
15,"Mumbai  (Maharashtra)",23896,15193,0,39089,0,0,0,0,5,34,148,5,192,3690,8807,12497,12689,0,11,26400,98.5
16,"Nagpur (Maharashtra)",2795,8990,0,11785,0,0,0,22,0,25,60,21,128,2296,6116,8412,8540,9,1,3236,98.5
17,"Patna (Bihar)",2521,5739,0,8260,0,0,0,0,19,9,0,0,28,879,3022,3901,3929,0,0,4331,99.3
18,"Pune (Maharashtra)",3270,3458,0,6728,0,0,0,2,7,11,37,4,61,2867,2406,5273,5334,0,1,1394,98.9
19,"Surat (Gujarat)",6,44700,0,44706,0,0,0,0,0,0,110,2,112,0,44582,44582,44694,1,1,11,99.7
"Total Cities","Total Cities",187036,321336,3,508375,0,145,0,24,256,749,14589,42,15660,26933,229917,256850,272655,39,44,235681,94.2
