"Sl. No.",City,"Persons Arrested - Male","Persons Arrested - Female","Persons Arrested - Transgender","Persons Arrested - Total","Persons Charge sheeted - Male","Persons Charge sheeted - Female","Persons Charge sheeted - Transgender","Persons Charge sheeted - Total","Persons Convicted - Male","Persons Convicted - Female","Persons Convicted - Transgender","Persons Convicted - Total","Persons Discharged - Male","Persons Discharged - Female","Persons Discharged - Transgender","Persons Discharged - Total","Persons Acquitted - Male","Persons Acquitted - Female","Persons Acquitted - Transgender","Persons Acquitted - Total"
1,"Ahmedabad (Gujarat)",107453,7636,9,115098,107452,7635,9,115096,10181,1746,0,11927,15,1,0,16,73605,1775,0,75380
2,"Bengaluru (Karnataka)",37998,3020,6,41024,44145,3031,6,47182,9230,110,0,9340,191,4,0,195,5148,403,0,5551
3,"Chennai (Tamil Nadu)",159687,9138,14,168839,28397,3852,2,32251,10516,789,0,11305,0,0,0,0,7061,2283,0,9344
4,"Coimbatore (Tamil Nadu)",17060,1507,0,18567,16946,1500,0,18446,7432,233,0,7665,0,0,0,0,1786,243,0,2029
5,"Delhi City",149745,2964,10,152719,121467,3114,5,124586,41396,187,0,41583,2305,24,3,2332,5321,163,0,5484
6,"Ghaziabad (Uttar Pradesh)",5979,0,0,5979,11540,0,0,11540,688,14,0,702,0,0,0,0,509,32,0,541
7,"Hyderabad (Telangana)",5839,312,3,6154,17922,629,3,18554,4857,9,0,4866,0,0,0,0,1639,82,0,1721
8,"Indore (Madhya Pradesh)",8960,456,1,9417,27971,2050,1,30022,11217,525,0,11742,0,0,0,0,1579,113,0,1692
9,"Jaipur (Rajasthan)",23785,1465,2,25252,24341,1519,2,25862,9759,303,0,10062,580,21,0,601,3751,169,0,3920
10,"Kanpur (Uttar Pradesh)",16150,85,0,16235,13369,46,0,13415,7922,32,0,7954,0,0,0,0,4264,48,0,4312
11,"Kochi (Kerala)",16937,219,2,17158,36009,633,5,36647,34671,155,0,34826,0,0,0,0,868,35,0,903
12,"Kolkata (West Bengal)",14916,874,0,15790,13809,693,0,14502,485,1,0,486,0,0,0,0,342,0,0,342
13,"Kozhikode (Kerala)",2930,232,0,3162,10357,267,0,10624,12581,2,0,12583,7,1,0,8,648,11,0,659
14,"Lucknow (Uttar Pradesh)",9733,33,0,9766,23715,965,0,24680,48,0,0,48,3,0,0,3,0,0,0,0
15,"Mumbai (Maharashtra)",95806,3140,1,98947,76172,1829,2,78003,12709,63,0,12772,14087,86,0,14173,5676,123,0,5799
16,"Nagpur (Maharashtra)",24727,1496,1,26224,27294,1607,1,28902,3533,17,0,3550,0,0,0,0,9532,330,0,9862
17,"Patna (Bihar)",15929,139,0,16068,12162,268,0,12430,25,0,0,25,0,0,0,0,20,0,0,20
18,"Pune (Maharashtra)",16102,855,3,16960,24611,746,3,25360,769,13,0,782,379,14,0,393,1733,114,0,1847
19,"Surat (Gujarat)",84811,10263,0,95074,84789,10262,0,95051,5716,0,0,5716,2779,0,0,2779,2981,5,0,2986
"Total Cities","Total Cities",814547,43834,52,858433,722468,40646,39,763153,183735,4199,0,187934,20346,151,3,20500,126463,5929,0,132392
