"Sl. No.",State/UT,"by North East Insurgents","By Terrorists/Extremists/Zihadi's","By Left Wing Extremists","in Border Firing","by Riotous Mobs","by Criminals/Gangsters/ Dacoits","Accidentally with Self Weapon","in Accidents",Total
1,"Andhra Pradesh",0,0,0,0,0,0,0,28,28
2,"Arunachal Pradesh",0,0,0,0,0,0,0,0,0
3,Assam,0,0,0,0,59,0,0,3,62
4,Bihar,0,0,0,0,54,0,0,0,54
5,Chhattisgarh,0,0,113,0,10,0,0,1,124
6,Goa,0,0,0,0,14,0,0,0,14
7,Gujarat,0,0,0,0,8,0,0,5,13
8,Haryana,0,0,0,0,15,7,0,0,22
9,"Himachal Pradesh",0,0,0,0,0,0,0,0,0
10,Jharkhand,0,0,0,0,6,0,0,14,20
11,Karnataka,0,0,0,0,14,28,0,25,67
12,Kerala,0,0,0,0,68,90,0,1,159
13,"Madhya Pradesh",0,0,0,0,7,8,0,11,26
14,Maharashtra,0,0,19,0,30,2,0,65,116
15,Manipur,0,0,0,0,0,0,0,0,0
16,Meghalaya,0,0,0,0,0,0,0,0,0
17,Mizoram,0,0,0,62,0,0,0,0,62
18,Nagaland,0,0,0,0,0,0,0,0,0
19,Odisha,0,0,0,0,12,176,0,0,188
20,Punjab,0,0,0,0,0,3,0,20,23
21,Rajasthan,0,0,0,0,0,74,0,27,101
22,Sikkim,0,0,0,0,0,0,0,0,0
23,"Tamil Nadu",0,0,0,0,4,30,3,96,133
24,Telangana,0,1,0,0,1,0,0,20,22
25,Tripura,0,0,0,0,25,0,0,0,25
26,"Uttar Pradesh",0,0,0,0,35,37,0,27,99
27,Uttarakhand,0,0,0,0,0,0,0,0,0
28,"West Bengal",0,0,0,0,17,1,0,5,23
"Total State (S)","Total State (S)",0,1,132,62,379,456,3,348,1381
29,"Andaman and Nicobar Islands",0,0,0,0,0,0,0,0,0
30,Chandigarh,0,0,0,0,0,1,0,2,3
31,"Dadra and Nagar Haveli and Daman and Diu",0,0,0,0,0,0,0,0,0
32,Delhi,0,0,0,0,156,22,0,17,195
33,"Jammu and Kashmir",0,34,0,0,14,0,0,5,53
34,Ladakh,0,0,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0,0,0
"Total UT (S)","Total UT (S)",0,34,0,0,170,23,0,24,251
"Total All India","Total All India",0,35,132,62,549,479,3,372,1632
