"Sl. No.",State/UT,"by North East Insurgents","By Terrorists/Extremists/Zihadi's","By Left Wing Extremists","in Border Firing","by Riotous Mobs","by Criminals/Gangsters/ Dacoits","Accidentally with Self Weapon","in Accidents",Total
1,"Andhra Pradesh",0,0,0,0,0,0,0,9,9
2,"Arunachal Pradesh",0,0,0,0,0,0,0,0,0
3,Assam,0,0,0,6,0,0,0,0,6
4,Bihar,0,0,0,0,1,0,0,38,39
5,Chhattisgarh,0,0,40,0,0,0,0,7,47
6,Goa,0,0,0,0,0,0,0,0,0
7,Gujarat,0,0,0,0,0,0,0,31,31
8,Haryana,0,0,0,0,0,1,0,15,16
9,"Himachal Pradesh",0,0,0,0,0,0,0,0,0
10,Jharkhand,0,0,0,0,0,0,0,7,7
11,Karnataka,0,0,0,0,0,0,0,4,4
12,Kerala,0,0,0,0,0,0,0,0,0
13,"Madhya Pradesh",0,0,0,0,0,1,0,32,33
14,Maharashtra,0,0,0,0,0,0,1,29,30
15,Manipur,0,0,0,0,0,0,0,0,0
16,Meghalaya,0,0,0,0,0,0,0,0,0
17,Mizoram,0,0,0,5,0,0,0,0,5
18,Nagaland,0,0,0,0,0,0,0,0,0
19,Odisha,0,0,0,0,0,0,0,4,4
20,Punjab,0,0,0,0,0,2,5,19,26
21,Rajasthan,0,0,0,0,0,3,0,33,36
22,Sikkim,0,0,0,0,0,0,0,0,0
23,"Tamil Nadu",0,0,0,0,0,2,0,56,58
24,Telangana,0,0,0,0,0,0,0,10,10
25,Tripura,0,0,0,0,0,1,0,0,1
26,"Uttar Pradesh",0,0,0,0,0,1,1,31,33
27,Uttarakhand,0,0,0,0,0,0,0,11,11
28,"West Bengal",0,0,0,0,0,0,0,0,0
"Total State (S)","Total State (S)",0,0,40,11,1,11,7,336,406
29,"Andaman and Nicobar Islands",0,0,0,0,0,0,0,0,0
30,Chandigarh,0,0,0,0,0,0,0,1,1
31,"Dadra and Nagar Haveli and Daman and Diu",0,0,0,0,0,0,0,0,0
32,Delhi,0,0,0,0,0,0,0,2,2
33,"Jammu and Kashmir",0,18,0,0,0,0,0,0,18
34,Ladakh,0,0,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0,0,0
"Total UT (S)","Total UT (S)",0,18,0,0,0,0,0,3,21
"Total All India","Total All India",0,18,40,11,1,11,7,339,427
