"Sl. No.",State/UT,"Number of Cases - Registered","Number of Cases - Quashed / Stayed by Courts","Number of Cases - Charge-Sheeted","Number of Cases - Final Report Submitted","Number of Police Personnel - Arrested","Number of Police Personnel - Charge-Sheeted","Number of Police Personnel - Cases Withdrawn / Disposed Off","Number of Police Personnel - Trials were Completed","Number of Police Personnel - Convicted","Number of Police Personnel - Acquitted or Discharged"
1,"Andhra Pradesh",185,0,61,18,103,45,11,12,0,12
2,"Arunachal Pradesh",4,0,2,0,8,4,0,0,0,0
3,Assam,35,0,3,6,10,2,1,0,0,0
4,Bihar,4062,0,3491,514,7,6,0,0,0,0
5,Chhattisgarh,34,4,40,18,34,33,111,3,2,1
6,Goa,14,0,3,0,4,3,0,0,0,0
7,Gujarat,209,7,182,878,203,178,2,1,0,1
8,Haryana,43,0,10,12,15,9,2,0,0,0
9,"Himachal Pradesh",11,0,6,47,2,6,0,0,0,0
10,Jharkhand,1,0,1,0,1,1,0,0,0,0
11,Karnataka,54,0,19,4,41,30,1,0,0,0
12,Kerala,94,4,50,19,34,38,1,12,2,10
13,"Madhya Pradesh",33,0,18,15,16,24,46,171,3,168
14,Maharashtra,448,40,150,14,244,156,26,0,0,0
15,Manipur,8,1,0,0,12,0,0,0,0,0
16,Meghalaya,2,0,0,1,1,0,1,0,0,0
17,Mizoram,0,0,0,0,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0,0,0,0,0
19,Odisha,59,0,17,3,4,4,1,0,0,0
20,Punjab,94,3,23,19,67,26,10,8,1,7
21,Rajasthan,245,3,49,124,37,37,8,1,0,1
22,Sikkim,27,0,15,5,0,0,0,0,0,0
23,"Tamil Nadu",113,1,51,14,71,39,3,1,1,0
24,Telangana,91,0,42,14,50,40,2,3,2,1
25,Tripura,2,0,2,0,1,1,0,0,0,0
26,"Uttar Pradesh",105,0,29,19,51,33,11,6,0,6
27,Uttarakhand,9,0,8,3,3,6,1,1,0,1
28,"West Bengal",5,0,3,0,4,4,0,2,0,2
"Total State (S)","Total State (S)",5987,63,4275,1747,1023,725,238,221,11,210
29,"Andaman and Nicobar Islands",22,0,12,1,19,12,0,1,0,1
30,Chandigarh,6,0,4,2,6,4,1,1,0,1
31,"Dadra and Nagar Haveli and Daman and Diu",21,0,27,12,0,0,0,11,1,10
32,Delhi,0,0,9,2,0,14,0,2,1,1
33,"Jammu and Kashmir",128,4,63,46,115,77,0,4,2,2
34,Ladakh,0,0,0,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0,0,0,0
"Total UT (S)","Total UT (S)",177,4,115,63,140,107,1,19,4,15
"Total All India","Total All India",6164,67,4390,1810,1163,832,239,240,15,225
