"Sl. No.",State/UT,"By Extremists/ Insurgents/ Terrorists - In Firing","By Extremists/ Insurgents/ Terrorists - In Bomb Explosion","By Dacoits and Robbers","During Riots - In Police Firing","During Riots - In Police Lathi Charge","During Riots - By Riotous Mobs","Accidentally in Police Operations/ Encounters","During Border Cross Fire","In Other incidents","Total Killed"
1,"Andhra Pradesh",0,0,0,0,0,0,0,0,0,0
2,"Arunachal Pradesh",0,0,0,0,0,0,0,0,0,0
3,Assam,0,0,0,2,0,0,0,0,0,2
4,Bihar,0,0,0,0,0,0,0,0,0,0
5,Chhattisgarh,0,0,0,0,0,0,0,0,2,2
6,Goa,0,0,0,0,0,0,0,0,0,0
7,Gujarat,0,0,0,0,0,0,2,0,0,2
8,Haryana,0,0,0,0,0,0,1,0,0,1
9,"Himachal Pradesh",0,0,0,0,0,0,0,0,0,0
10,Jharkhand,0,0,0,0,0,0,0,0,0,0
11,Karnataka,0,0,0,0,0,0,0,0,0,0
12,Kerala,0,0,0,0,0,0,0,0,0,0
13,"Madhya Pradesh",0,0,0,0,0,0,0,0,0,0
14,Maharashtra,0,0,0,0,0,0,0,0,0,0
15,Manipur,0,0,0,0,0,0,0,0,0,0
16,Meghalaya,0,0,0,0,0,0,1,0,0,1
17,Mizoram,0,0,0,1,0,0,0,0,0,1
18,Nagaland,0,0,0,0,0,0,0,0,0,0
19,Odisha,0,0,0,0,0,0,0,0,0,0
20,Punjab,0,0,0,0,0,0,0,0,0,0
21,Rajasthan,0,0,0,0,0,0,0,0,0,0
22,Sikkim,0,0,0,0,0,0,0,0,0,0
23,"Tamil Nadu",0,0,0,0,0,0,0,0,0,0
24,Telangana,0,0,0,1,0,0,0,0,0,1
25,Tripura,0,0,0,0,0,0,0,0,0,0
26,"Uttar Pradesh",0,0,0,0,0,0,1,0,0,1
27,Uttarakhand,0,0,0,0,0,0,0,0,0,0
28,"West Bengal",0,0,0,0,0,0,0,0,2,2
"Total State (S)","Total State (S)",0,0,0,4,0,0,5,0,4,13
29,"Andaman and Nicobar Islands",0,0,0,0,0,0,0,0,0,0
30,Chandigarh,0,0,0,0,0,0,0,0,0,0
31,"Dadra and Nagar Haveli and Daman and Diu",0,0,0,0,0,0,0,0,0,0
32,Delhi,0,0,0,0,0,0,0,0,0,0
33,"Jammu and Kashmir",9,0,0,0,0,0,0,0,0,9
34,Ladakh,0,0,0,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0,0,0,0
"Total UT (S)","Total UT (S)",9,0,0,0,0,0,0,0,0,9
"Total All India","Total All India",9,0,0,4,0,0,5,0,4,22
