"Sl. No. Col. (1)","State/UT Col. (2)","Cases Pending Trial from the Previous Year - Col. (3)","Cases Sent for Trial during the year - Col. (4)","Total Cases for Trial (Col.3+Col.4) - Col. (5)","Cases Abated by Court - Col. (6)","Cases Withdrawn from Prosecution - Col. (7)","Cases Compounded or Compromised - Col. (8)","Cases Disposed off by Plea Bargaining - Col. (9)","Cases Quashed - Col. (10)","Cases Disposed off without trial (Col.6+Col.7+Col.8+Col.9+Col.10) - Col. (11)","Cases Stayed or Sent to Record Room - Col. (12)","Cases Convicted Out of Cases from Previous Year - Col. (13)","Cases Convicted Out of Cases during the Year - Col. (14)","Cases Convicted (Col.13+Col.14) - Col. (15)","Cases Discharged - Col. (16)","Cases Acquitted - Col. (17)","Cases which Trials were Completed (Col.15+Col.16+Col.17) - Col. (18)","Cases Disposed off by Courts (Col.11+Col.18) - Col. (19)","Cases Pending Trial at End of the Year (Col.5-Col.19) - Col. (20)","Conviction Rate (Col.15/Col.18)*100 - Col. (21)","Pendency Percentage (Col.20/Col.5)*100 - Col. (22)"
1,"Andhra Pradesh",175525,187875,363400,531,4,37143,0,150,37828,132,39581,56160,95741,39,17194,112974,150802,212598,84.7,58.5
2,"Arunachal Pradesh",25532,1388,26920,56,13,45,0,2,116,3,71,4,75,302,71,448,564,26356,16.7,97.9
3,Assam,283894,53404,337298,33,95,508,79,21,736,0,420,205,625,18,10518,11161,11897,325401,5.6,96.5
4,Bihar,1302425,137253,1439678,0,0,2706,18,0,2724,0,1567,141,1708,124,4031,5863,8587,1431091,29.1,99.4
5,Chhattisgarh,188058,58029,246087,111,104,588,3376,0,4179,0,5509,4762,10271,5426,10901,26598,30777,215310,38.6,87.5
6,Goa,14958,1341,16299,29,60,44,0,5,138,0,194,24,218,533,349,1100,1238,15061,19.8,92.4
7,Gujarat,1372221,264078,1636299,411,14403,101,0,15309,30224,23,21907,14599,36506,22208,114313,173027,203251,1433048,21.1,87.6
8,Haryana,195099,56911,252010,15,6,1028,0,13,1062,0,5507,2287,7794,12,10431,18237,19299,232711,42.7,92.3
9,"Himachal Pradesh",102906,11521,114427,12,113,596,2,187,910,3,546,108,654,12,1917,2583,3493,110934,25.3,96.9
10,Jharkhand,136333,29400,165733,66,3,266,116,3,454,0,1748,2113,3861,229,5216,9306,9760,155973,41.5,94.1
11,Karnataka,416166,97775,513941,1316,6,7335,0,87,8744,393,15491,14061,29552,232,28802,58586,67330,446611,50.4,86.9
