"Sl. No. Col. (1)","State/UT Col. (2)","Cases Pending Trial from the Previous Year - Col. (3)","Cases Sent for Trial during the year - Col. (4)","Total Cases for Trial (Col.3+Col.4) - Col. (5)","Cases Abated by Court - Col. (6)","Cases Withdrawn from Prosecution - Col. (7)","Cases Compounded or Compromised - Col. (8)","Cases Disposed off by Plea Bargaining - Col. (9)","Cases Quashed - Col. (10)","Cases Disposed off without trial (Col.6+Col.7+Col.8+Col.9+Col.10) - Col. (11)","Cases Stayed or Sent to Record Room - Col. (12)","Cases Convicted Out of Cases from Previous Year - Col. (13)","Cases Convicted Out of Cases during the Year - Col. (14)","Cases Convicted (Col.13+Col.14) - Col. (15)","Cases Discharged - Col. (16)","Cases Acquitted - Col. (17)","Cases which Trials were Completed (Col.15+Col.16+Col.17) - Col. (18)","Cases Disposed off by Courts (Col.11+Col.18) - Col. (19)","Cases Pending Trial at End of the Year (Col.5-Col.19) - Col. (20)","Conviction Rate (Col.15/Col.18)*100 - Col. (21)","Pendency Percentage (Col.20/Col.5)*100 - Col. (22)"
1,"Andhra Pradesh",24452,31278,55730,49,0,500,0,2,551,9,5242,6366,11608,11,2714,14333,14884,40846,81,73.3
2,"Arunachal Pradesh",1790,164,1954,2,0,0,0,0,2,0,12,0,12,2,6,20,22,1932,60,98.9
3,Assam,23519,7153,30672,13,6,5,5,0,29,0,106,21,127,6,1006,1139,1168,29504,11.2,96.2
4,Bihar,318513,79512,398025,0,0,287,302,0,589,0,580,148,728,49,746,1523,2112,395913,47.8,99.5
5,Chhattisgarh,74318,40568,114886,0,0,0,0,0,0,0,3592,20100,23692,54,3316,27062,27062,87824,87.5,76.4
6,Goa,6472,844,7316,3,0,1,0,0,4,0,38,2,40,20,390,450,454,6862,8.9,93.8
7,Gujarat,2108967,464087,2573054,448,8161,3,0,2187,10799,4,58014,35692,93706,6810,126710,227226,238025,2335029,41.2,90.7
8,Haryana,70374,77933,148307,10,0,52373,0,1,52384,0,4076,2606,6682,1,2648,9331,61715,86592,71.6,58.4
9,"Himachal Pradesh",27250,5701,32951,10,4,258,2,5,279,10,979,1764,2743,1,813,3557,3836,29115,77.1,88.4
10,Jharkhand,30267,10607,40874,0,2,68,79,0,149,0,870,772,1642,202,1696,3540,3689,37185,46.4,91
11,Karnataka,108011,46708,154719,148,2,5592,0,105,5847,61,11278,11210,22488,21,6483,28992,34839,119880,77.6,77.5
12,Kerala,862112,383979,1246091,350,5,3463,0,21,3839,154,232737,168051,400788,443,2192,403423,407262,838829,99.3,67.3
13,"Madhya Pradesh",161148,171303,332451,28,21,178,22,23,272,17,24980,100090,125070,1641,7275,133986,134258,198193,93.3,59.6
14,Maharashtra,1662098,166896,1828994,868,49,589,0,34,1540,0,9042,8952,17994,26808,51672,96474,98014,1730980,18.7,94.6
15,Manipur,3028,216,3244,2,2,0,0,0,4,0,41,14,55,67,16,138,142,3102,39.9,95.6
16,Meghalaya,2443,528,2971,7,0,0,0,0,7,0,72,18,90,13,28,131,138,2833,68.7,95.4
17,Mizoram,1292,687,1979,1,0,0,0,0,1,0,90,115,205,1,12,218,219,1760,94,88.9
18,Nagaland,1215,396,1611,1,0,0,0,0,1,0,77,60,137,3,6,146,147,1464,93.8,90.9
19,Odisha,181156,28939,210095,0,0,0,0,0,0,0,67,0,67,0,1702,1769,1769,208326,3.8,99.2
20,Punjab,79995,32876,112871,144,0,0,0,9,153,42,8491,1594,10085,203,2177,12465,12618,100253,80.9,88.8
21,Rajasthan,194959,66472,261431,89,8,2,5,23,127,0,29534,16617,46151,473,2117,48741,48868,212563,94.7,81.3
22,Sikkim,595,193,788,0,0,0,0,0,0,2,48,2,50,3,103,156,156,632,32.1,80.2
23,"Tamil Nadu",378166,322524,700690,168,5638,10,0,44,5860,19,81356,106077,187433,249,12879,200561,206421,494269,93.5,70.5
24,Telangana,23534,10719,34253,32,0,756,0,3,791,321,2443,1972,4415,0,1747,6162,6953,27300,71.6,79.7
25,Tripura,2105,606,2711,0,0,17,0,0,17,0,41,26,67,0,75,142,159,2552,47.2,94.1
26,"Uttar Pradesh",1446392,220472,1666864,2547,77,741,140,0,3505,117,113720,23641,137361,7396,22061,166818,170323,1496541,82.3,89.8
27,Uttarakhand,85149,18106,103255,1217,0,0,0,125,1342,2,3197,1346,4543,5,1074,5622,6964,96291,80.8,93.3
28,"West Bengal",171522,20295,191817,0,0,2,210,0,212,0,1042,1277,2319,51,1743,4113,4325,187492,56.4,97.7
"Total State (S)","Total State (S)",8050842,2209762,10260604,6137,13975,64845,765,2582,88304,758,591765,508533,1100298,44533,253407,1398238,1486542,8774062,78.7,85.5
29,"Andaman and Nicobar Islands",17182,891,18073,12,2,0,0,0,14,0,2041,249,2290,8,112,2410,2424,15649,95,86.6
30,Chandigarh,1652,609,2261,11,0,0,0,3,14,0,357,128,485,1,54,540,554,1707,89.8,75.5
31,"Dadra and Nagar Haveli and Daman and Diu",284,83,367,0,0,0,0,0,0,0,9,0,9,1,66,76,76,291,11.8,79.3
32,Delhi,72515,14440,86955,17,0,81,24,23,145,2,1766,479,2245,52,613,2910,3055,83900,77.1,96.5
33,"Jammu and Kashmir",18457,3964,22421,130,0,45,2,0,177,0,266,441,707,31,206,944,1121,21300,74.9,95
34,Ladakh,59,38,97,0,0,0,0,0,0,0,8,21,29,0,0,29,29,68,100,70.1
35,Lakshadweep,86,64,150,0,0,0,0,0,0,0,0,0,0,0,2,2,2,148,0,98.7
36,Puducherry,1908,576,2484,0,0,0,0,0,0,0,0,136,136,0,1,137,137,2347,99.3,94.5
"Total UT (S)","Total UT (S)",112143,20665,132808,170,2,126,26,26,350,2,4447,1454,5901,93,1054,7048,7398,125410,83.7,94.4
"Total All India","Total All India",8162985,2230427,10393412,6307,13977,64971,791,2608,88654,760,596212,509987,1106199,44626,254461,1405286,1493940,8899472,78.7,85.6
