"Sl. No.",State/UT,"Domicile - Belongs to State","Domicile - Belongs to other State","Domicile - Belongs to other Country","Domicile - Total"
1,"Andhra Pradesh",2243,114,3,2360
2,"Arunachal Pradesh",92,34,0,126
3,Assam,2687,87,5,2779
4,Bihar,7605,125,11,7741
5,Chhattisgarh,5785,311,6,6102
6,Goa,70,34,1,105
7,Gujarat,3666,159,28,3853
8,Haryana,2556,777,5,3338
9,"Himachal Pradesh",631,159,63,853
10,Jharkhand,4861,223,0,5084
11,Karnataka,3467,210,11,3688
12,Kerala,2165,253,8,2426
13,"Madhya Pradesh",12764,877,11,13652
14,Maharashtra,4868,614,68,5550
15,Manipur,97,1,7,105
16,Meghalaya,155,13,10,178
17,Mizoram,418,11,8,437
18,Nagaland,82,13,0,95
19,Odisha,3041,203,1,3245
20,Punjab,2445,296,38,2779
21,Rajasthan,4666,444,21,5131
22,Sikkim,101,23,0,124
23,"Tamil Nadu",4104,12,45,4161
24,Telangana,1698,207,5,1910
25,Tripura,384,3,8,395
26,"Uttar Pradesh",26122,485,127,26734
27,Uttarakhand,1694,346,23,2063
28,"West Bengal",4782,119,466,5367
"Total (States)","Total (States)",103249,6153,979,110381
29,"A & N Islands",65,0,72,137
30,Chandigarh,200,145,4,349
31,"Dadra and Nagar Haveli and Daman and Diu",6,9,0,15
32,Delhi,939,458,73,1470
33,"Jammu & Kashmir",127,22,10,159
34,Ladakh,1,2,2,5
35,Lakshadweep,1,0,0,1
36,Puducherry,58,14,0,72
"Total (UTs)","Total (UTs)",1397,650,161,2208
"Total (All-India)","Total (All-India)",104646,6803,1140,112589
