"Sl. No. Col. (1)","State/UT Col. (2)","Cases Pending Investigation from Previous Year - Col. (3)","Cases Reported during the year - Col. (4)","Cases Reopened for Investigation - Col. (5)","Total Cases for Investigation (Col.3+Col.4+ Col.5) - Col. (6)","Cases Not Investigated Under 157_1_b CRPC - Col. (7)","Cases Transferred to Other State or Agency - Col. (8)","Cases Withdrawn by the Govt during Investigation - Col. (9)","Final Report - Cases Ended as FR Non Cognizable - Col. (10)","Final Report - Cases Ended as Final Report False - Col. (11)","Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute - Col. (12)","Final Report - Cases True but Insufficient Evidence or Untraced or No Clue - Col. (13)","Final Report - Cases Abated during Investigation - Col. (14)","Final Report - Total (Col.10+Col.11+Col.12+Col13+Col.14) - Col. (15)","Charge Sheets Submitted - Cases ChargeSheeted Out of cases From Prev. Year - Col. (16)","Charge Sheets Submitted - Cases Charge sheeted Out of Cases during the year - Col. (17)","Charge Sheets Submitted - Cases Charge sheeted (Col.16+Col.17) - Col. (18)","Total Cases Disposed Off by Police (Col.7+8+15+18) - Col. (19)","Cases Quashed at Investigation Stage - Col. (20)","Cases Stayed at Investigation Stage - Col. (21)","Cases Pending Invsgn.at end of the year (Col.6-9-19-20) - Col. (22)","Chargesheeting Rate (Col.18/19*100) - Col. (23)","Pendency Percentage (Col.22/6*100) - Col. (24)"
1,"Andhra Pradesh",38980,42588,2,81570,0,47,1,1,261,53,326,47,688,15585,15693,31278,32013,10,37,49546,97.7,60.7
2,"Arunachal Pradesh",326,413,0,739,0,0,0,0,9,3,39,0,51,82,82,164,215,0,0,524,76.3,70.9
3,Assam,16752,13356,4,30112,0,7,0,1,129,1746,4714,183,6773,2246,4907,7153,13933,0,0,16179,51.3,53.7
4,Bihar,37598,96077,0,133675,0,1,0,23,198,503,3538,0,4262,21335,58177,79512,83775,0,0,49900,94.9,37.3
5,Chhattisgarh,9777,40114,1,49892,0,0,0,6,9,1,82,114,212,1850,38718,40568,40780,0,0,9112,99.5,18.3
6,Goa,276,892,0,1168,0,0,0,2,0,8,21,1,32,197,647,844,876,0,0,292,96.3,25
7,Gujarat,14661,458682,0,473343,0,2,1,2,12,85,793,78,970,14650,449437,464087,465059,11,467,8272,99.8,1.7
8,Haryana,46681,93711,3,140395,0,0,0,0,962,2,2442,126,3532,29529,48404,77933,81465,0,217,58930,95.7,42
9,"Himachal Pradesh",1098,5792,0,6890,0,0,0,0,106,31,135,14,286,908,4793,5701,5987,0,0,903,95.2,13.1
10,Jharkhand,14485,13081,0,27566,0,0,0,117,100,536,1376,21,2150,4706,5901,10607,12757,0,0,14809,83.1,53.7
11,Karnataka,36083,47969,0,84052,2,195,0,2,425,53,12737,5,13222,12786,33922,46708,60127,20,227,23905,77.7,28.4
12,Kerala,13399,382317,131,395847,0,29,0,0,337,520,714,5,1576,11099,372880,383979,385584,5,2,10258,99.6,2.6
13,"Madhya Pradesh",2709,171852,0,174561,1,13,10,0,28,37,263,0,328,3805,167498,171303,171645,2,2806,2904,99.8,1.7
14,Maharashtra,72138,173582,3,245723,290,48,1,137,118,1603,1587,214,3659,42514,124382,166896,170893,20,26,74809,97.7,30.4
15,Manipur,6053,720,0,6773,0,0,0,0,0,3,314,0,317,149,67,216,533,0,0,6240,40.5,92.1
16,Meghalaya,1134,756,0,1890,0,0,0,0,0,13,365,3,381,231,297,528,909,0,0,981,58.1,51.9
17,Mizoram,34,729,0,763,0,1,0,0,0,1,14,0,15,6,681,687,703,0,0,60,97.7,7.9
18,Nagaland,203,445,0,648,0,0,0,0,0,0,17,0,17,117,279,396,413,0,0,235,95.9,36.3
19,Odisha,4310,30464,0,34774,0,0,0,0,27,715,196,0,938,2201,26738,28939,29877,0,0,4897,96.9,14.1
20,Punjab,25091,27127,0,52218,0,0,1,1,490,95,808,16,1410,19533,13343,32876,34286,12,2,17919,95.9,34.3
21,Rajasthan,3466,70017,1,73484,2,1,0,5,453,532,2764,1,3755,2327,64145,66472,70230,1,0,3253,94.6,4.4
22,Sikkim,42,196,0,238,0,0,0,0,0,0,4,0,4,18,175,193,197,0,4,41,98,17.2
23,"Tamil Nadu",279128,433901,16,713045,0,30,0,0,34,2833,19466,234,22567,49017,273507,322524,345121,64,2,367860,93.5,51.6
24,Telangana,6266,12678,15,18959,0,525,0,0,572,512,1081,60,2225,3879,6840,10719,13469,0,14,5490,79.6,29
25,Tripura,380,655,0,1035,0,0,0,1,2,24,52,0,79,253,353,606,685,0,0,350,88.5,33.8
26,"Uttar Pradesh",33717,250177,6,283900,1,1,12,642,946,1807,13604,2268,19267,22261,198211,220472,239741,0,0,44147,92,15.6
27,Uttarakhand,4881,19171,0,24052,0,0,0,2,27,2,710,0,741,2136,15970,18106,18847,0,0,5205,96.1,21.6
28,"West Bengal",10488,24323,2,34813,0,1385,3,0,4,110,1302,0,1416,4891,15404,20295,23096,0,0,11714,87.9,33.6
"Total State (S)","Total State (S)",680156,2411785,184,3092125,296,2285,29,942,5249,11828,69464,3390,90873,268311,1941451,2209762,2303216,145,3804,788735,95.9,25.5
29,"Andaman and Nicobar Islands",30,946,0,976,0,0,2,0,0,2,4,0,6,24,867,891,897,0,0,77,99.3,7.9
30,Chandigarh,531,594,0,1125,0,1,0,0,0,23,12,2,37,330,279,609,647,0,0,478,94.1,42.5
31,"Dadra and Nagar Haveli and Daman and Diu",51,89,0,140,0,0,0,0,0,6,3,0,9,19,64,83,92,0,0,48,90.2,34.3
32,Delhi,12469,14485,0,26954,0,1,0,0,0,38,138,2,178,5963,8477,14440,14619,7,0,12328,98.8,45.7
33,"Jammu and Kashmir",3680,4228,29,7937,0,12,0,0,167,3,189,0,359,1174,2790,3964,4335,1,1,3601,91.4,45.4
34,Ladakh,12,40,0,52,0,0,0,0,0,1,0,0,1,0,38,38,39,0,0,13,97.4,25
35,Lakshadweep,114,39,0,153,0,0,0,0,0,0,10,0,10,53,11,64,74,0,0,79,86.5,51.6
36,Puducherry,369,744,0,1113,0,1,0,0,0,14,1,0,15,119,457,576,592,0,0,521,97.3,46.8
"Total UT (S)","Total UT (S)",17256,21165,29,38450,0,15,2,0,167,87,357,4,615,7682,12983,20665,21295,8,1,17145,97,44.6
"Total All India","Total All India",697412,2432950,213,3130575,296,2300,31,942,5416,11915,69821,3394,91488,275993,1954434,2230427,2324511,153,3805,805880,96,25.7
