"Sl. No. Col. (1)","State/UT Col. (2)","From NorthEast Insurgents/ Extremists/ Terrorists - Licensed - Arms - Col. (3)","From NorthEast Insurgents/ Extremists/ Terrorists - Licensed - Ammunition - Col. (4)","From NorthEast Insurgents/ Extremists/ Terrorists - Unlicensed - Arms - Col. (5)","From NorthEast Insurgents/ Extremists/ Terrorists - Unlicensed - Ammunition - Col. (6)","From Others - Licensed - Arms - Col. (7)","From Others - Licensed - Ammunition - Col. (8)","From Others - Unlicensed - Arms - Col. (9)","From Others - Unlicensed - Ammunition - Col. (10)","Total - Arms - Col. (11)","Total - Ammunition - Col. (12)"
1,"Andhra Pradesh",0,0,8,69,1,3,69,22,78,94
2,"Arunachal Pradesh",2,0,4,16,2,3,0,0,8,19
3,Assam,0,0,128,1333,3,36,182,1162,313,2531
4,Bihar,0,0,14,335,0,0,4021,10472,4035,10807
5,Chhattisgarh,0,0,84,93,0,0,728,0,812,93
6,Goa,0,0,0,0,0,1,4,8,4,9
7,Gujarat,0,0,0,0,27,54,610,924,637,978
8,Haryana,0,0,0,0,7,270,2594,3482,2601,3752
9,"Himachal Pradesh",0,0,0,0,13,0,9,5,22,5
10,Jharkhand,0,0,183,2831,0,0,572,2136,755,4967
11,Karnataka,0,0,0,0,62,34,213,167,275,201
12,Kerala,0,0,11,1000,4,24,115,288,130,1312
13,"Madhya Pradesh",0,0,786,14,216,5,12095,2036,13097,2055
14,Maharashtra,0,0,0,0,0,0,3919,1703,3919,1703
15,Manipur,1,0,96,1441,2,0,15,366,114,1807
16,Meghalaya,2,0,1,0,1,10,12,573,16,583
17,Mizoram,0,0,18,206,0,0,10,0,28,206
18,Nagaland,0,0,91,1790,1,10,31,428,123,2228
19,Odisha,0,0,3,0,0,0,345,532,348,532
20,Punjab,0,0,160,543,32,73,1159,8313,1351,8929
21,Rajasthan,0,0,0,0,4,5,6786,3899,6790,3904
22,Sikkim,0,0,0,0,0,0,0,0,0,0
23,"Tamil Nadu",0,0,0,0,3,9,693,274,696,283
24,Telangana,0,0,4,17,3,0,143,86,150,103
25,Tripura,0,0,1,1,0,0,24,11,25,12
26,"Uttar Pradesh",493,16,3396,0,3145,1300,33178,6325,40212,7641
27,Uttarakhand,5,0,0,0,9,280,1126,276,1140,556
28,"West Bengal",0,0,0,0,0,0,2805,6078,2805,6078
"Total State(S)","Total State(S)",503,16,4988,9689,3535,2117,71458,49566,80484,61388
29,"Andaman and Nicobar Islands",0,0,0,0,0,0,0,0,0,0
30,Chandigarh,0,0,0,0,0,0,34,85,34,85
31,"Dadra and Nagar Haveli and Daman and Diu",0,0,0,0,0,0,0,0,0,0
32,Delhi,0,0,0,0,5,14,3635,9598,3640,9612
33,"Jammu and Kashmir",0,0,395,14309,0,0,69,1178,464,15487
34,Ladakh,0,0,0,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0
36,Puducherry,1,0,0,0,0,0,0,0,1,0
"Total UT(S)","Total UT(S)",1,0,395,14309,5,14,3738,10861,4139,25184
"Total All India","Total All India",504,16,5383,23998,3540,2131,75196,60427,84623,86572
