"Sl. No.","Type of Explosive","Seized from Extremists/ Insurgents/ Terrorists)","Seized from Others (From Others Criminals/ Smugglers etc.)",Total
A1,RDX,25,1,26
A2,TNT,0,0,0
A3,"Plastic explosives",44,2,46
A4,"Gun Powder",50,8874,8924
A5,"Other Explosives",76,133842,133918
"Total Explosives Recovered in KGs","Total Explosives Recovered in KGs",195,142719,142914
B1,Detonators,1949,400330,402279
B2,"Gelatin Sticks",1045,381392,382437
B3,Grenades,462,729,1191
B4,Landmines,11,0,11
B5,"Claymore Mines",0,0,0
B6,"Country Made Bombs",50,10818,10868
B7,IEDs,385,807,1192
B8,"Pressure Mine/Anti Preson Mine",16,0,16
B9,"Others Explosives",642,79657,80299
"Total Explosives Recovered in Number","Total Explosives Recovered in Number",4560,873733,878293
