"Si. No. (Col. 1)","Crime Head (Col. 2)","Cases Pending Trial from the Previous Year - (Col. 3)","Cases Sent for Trial during the year - (Col. 4)","Total Cases for Trial (Col.3+ Col.4) - (Col. 5)","Cases Abated by Court - (Col. 6)","Cases Withdrawn from Prosecution - (Col. 7)","Cases Compounded or Compromised - (Col. 8)","Cases Disposed off by Plea Bargaining - (Col. 9)","Cases Quashed - (Col. 10)","Cases Disposed off without Trial (Col.6+Col.7+Col.8+Col.9+Col.10) - (Col. 11)","Cases Stayed or Sent to Record Room - (Col. 12)","Cases Convicted Out of Cases from Previous Year - (Col. 13)","Cases Convicted Out of Cases during the Year - (Col. 14)","Cases Convicted (Col.13+ Col.14) - (Col. 15)","Cases Discharged - (Col. 16)","Cases Acquitted - (Col. 17)","Cases which Trials were Completed (Col.15+ Col.16+ Col.17) - (Col. 18)","Cases Disposed off by Courts (Col.11+Col.18) - (Col. 19)","Cases Pending Trial at End of the Year (Col.5-Col.19) - (Col. 20)","Conviction Rate (Col.15/Col.18)*100 - (Col. 21)","Pendency Percentage (Col.20/Col.5)*100 - (Col. 22)"
1,"Murder with Rape/Gang Rape",761,175,936,2,0,0,0,0,2,0,13,4,17,0,10,27,29,907,63,96.9
2,"Dowry Deaths",46507,6109,52616,0,0,15,2,3,20,11,880,76,956,105,1022,2083,2103,50513,45.9,96
3,"Abetment to Suicide of Women",18043,4189,22232,10,0,16,0,2,28,1,160,11,171,52,792,1015,1043,21189,16.8,95.3
4,Miscarriage,439,104,543,0,0,0,0,0,0,0,11,1,12,2,8,22,22,521,54.5,95.9
5,"Acid Attack",428,91,519,2,0,0,0,0,2,0,10,0,10,0,4,14,16,503,71.4,96.9
6,"Attempt to Acid Attack",119,24,143,0,0,0,0,0,0,0,1,0,1,0,2,3,3,140,33.3,97.9
7,"Cruelty by Husband or his relatives",581032,96153,677185,88,63,5640,561,462,6814,210,2943,482,3425,1202,14340,18967,25781,651404,18.1,96.2
8,"Kidnapping and Abduction of Women",168094,23810,191904,12,1,120,10,19,162,10,2185,204,2389,457,3952,6798,6960,184944,35.1,96.4
8.1,"Kidnapping and Abduction",44270,8282,52552,4,0,29,3,11,47,0,391,57,448,161,859,1468,1515,51037,30.5,97.1
8.2,"Kidnapping and Abduction in order to Murder",631,62,693,0,0,0,0,0,0,0,6,0,6,0,4,10,10,683,60,98.6
