"S. No (Col. 1)","Crime Head (Col. 2)","Cases Pending Trial from the Previous Year (Col. 3)","Cases Sent for Trial during the year (Col. 4)","Total Cases for Trial (Col. 5) = (Col.3+ Col.4)","Cases Abated by Court (Col. 6)","Cases Withdrawn From Prosecution (Col. 7)","Cases Compounded or Compromised (Col. 8)","Cases Disposed off by Plea Bargaining (Col. 9)","Cases Quashed (Col. 10)","Cases Disposed off Without Trial (Col. 11) = (Col.6+Col.7+Col.8+Col.9+Col.10)","Cases Stayed or Sent to Record Room (Col. 12)","Cases Convicted Out of Cases from Previous Year (Col. 13)","Cases Convicted Out of Cases during the Year (Col. 14)","Cases Convicted (Col. 15) = (Col.13+ Col.14)","Cases Discharged (Col. 16)","Cases Acquitted (Col. 17)","Cases in which Trials were Completed (Col. 18) = (Col.15+ Col.16+ Col.17)","Cases Disposed off by Courts (Col. 19) = (Col.11+ Col.18)","Cases Pending Trial at End of the Year (Col. 20) = (Col.5 - Col.19)","Conviction Rate (Col. 21) = (Col.15/ Col.18) *100","Pendency Percentage (Col. 22) = (Col.20/ Col.5) *100"
1,"Murder with Rape/Gang Rape",109,13,122,0,0,0,0,0,0,0,3,0,3,0,4,7,7,115,42.9,94.3
2,"Dowry Deaths",2887,388,3275,2,1,1,0,4,8,4,82,1,83,8,118,209,217,3058,39.7,93.4
3,"Abetment to Suicide of Women",1187,357,1544,6,0,0,0,2,8,0,5,1,6,0,105,111,119,1425,5.4,92.3
4,Miscarriage,78,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,NA,100
5,"Acid Attack",54,20,74,0,0,0,0,0,0,0,2,0,2,0,3,5,5,69,40,93.2
6,"Attempt to Acid Attack",36,11,47,0,0,0,0,0,0,0,2,0,2,0,1,3,3,44,66.7,93.6
7,"Cruelty by Husband or his relatives",55995,11099,67094,13,44,1047,21,603,1728,111,282,9,291,381,2200,2872,4600,62494,10.1,93.1
8,"Kidnapping and Abduction of Women",12538,1950,14488,4,1,25,0,4,34,9,110,10,120,19,587,726,760,13728,16.5,94.8
8.1,"Kidnapping and Abduction",5397,701,6098,3,0,22,0,4,29,5,73,9,82,14,171,267,296,5802,30.7,95.1
8.2,"Kidnapping and Abduction in order to Murder",58,1,59,0,0,0,0,0,0,0,0,0,0,0,1,1,1,58,0,98.3
8.3,"Kidnapping for Ransom",133,11,144,0,0,0,0,0,0,0,0,0,0,0,1,1,1,143,0,99.3
