"Si. No. (Col. 1)","Crime Head (Col. 2)","Cases Pending Trial from the Previous Year - (Col. 3)","Cases Sent for Trial during the year - (Col. 4)","Total Cases for Trial (Col.3+Col.4) - (Col. 5)","Cases Abated by Court - (Col. 6)","Cases Withdrawn from Prosecution - (Col. 7)","Cases Compounded or Compromised - (Col. 8)","Cases Disposed off by Plea Bargaining - (Col. 9)","Cases Quashed - (Col. 10)","Cases Disposed off without Trial (Col.6+Col.7+Col.8+Col.9+Col.10) - (Col. 11)","Cases Stayed or Sent to Record Room - (Col. 12)","Cases Convicted Out of Cases from Previous Year - (Col. 13)","Cases Convicted Out of Cases during the Year - (Col. 14)","Cases Convicted (Col.13+Col.14) - (Col. 15)","Cases Discharged - (Col. 16)","Cases Acquitted - (Col. 17)","Cases which Trials were Completed (Col.15+Col.16+Col.17) - (Col. 18)","Cases Disposed off by Courts (Col.11+Col.18) - (Col. 19)","Cases Pending Trial at End of the Year (Col.5-Col.19) - (Col. 20)","Conviction Rate (Col.15/Col.18)*100 - (Col. 21)","Pendency Percentage (Col.20/Col.5)*100 - (Col. 22)"
1,"Murder with Rape/Gang Rape",115,9,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,NA,100
2,"Dowry Deaths",3271,362,3633,0,0,0,1,3,4,3,38,1,39,7,44,90,94,3539,43.3,97.4
3,"Abetment to Suicide of Women",1457,303,1760,3,0,5,0,0,8,0,6,0,6,0,35,41,49,1711,14.6,97.2
4,Miscarriage,80,12,92,0,0,0,0,0,0,0,0,0,0,0,1,1,1,91,0,98.9
5,"Acid Attack",72,9,81,1,0,0,0,0,1,0,0,0,0,0,0,0,1,80,NA,98.8
6,"Attempt to Acid Attack",44,5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,NA,100
7,"Cruelty by Husband or his relatives",64979,9051,74030,6,3,792,15,245,1061,57,248,5,253,161,785,1199,2260,71770,21.1,96.9
8,"Kidnapping and Abduction of Women",13837,1263,15100,2,0,17,0,7,26,4,52,1,53,19,117,189,215,14885,28,98.6
8.1,"Kidnapping and Abduction",5663,551,6214,2,0,17,0,7,26,0,6,1,7,5,66,78,104,6110,9,98.3
8.2,"Kidnapping and Abduction in order to Murder",58,5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,NA,100
