"Sl. No. Col. (1)","Crime Head Col. (2)","Cases Pending Trial from the Previous Year - Col. (3)","Cases Sent for Trial during the year - Col. (4)","Total Cases for Trial (Col.3+Col.4) - Col. (5)","Cases Abated by Court - Col. (6)","Cases Withdrawn from Prosecution - Col. (7)","Cases Compounded or Compromised - Col. (8)","Cases Disposed off by Plea Bargaining - Col. (9)","Cases Quashed - Col. (10)","Cases Disposed off without Trial (Col.6+Col.7+Col.8+Col.9+Col.10) - Col. (11)","Cases Stayed or Sent to Record Room - Col. (12)","Cases Convicted Out of Cases from Previous Year - Col. (13)","Cases Convicted Out of Cases during the Year - Col. (14)","Cases Convicted (Col.13+Col.14) - Col. (15)","Cases Discharged - Col. (16)","Cases Acquitted - Col. (17)","Cases which Trials were Completed (Col.15+Col.16+Col.17) - Col. (18)","Cases Disposed off by Courts (Col.11+Col.18) - Col. (19)","Cases Pending Trial at End of the Year (Col.5-Col.19) - Col. (20)","Conviction Rate (Col.15/Col.18)*100 - Col. (21)","Pendency Percentage (Col.20/Col.5)*100 - Col. (22)"
1,Murder,222349,26382,248731,225,7,26,7,4,269,176,3947,357,4304,573,5270,10147,10416,238315,42.4,95.8
2,"Culpable Homicide not amounting to Murder",22653,3347,26000,16,0,1,0,2,19,2,497,30,527,93,711,1331,1350,24650,39.6,94.8
3,"Causing Death by Negligence",653100,111476,764576,1805,7,572,214,174,2772,436,11563,1940,13503,2630,21311,37444,40216,724360,36.1,94.7
3.1,"Deaths due to Negligence relating to Road Accidents",622643,104806,727449,1689,7,534,213,167,2610,428,10872,1848,12720,2476,20069,35265,37875,689574,36.1,94.8
3.1.1,"Hit and Run",183464,30352,213816,100,1,259,174,127,661,325,4958,1213,6171,449,5273,11893,12554,201262,51.9,94.1
3.1.2,"Other Accidents",439179,74454,513633,1589,6,275,39,40,1949,103,5914,635,6549,2027,14796,23372,25321,488312,28,95.1
3.2,"Deaths due to Negligence relating to Rail Accidents",55,5,60,1,0,0,0,0,1,0,0,0,0,0,0,0,1,59,NA,98.3
3.3,"Deaths due to Medical Negligence",515,79,594,0,0,0,0,0,0,1,3,0,3,1,16,20,20,574,15,96.6
3.4,"Deaths due to Negligence of Civic Bodies",226,68,294,1,0,0,0,1,2,0,2,0,2,1,4,7,9,285,28.6,96.9
3.5,"Deaths due to other Negligence",29661,6518,36179,114,0,38,1,6,159,7,686,92,778,152,1222,2152,2311,33868,36.2,93.6
4,"Dowry Deaths",50511,6209,56720,6,0,12,31,3,52,8,881,83,964,151,1137,2252,2304,54416,42.8,95.9
5,"Abetment of Suicide",34051,7806,41857,46,0,32,5,14,97,23,462,60,522,158,1625,2305,2402,39455,22.6,94.3
6,"Attempt to Commit Murder",310489,53020,363509,149,3,259,26,60,497,126,2753,284,3037,678,7843,11558,12055,351454,26.3,96.7
7,"Attempt to commit Culpable Homicide",36692,7973,44665,26,1,6,4,64,101,15,508,8,516,66,878,1460,1561,43104,35.3,96.5
8,"Attempt to Commit Suicide",7919,1396,9315,43,1,19,7,1,71,4,253,163,416,41,251,708,779,8536,58.8,91.6
9,"Miscarriage, Infanticide, Foeticide and Abandonment",2624,446,3070,1,0,5,0,0,6,10,51,1,52,11,71,134,140,2930,38.8,95.4
10,Hurt,2751685,526994,3278679,729,224,40123,7790,407,49273,1904,42644,12063,54707,11925,80965,147597,196870,3081809,37.1,94
10.1,"Simple Hurt",1975788,442012,2417800,615,190,36901,7374,323,45403,1854,36903,10481,47384,10238,69414,127036,172439,2245361,37.3,92.9
10.1.1,"Voluntarily Causing Simple Hurt",1110817,257909,1368726,139,79,14351,6745,117,21431,561,23153,6183,29336,6877,32709,68922,90353,1278373,42.6,93.4
10.1.2,"Voluntarily causing hurt by Dangerous weapons or means",735004,157753,892757,400,92,21634,559,162,22847,1248,10499,3207,13706,3081,31961,48748,71595,821162,28.1,92
10.1.3,"Voluntarily Causing hurt/Force to deter public servant from his duty",71798,13704,85502,61,13,298,4,25,401,30,1224,157,1381,172,3162,4715,5116,80386,29.3,94
10.1.4,"Causing Hurt by act endangering life/safety of others",29056,6608,35664,11,5,369,55,6,446,4,1767,895,2662,56,1049,3767,4213,31451,70.7,88.2
10.1.5,"Other Simple Hurt",29113,6038,35151,4,1,249,11,13,278,11,260,39,299,52,533,884,1162,33989,33.8,96.7
10.2,"Grievous Hurt",775897,84982,860879,114,34,3222,416,84,3870,50,5741,1582,7323,1687,11551,20561,24431,836448,35.6,97.2
10.2.1,"Voluntarily causing grievous hurt",549936,61686,611622,64,29,2421,398,47,2959,29,4627,1106,5733,1456,7173,14362,17321,594301,39.9,97.2
10.2.2,"Voluntarily causing grievous hurt by dangerous weapons or means",201324,18274,219598,43,5,542,10,37,637,20,593,141,734,165,3631,4530,5167,214431,16.2,97.6
10.2.3,"Acid Attack",952,158,1110,3,0,3,0,0,6,0,8,0,8,2,16,26,32,1078,30.8,97.1
10.2.4,"Attempt to Acid Attack",227,63,290,1,0,0,0,0,1,0,3,1,4,0,4,8,9,281,50,96.9
10.2.5,"Voluntarily Causing Grievous hurt/Force to deter public servant from his duty",5754,1529,7283,1,0,33,0,0,34,1,167,183,350,5,226,581,615,6668,60.2,91.6
10.2.6,"Causing Grevious Hurt by act endangering life/safety of others",11969,2556,14525,2,0,218,8,0,228,0,227,150,377,58,496,931,1159,13366,40.5,92
10.2.7,"Other Grevious Hurt",5735,716,6451,0,0,5,0,0,5,0,116,1,117,1,5,123,128,6323,95.1,98
11,"Wrongful Restraint/Confinement",53918,10532,64450,10,12,1484,100,33,1639,62,1237,350,1587,120,1782,3489,5128,59322,45.5,92
12,"Assault on Women with Intent to Outrage her Modesty",425770,77168,502938,171,36,3711,288,161,4367,142,5846,656,6502,1055,13056,20613,24980,477958,31.5,95
12.1,"Assault on Women with Intent to Outrage her Modesty",255044,43179,298223,88,27,2191,173,98,2577,64,3496,465,3961,718,8280,12959,15536,282687,30.6,94.8
12.2,"Sexual Harassment",94658,15277,109935,47,9,660,92,48,856,40,1598,89,1687,246,2677,4610,5466,104469,36.6,95
12.2.1,"at Work or Office Premises",3218,353,3571,2,1,27,0,3,33,0,18,2,20,2,63,85,118,3453,23.5,96.7
12.2.2,"In Public Transport System",2590,366,2956,3,0,26,0,2,31,0,50,15,65,7,87,159,190,2766,40.9,93.6
12.2.3,"In Shelter Homes for women and Children",2144,332,2476,0,0,29,0,0,29,0,11,0,11,1,47,59,88,2388,18.6,96.4
12.2.4,"Other Places",86706,14226,100932,42,8,578,92,43,763,40,1519,72,1591,236,2480,4307,5070,95862,36.9,95
12.3,"Assault or use of Criminal Force on women with intent to Disrobe",40288,9361,49649,14,0,190,3,4,211,20,366,49,415,20,1071,1506,1717,47932,27.6,96.5
12.4,Voyeurism,4586,1177,5763,5,0,49,0,2,56,2,28,8,36,11,117,164,220,5543,22,96.2
12.5,Stalking,31194,8174,39368,17,0,621,20,9,667,16,358,45,403,60,911,1374,2041,37327,29.3,94.8
13,"Kidnapping and Abduction",254332,38141,292473,41,20,385,37,31,514,47,2239,426,2665,557,5862,9084,9598,282875,29.3,96.7
13.1,"Kidnapping and Abduction",83553,16529,100082,22,1,198,17,7,245,23,1018,200,1218,329,2004,3551,3796,96286,34.3,96.2
13.1.1,"Missing Children Deemed as Kidnapped",20098,5955,26053,1,0,25,0,2,28,1,292,12,304,87,508,899,927,25126,33.8,96.4
13.1.2,"Other Kidnapping & Abduction",63455,10574,74029,21,1,173,17,5,217,22,726,188,914,242,1496,2652,2869,71160,34.5,96.1
13.2,"Kidnapping and Abduction for the Purpose of Begging",184,13,197,0,0,0,0,0,0,0,1,1,2,0,1,3,3,194,66.7,98.5
13.3,"Kidnapping and Abduction in order to Murder",9319,254,9573,0,0,2,0,2,4,0,32,2,34,3,39,76,80,9493,44.7,99.2
13.4,"Kidnapping for Ransom",2854,436,3290,1,0,0,0,3,4,0,34,5,39,0,53,92,96,3194,42.4,97.1
13.5,"Kidnapping and Abduction of Women to compel her for marriage",104828,13192,118020,8,11,114,12,11,156,10,709,185,894,104,2080,3078,3234,114786,29,97.3
13.6,"Procuration of Minor Girls",6995,1234,8229,1,8,11,2,0,22,0,31,5,36,2,271,309,331,7898,11.7,96
13.7,"Importation of Girls from Foreign Country",196,2,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,NA,100
13.8,"Other Kidnapping & Abducion",46403,6481,52884,9,0,60,6,8,83,14,414,28,442,119,1414,1975,2058,50826,22.4,96.1
