"Si. No. (Col. 1)","Crime Head (Col. 2)","Cases Pending Investigation from Previous Year - (Col. 3)","Cases Reported during the year - (Col. 4)","Cases Reopened for Investigation - (Col. 5)","Total Cases for Investigation (Col.3+Col.4+Col.5) - (Col. 6)","Cases Not Investigated Under 157_1_b CRPC - (Col. 7)","Cases Transferred to Other State or Agency - (Col. 8)","Cases Withdrawn by the Govt during Investigation - (Col. 9)","Final Report - Cases Ended as FR Non Cognizable - (Col. 10)","Final Report - Cases Ended as Final Report False - (Col. 11)","Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute - (Col. 12)","Final Report - Cases True but Insufficient Evidence or Untraced or No Clue - (Col. 13)","Final Report - Cases Abated during Investigation - (Col. 14)","Final Report - Total (Col.10+ Col.11+ Col.12+ Col13+ Col.14) - (Col. 15)","Charge Sheets Submitted - Cases ChargeSheeted Out of cases frm prv. Year - (Col. 16)","Charge Sheets Submitted - Cases Chargesheeted Out of Cases during the year - (Col. 17)","Charge Sheets Submitted - Cases Chargesheeted (Col.16+Col.17) - (Col. 18)","Total Cases Disposed Off by Police (Col.7+8+15+18) - (Col. 19)","Cases Quashed at Investigation Stage - (Col. 20)","Cases Stayed at Investigation Stage - (Col. 21)","Cases Pending Invsgn.at end of the year (Cols.6-9-19-20) - (Col. 22)","Chargesheeting Rate (Col.18/19*100) - (Col. 23)","Pendency Percentage (Col.22/6*100) - (Col. 24)"
1,"Murder with Rape/Gang Rape",18,11,0,29,0,0,0,0,0,0,0,0,0,1,8,9,9,0,0,20,100,69
2,"Dowry Deaths",235,355,0,590,0,2,0,0,4,9,2,0,15,127,235,362,379,0,0,211,95.5,35.8
3,"Abetment to Suicide of Women",604,403,0,1007,0,1,0,0,11,6,19,2,38,89,214,303,342,1,2,664,88.6,65.9
4,Miscarriage,12,21,0,33,0,0,0,0,0,0,3,0,3,2,10,12,15,0,0,18,80,54.5
5,"Acid Attack",18,7,0,25,0,0,0,0,1,0,2,0,3,3,6,9,12,0,0,13,75,52
6,"Attempt to Acid Attack",19,9,0,28,0,0,0,0,0,0,2,0,2,2,3,5,7,1,0,20,71.4,71.4
7,"Cruelty by Husband or his relatives",11784,10682,0,22466,0,4,0,3,112,431,363,3,912,4975,4076,9051,9967,100,13,12399,90.8,55.2
8,"Kidnapping and Abduction of Women",10460,6710,1,17171,0,3,7,15,627,2903,1523,1,5069,589,674,1263,6335,33,0,10796,19.9,62.9
8.1,"Kidnapping and Abduction",8718,5522,1,14241,0,3,6,15,592,2665,1142,1,4415,251,300,551,4969,29,0,9237,11.1,64.9
8.2,"Kidnapping and Abduction in order to Murder",5,5,0,10,0,0,0,0,0,0,0,0,0,1,4,5,5,0,0,5,100,50
8.3,"Kidnapping for Ransom",7,4,0,11,0,0,0,0,0,0,0,0,0,4,1,5,5,0,0,6,100,54.5
8.4,"Kidnapping and Abduction of Women to compel her for marriage",825,741,0,1566,0,0,0,0,6,31,312,0,349,264,303,567,916,0,0,650,61.9,41.5
8.4.1,Women,555,488,0,1043,0,0,0,0,3,20,213,0,236,160,133,293,529,0,0,514,55.4,49.3
8.4.2,Girls,270,253,0,523,0,0,0,0,3,11,99,0,113,104,170,274,387,0,0,136,70.8,26
8.5,"Procuration of Minor Girls",76,29,0,105,0,0,0,0,6,7,2,0,15,3,8,11,26,0,0,79,42.3,75.2
8.6,"Importation of Girls from Foreign Country",3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,100,0
8.7,NA,826,409,0,1235,0,0,1,0,23,200,67,0,290,63,58,121,411,4,0,819,29.4,66.3
9,"Human Trafficking",99,90,0,189,0,0,0,0,0,3,0,0,3,46,47,93,96,0,0,93,96.9,49.2
10,"Selling of Minor Girls",9,2,0,11,0,0,0,0,0,0,0,0,0,5,2,7,7,0,0,4,100,36.4
11,"Buying of Minor Girls",7,0,0,7,0,0,0,0,0,1,0,0,1,6,0,6,7,0,0,0,85.7,0
12,Rape,1320,2533,0,3853,0,12,0,2,154,94,46,1,297,690,1534,2224,2533,5,7,1315,87.8,34.1
12.1,Women,1219,2444,0,3663,0,12,0,2,139,91,45,1,278,628,1487,2115,2405,5,7,1253,87.9,34.2
