"Sl. No.",State/UT,2020,2021,2022,"Mid-Year Projected Population (in Lakhs) (2022)","Rate of Cognizable Crimes (IPC) (2022)","Chargesheeting Rate (2022)"
1,"Andhra Pradesh",188997,179611,158547,530.3,299,86.5
2,"Arunachal Pradesh",2244,2626,2308,15.5,148.8,47.2
3,Assam,111558,119883,59315,354.9,167.1,32.6
4,Bihar,194698,186006,211079,1255.3,168.1,75.4
5,Chhattisgarh,65216,70519,73822,299.5,246.5,80.4
6,Goa,3393,2099,2711,15.7,172.8,75.9
7,Gujarat,381849,273056,134600,709.3,189.8,89.8
8,Haryana,103276,112720,125435,299.7,418.6,43.3
9,"Himachal Pradesh",14803,13041,13231,74.4,177.8,82.9
10,Jharkhand,51033,47684,48726,391.4,124.5,58.2
11,Karnataka,106350,115728,129461,674.1,192.1,78.3
12,Kerala,149099,142643,235858,356.8,661,96
13,"Madhya Pradesh",283881,304066,298578,858.9,347.6,86.6
14,Maharashtra,394017,367218,374038,1257.4,297.5,75.3
15,Manipur,2349,2484,3029,32,94.6,10.4
16,Meghalaya,2871,2672,2914,33.3,87.6,26.9
17,Mizoram,1787,2467,3587,12.3,291.6,58
18,Nagaland,1022,1033,1008,22.2,45.4,58
19,Odisha,108533,124956,143414,460.8,311.2,77.9
20,Punjab,49870,46454,43738,306,142.9,66.4
21,Rajasthan,193279,214552,236090,804.4,293.5,49.8
22,Sikkim,504,532,549,6.8,80.3,55.5
23,"Tamil Nadu",891700,322852,193913,767.1,252.8,70.7
24,Telangana,135885,146131,151849,379.5,400.1,79.1
25,Tripura,4010,4133,3653,41.2,88.7,73.1
26,"Uttar Pradesh",355110,357905,401787,2340.9,171.6,76.1
27,Uttarakhand,13812,15704,16967,115.6,146.8,71.5
28,"West Bengal",158060,157498,156503,987.6,158.5,90.6
"Total State (S)","Total State (S)",3969206,3336273,3226710,13403,240.7,74.9
29,"Andaman and Nicobar Islands",482,386,460,4,114.4,83.9
30,Chandigarh,2583,2401,2941,12.2,240.5,54.4
31,"Dadra and Nagar Haveli and Daman and Diu",441,490,1184,12,98.6,82.5
32,Delhi,249192,291904,300429,211,1424.1,30.2
33,"Jammu and Kashmir",25233,27447,25915,135.4,191.4,77.1
34,Ladakh,387,519,439,3,146.8,82.4
35,Lakshadweep,107,89,64,0.7,92.8,73.5
36,Puducherry,6725,3851,3237,16.2,199.7,91.3
"Total UT(S)","Total UT(S)",285150,327087,334669,394.5,848.4,35.6
"Total All India","Total All India",4254356,3663360,3561379,13797.5,258.1,71.3
