Indusry/Items,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14
"20 - GFCE",10.9,10.9,10.3,10.3,10.9,11.9,11.4,11.4,11.8,11.8
"21 - PFCE",59.1,58.3,57.7,57,57.7,57.2,56,57.1,57.1,57.1
"22 - GFCF",28.7,30.3,31.3,32.9,32.3,31.7,30.9,31.8,30.4,28.3
"22.1 - Construction",15.8,16.6,17.2,18.2,18.2,17.8,17.2,17.7,17.5,NA
"22.2 - Machinery",12.9,13.8,14.1,14.7,14.2,13.9,13.8,14,12.9,NA
"23 - CIS",2.5,2.8,3.4,4,1.9,2.8,3.5,1.9,1.7,1.6
"24 - Valuables",1.3,1.1,1.2,1.1,1.3,1.8,2.1,2.7,2.6,1.5
"25 - Exports of Goods and Services",17.6,19.3,21.1,20.4,23.6,20,22,23.9,24,24.8
"26 - Less Imports of Goods and Services",19.3,22,24.2,24.4,28.7,25.4,26.3,30.2,30.7,28.4
"27 - Discrepancies",-0.8,-0.7,-0.7,-1.3,0.9,-0.1,0.4,1.5,3.2,3.2
