Sector,Item,"01 _ Activities relating to agriculture other than crop production & plantation","02 _ Livestock","03 _ Forestry and Logging","04 _ Fishing and aqua culture","Subtotal: Agricultural Activities","05 _ Mining and quarrying","06 _ Manufacturing ","07 _ Electricity","08 _ Water supply","09 _ Construction","10_ Whole sale trade","11 _ Whole sale trade ( not covered in item_10 above )","12 _ Retail trade ( not covered in item_10 above )","13 _ Transportation and storage ","14 _ Accomodation and and Food service activities","15 _ Information & communication ","16 _ Financial and insurance activities ","17 _ Real estate activities","18 _ Professional","19 _ Administrative and support service activities","20 _ Education","21 _ Human health & social work activities ","22 _ Arts entertainment","23 _ Other service activities not else where classified ","Subtotal : Non_Agricultiural Activities",Total
Rural,"Total No. of Persons Employed",1230186,17987450,1167371,672313,21057320,404956,13642473,242693,158659,1017539,676126,786095,11197996,2309309,2259486,290545,1085891,131766,322194,691168,6623451,1299205,262397,3436152,46838101,67895421
Rural,"Total Persons Employed in Proprietary establishments",1131631,17580918,1085816,639023,20437388,251397,11087673,55581,92752,941487,571124,663881,10449886,2033297,1918849,134318,294091,116868,205450,546004,1495634,498098,148094,1971101,33475585,53912973
Rural,"% of Persons Employed in Proprietary Establishments",92,97.7,93,95,97.1,62.1,81.3,22.9,58.5,92.5,84.5,84.5,93.3,88,84.9,46.2,27.1,88.7,63.8,79,22.6,38.3,56.4,57.4,71.5,79.4
Rural,SC,110270,2065396,111554,118911,2406131,18468,1209636,3088,10373,175493,52335,61500,1235009,264281,174776,13372,22336,8107,22323,52542,64206,41458,28048,238876,3696227,6102358
Rural,"% SC",9.7,11.7,10.3,18.6,11.8,7.3,10.9,5.6,11.2,18.6,9.2,9.3,11.8,13,9.1,10,7.6,6.9,10.9,9.6,4.3,8.3,18.9,12.1,11,11.3
Rural,ST,76469,1168107,629459,44974,1919009,21291,608868,3034,2806,55788,20805,40232,626600,114537,105582,4708,9770,4872,6189,23359,34029,11598,5475,61039,1760582,3679591
Rural,"% ST",6.8,6.6,58,7,9.4,8.5,5.5,5.5,3,5.9,3.6,6.1,6,5.6,5.5,3.5,3.3,4.2,3,4.3,2.3,2.3,3.7,3.1,5.3,6.8
Rural,OBC,533776,8155154,210912,314654,9214496,81058,4837571,11040,32337,341564,245270,235188,4384143,791625,844807,51057,90251,48967,77587,244524,350621,159568,47624,846603,13721405,22935901
Rural,"% OBC",47.2,46.4,19.4,49.2,45.1,32.2,43.6,19.9,34.9,36.3,42.9,35.4,42,38.9,44,38,30.7,41.9,37.8,44.8,23.4,32,32.2,43,41,42.5
Rural,Others,411116,6192261,133891,160484,6897752,130580,4431598,38419,47236,368642,252714,326961,4204134,862854,793684,65181,171734,54922,99351,225579,1046778,285474,66947,824583,14297371,21195123
Rural,"% Others",36.3,35.2,12.3,25.1,33.8,51.9,40,69.1,50.9,39.2,44.2,49.2,40.2,42.4,41.4,48.5,58.4,47,48.4,41.3,70,57.3,45.2,41.8,42.7,39.3
Urban,"Total No. of Persons Employed",131442,1430992,57438,205309,1825181,152518,16714800,301549,259251,1312555,1993501,1698276,15994476,2737946,3827420,1566348,1752331,570695,1262592,1377677,3972901,2198349,352361,3527720,61573266,63398447
Urban,"Total Persons Employed in Proprietary establishments",108086,1381847,47560,192380,1729873,68028,13339650,76216,166910,1076332,1668740,1427061,14622390,2164760,3270122,695665,575141,499190,882820,938509,1787461,1291222,228520,2639123,47417860,49147733
Urban,"% of Persons Employed in Proprietary Establishments",82.2,96.6,82.8,93.7,94.8,44.6,79.8,25.3,64.4,82,83.7,84,91.4,79.1,85.4,44.4,32.8,87.5,69.9,68.1,45,58.7,64.9,74.8,77,77.5
Urban,SC,9155,139975,5738,22586,177454,4703,1107073,5310,21153,142481,118954,76708,1291485,243132,265685,45843,30205,37504,56978,69969,91840,77014,28887,305774,4020698,4198152
Urban,"% SC",8.5,10.1,12.1,11.7,10.3,6.9,8.3,7,12.7,13.2,7.1,5.4,8.8,11.2,8.1,6.6,5.3,7.5,6.5,7.5,5.1,6,12.6,11.6,8.5,8.5
Urban,ST,4616,52574,6037,7175,70402,2562,348582,1895,4526,35795,48426,26382,491625,68721,109100,15183,11259,15960,17975,22762,37964,27401,6632,83441,1376191,1446593
Urban,"% ST",4.3,3.8,12.7,3.7,4.1,3.8,2.6,2.5,2.7,3.3,2.9,1.8,3.4,3.2,3.3,2.2,2,3.2,2,2.4,2.1,2.1,2.9,3.2,2.9,2.9
Urban,OBC,42217,743345,15536,118269,919367,26265,4644963,17130,45341,370041,567632,339915,4777971,631362,1111872,162784,146027,148405,218158,260002,420151,303510,70765,943974,15206268,16125635
Urban,"% OBC",39.1,53.8,32.7,61.5,53.1,38.6,34.8,22.5,27.2,34.4,34,23.8,32.7,29.2,34,23.4,25.4,29.7,24.7,27.7,23.5,23.5,31,35.8,32.1,32.8
Urban,Others,52098,445953,20249,44350,562650,34498,7239032,51881,95890,528015,933728,984056,8061309,1221545,1783465,471855,387650,297321,589709,585776,1237506,883297,122236,1305934,26814703,27377353
Urban,"% Others",48.2,32.3,42.6,23.1,32.5,50.7,54.3,68.1,57.5,49.1,56,69,55.1,56.4,54.5,67.8,67.4,59.6,66.8,62.4,69.2,68.4,53.5,49.5,56.5,55.7
,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
