"Sl. No.",Sector,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
1,Agriculture,705744,890805,967892,1295565,1314267,1519514,2019040,2247005,2765427,3015072,3389055
2,"Forestry & logging",257701,262491,290518,311445,326370,364589,391343,432622,533127,622712,744737
3,Fishing,52465,59822,72536,75227,87008,114055,188920,234829,281666,323693,389276
Total,"Ag & Allied",1015910,1213118,1330945,1682238,1727645,1998158,2599303,2914456,3580220,3961477,4523068
4,"Mining & quarrying",536715,678985,810723,976239,1208213,935778,1182763,1647198,1589650,1643013,1834323
5,Manufacturing,1047925,918164,1490190,1801186,2021248,1707247,1729781,1738748,2091481,2295841,2524020
5.1,Registered,935064,791703,1335169,1619746,1821725,1501793,1496570,1472584,1808111,1984587,2181167
5.2,Unregistered,112861,126461,155021,181440,199523,205454,233211,266164,283370,311254,342853
6,Construction,327428,430685,644367,668015,795653,959843,1184310,1972150,2283751,2542761,2805972
7,"Electricity,gas and Water supply",210074,212490,235546,295678,746910,686166,741076,756972,649992,758843,845088
Total,Industry,2122142,2240325,3180826,3741118,4772024,4289034,4837930,6115068,6614874,7240458,8009403
8,"Transport,storage & communication",231187,254911,316602,375366,443310,536940,594973,737492,897692,1058026,1197287
8.1,Railways,54939,57299,76116,84313,93384,118888,104002,124030,143740,157043,169560
8.2,"Transport by other means",128850,151953,187102,230940,280105,334880,408744,519148,645961,776518,886550
8.3,Storage,5127,5176,6229,7518,9175,11596,13603,18678,22130,25916,30406
8.4,Communication,42271,40482,47155,52596,60646,71576,68624,75636,85861,98549,110771
9,"Trade,hotels and restaurants",409082,508972,575003,708245,899635,820769,1019450,1212230,1302215,1428586,1590295
10,"Banking & Insurance",111485,124964,157240,178150,215834,276052,375004,483290,599703,633516,727675
11,"Real estate,ownership of dwellings and business services",315708,356605,403818,489386,598816,674232,782513,996413,1223298,1454201,1714402
12,"Public administration",165767,200130,205799,228362,297182,389007,487432,543024,611696,791768,873233
13,"Other services",414949,439085,517256,622645,742772,952235,1245371,1409247,1734422,2000216,2383816
Total,Services,1648178,1884667,2175718,2602155,3197549,3649234,4504743,5381696,6369026,7366313,8486708
14,"State domestic product (` Lakh)",4786229,5338110,6687489,8025511,9697218,9936426,11941976,14411220,16564120,18568248,21019179
