"Sl. No.",Sector,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14
1,Agriculture,101772,103786,110282,115257,125353,183455,225340,270052,329401,353433
2,"Forestry & logging",6915,7274,7932,8036,8150,8231,10237,11021,11700,12463
3,Fishing,761,418,459,514,552,576,726,826,840,907
Total,"Ag & Allied",109448,111478,118673,123807,134055,192262,236303,281899,341941,366803
4,"Mining & quarrying",453,0,0,0,0,0,0,0,0,0
5,Manufacturing,732602,827564,942414,1088893,1116981,1199742,1493900,1604532,1712252,1855191
5.1,Registered,247471,269783,298595,367580,324322,348401,517349,541294,580020,608047
5.2,Unregistered,485131,557781,643819,721313,792659,851341,976551,1063238,1132232,1247144
6,Construction,975668,1074643,1213617,1420983,1641504,1912090,1877257,1955018,2239660,2476910
7,"Electricity,gas and Water supply",141606,146723,209388,263356,422106,402762,225989,288041,273948,266580
Total,Industry,1850329,2048930,2365419,2773232,3180591,3514594,3597146,3847591,4225860,4598681
8,"Transport,storage & communication",886450,921176,1080542,1216056,1430422,1658519,1882797,2147220,2475482,2907926
8.1,Railways,48337,63586,82496,104616,137777,160182,170980,194544,202042,209540
8.2,"Transport by other means",535177,602890,681665,757379,879384,995620,1195864,1365003,1593829,1897097
8.3,Storage,5531,5899,7132,8472,10157,12218,14508,17133,19654,21952
8.4,Communication,297405,248801,309249,345589,403104,490499,501445,570540,659957,779336
9,"Trade,hotels and restaurants",2106249,2565445,2995469,3576183,3789297,4059682,4951699,6014782,7301828,9031041
10,"Banking & Insurance",1636236,1701373,2088918,2429152,2906120,3639965,4483488,5235522,6057045,6562100
11,"Real estate,ownership of dwellings and business services",1952309,2432646,2935082,3557415,4319299,5031345,6038098,7101856,8724440,10425192
12,"Public administration",599954,692073,754461,702985,1409932,1349872,1345147,1804488,1656454,1664698
13,"Other services",891477,1064304,1219801,1415888,1783596,2315619,2740601,3262331,4039066,4901124
Total,Services,8072675,9377017,11074273,12897679,15638666,18055002,21441830,25566198,30254315,35492081
14,"State domestic product (` Lakh)",10032452,11537425,13558365,15794718,18953312,21761858,25275279,29695688,34822116,40457565
