StateUT,"In crore - 2004-05","In crore - 2005-06","In crore - 2006-07","In crore - 2007-08","In crore - 2008-09","In crore - 2009-10","In crore - 2010-11","In crore - 2011-12","In crore - 2012-13","In crore - 2013-14","Growth over previous year in Percentage - 2005-06","Growth over previous year in Percentage - 2006-07","Growth over previous year in Percentage - 2007-08","Growth over previous year in Percentage - 2008-09","Growth over previous year in Percentage - 2009-10","Growth over previous year in Percentage - 2010-11","Growth over previous year in Percentage - 2011-12","Growth over previous year in Percentage - 2012-13","Growth over previous year in Percentage - 2013-14"
"Andhra Pradesh",224713,255941,301035,364813,426765,476835,583762,662592,754409,857364,13.9,17.62,21.19,16.98,11.73,22.42,13.5,13.86,13.65
"Arunachal Pradesh",3488,3755,4108,4810,5687,7474,9013,10619,12091,13382,7.65,9.4,17.09,18.23,31.42,20.59,17.82,13.86,10.68
Assam,53398,59385,64692,71076,81074,95975,112688,125820,141621,162652,11.21,8.94,9.87,14.07,18.38,17.41,11.65,12.56,14.85
Bihar,77781,82490,100737,113680,142279,162924,204289,247318,313995,368337,6.05,22.12,12.85,25.16,14.51,25.39,21.06,26.96,17.31
Chhattisgarh,47862,53381,66875,80255,96972,99364,119420,132872,153621,175961,11.53,25.28,20.01,20.83,2.47,20.18,11.26,15.62,14.54
Goa,12713,14327,16523,19565,25414,29126,33605,36025,34965,NA,12.7,15.33,18.41,29.9,14.61,15.38,7.2,-2.94,NA
Gujarat,203373,244736,283693,329285,367912,431262,521519,594563,670016,NA,20.34,15.92,16.07,11.73,17.22,20.93,14.01,12.69,NA
Haryana,95795,108885,128732,151596,182522,223600,260621,301959,345238,392894,13.66,18.23,17.76,20.4,22.51,16.56,15.86,14.33,13.8
"Himachal Pradesh",24077,27127,30274,33963,41483,48189,57452,64957,73710,82585,12.67,11.6,12.19,22.14,16.17,19.22,13.06,13.48,12.04
"Jammu and Kashmir",27305,29920,33230,37099,42315,48385,58073,65759,75574,87319,9.58,11.06,11.64,14.06,14.34,20.02,13.24,14.93,15.54
Jharkhand,59758,60901,66935,83950,87794,100621,127281,143891,164876,189208,1.91,9.91,25.42,4.58,14.61,26.5,13.05,14.58,14.76
Karnataka,166747,195904,227237,270629,310312,337559,410703,458894,524502,593811,17.49,15.99,19.1,14.66,8.78,21.67,11.73,14.3,13.21
Kerala,119264,136842,153785,175141,202783,231999,263773,307906,349338,NA,14.74,12.38,13.89,15.78,14.41,13.7,16.73,13.46,NA
"Madhya Pradesh",112927,124276,144577,161479,197276,227557,263396,311670,372171,450900,10.05,16.34,11.69,22.17,15.35,15.75,18.33,19.41,21.15
Maharashtra,415480,486766,584498,684817,753969,855751,1035086,1199548,1372644,NA,17.16,20.08,17.16,10.1,13.5,20.96,15.89,14.43,NA
Manipur,5133,5718,6137,6783,7399,8254,9137,10504,11983,NA,11.4,7.33,10.53,9.08,11.56,10.7,14.96,14.08,NA
Meghalaya,6559,7265,8625,9735,11617,12709,14583,16412,18135,20808,10.76,18.72,12.87,19.33,9.4,14.75,12.54,10.5,14.74
Mizoram,2682,2971,3290,3816,4577,5260,6388,7198,8053,NA,10.78,10.74,15.99,19.94,14.92,21.44,12.68,11.88,NA
Nagaland,5839,6588,7257,8075,9436,10527,11759,13203,14832,NA,12.83,10.15,11.27,16.85,11.56,11.7,12.28,12.34,NA
Odisha,77729,85096,101839,129274,148491,162946,197530,214583,255459,288414,9.48,19.68,26.94,14.87,9.73,21.22,8.63,19.05,12.9
Punjab,96839,108637,127123,152245,174039,197500,226204,256430,286809,319117,12.18,17.02,19.76,14.32,13.48,14.53,13.36,11.85,11.26
Rajasthan,127746,142236,171043,194822,230949,265825,338348,403422,459215,513688,11.34,20.25,13.9,18.54,15.1,27.28,19.23,13.83,11.86
Sikkim,1739,1993,2161,2506,3229,6133,7412,8616,9957,NA,14.61,8.43,15.96,28.85,89.93,20.85,16.24,15.56,NA
"Tamil Nadu",219003,257833,310526,350819,401336,479733,584896,665312,744474,850319,17.73,20.44,12.98,14.4,19.53,21.92,13.75,11.9,14.22
Tripura,8904,9826,10914,11797,13573,15403,17868,20982,23855,NA,10.35,11.07,8.09,15.05,13.48,16,17.43,13.69,NA
"Uttar Pradesh",260841,293172,336317,383026,444685,523394,600164,679007,768930,886410,12.39,14.72,13.89,16.1,17.7,14.67,13.14,13.24,15.28
Uttarakhand,24786,29968,36795,45856,56025,70730,83969,97696,113958,132969,20.91,22.78,24.63,22.18,26.25,18.72,16.35,16.65,16.68
"West Bengal",208656,230245,261682,299483,341942,398880,460959,538209,620160,707848,10.35,13.65,14.45,14.18,16.65,15.56,16.76,15.23,14.14
"Andaman and Nicobar Islands",1813,2044,2538,2990,3480,4120,4345,4746,5067,5351,12.74,24.17,17.81,16.39,18.39,5.46,9.23,6.76,5.6
Chandigarh,8504,10185,12276,13669,15334,17577,20017,23211,26162,NA,19.77,20.53,11.35,12.18,14.63,13.88,15.96,12.71,NA
Delhi,100325,115374,135584,157947,189533,217619,252753,296957,348221,404576,15,17.52,16.49,20,14.82,16.14,17.49,17.26,16.18
Puducherry,5754,7977,8335,9251,10050,12304,13092,14630,17192,21500,38.63,4.49,10.99,8.64,22.43,6.4,11.75,17.51,25.06
"All-India GDP(2004-05 base)",2971464,3390503,3953276,4582086,5303567,6108903,7248860,8391691,9388876,10539605,14.1,16.6,15.91,15.75,15.18,18.66,15.77,11.88,12.26
