"Sl. No.",Sector,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14
1,Agriculture,2674600,3532300,4207500,5107700,5108800,5870700,9401448,11094668,10150280,14214101
2,"Forestry & logging",450400,494700,571300,441500,527900,562100,597300,687442,875083,959992
3,Fishing,145600,205000,225500,240500,268200,294800,321300,323648,367652,452544
Total,"Ag & Allied",3270600,4232000,5004300,5789700,5904900,6727600,10320048,12105758,11393015,15626637
4,"Mining & quarrying",702600,811100,837000,887300,945700,995600,1104352,1198269,1220966,1281341
5,Manufacturing,5544300,6953800,8072600,9049800,10004300,12693700,13502831,15320228,16995530,18236120
5.1,Registered,4317300,5562600,6453100,7168800,7988500,10354300,10970878,12587412,14171196,15441544
5.2,Unregistered,1227000,1391200,1619500,1881000,2015800,2339400,2531953,2732816,2824334,2794576
6,Construction,1302400,1462600,1736100,2501500,2952100,3165500,3530132,4406820,4928428,5682406
7,"Electricity,gas and Water supply",585300,674300,760500,732400,801100,1193000,1444056,1811485,2067611,2229051
Total,Industry,8134600,9901800,11406200,13171000,14703200,18047800,19581370,22736802,25212535,27428918
8,"Transport,storage & communication",1433500,1605000,1792700,2033200,2307800,2783600,3149087,3655042,4253664,4872831
8.1,Railways,149600,152700,164000,179100,221400,277900,276500,331527,367585,406299
8.2,"Transport by other means",959200,1104300,1275700,1460600,1631500,1955400,2358991,2755745,3240081,3735556
8.3,Storage,4800,5100,6400,7000,8100,13900,16514,19875,23475,28054
8.4,Communication,319900,342900,346600,386500,446800,536400,497082,547895,622523,702922
9,"Trade,hotels and restaurants",3368100,4087900,4902600,5847700,6904300,7559700,9431969,10216577,11839433,13512436
10,"Banking & Insurance",1135300,1243400,1395600,1603300,1847900,1869800,2379018,2790274,3327324,3766448
11,"Real estate,ownership of dwellings and business services",1336400,1504000,1715700,2018900,2335900,2693600,3210719,3738523,4317379,4978387
12,"Public administration",648000,733600,859000,954200,1065700,1359900,1564562,1724717,2010958,2219264
13,"Other services",1010800,1165900,1293200,1510500,1721500,2084200,2515115,2910859,3499733,4158860
Total,Services,8932100,10339800,11958800,13967800,16183100,18350800,22250470,25035992,29248491,33508226
14,"State domestic product (` Lakh)",20337300,24473600,28369300,32928500,36791200,43126200,52151888,59878552,65854041,76563781
