Category,Sector,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14
"Ag & Allied",Agriculture,610034,641060,672450,706323,742911,815461,1114201,1218404,1485754,1797615
"Ag & Allied","Forestry & logging",140945,153467,157793,169985,183872,193715,184862,189512,222454,206589
"Ag & Allied",Fishing,15174,16580,18397,18451,25914,28207,30001,32354,34574,36990
"Ag & Allied",Total,766153,811107,848640,894759,952697,1037383,1329064,1440270,1742781,2041194
"Mining & quarrying","Mining & quarrying",2847,4240,5032,5855,4811,6795,12785,14817,50853,86397
Manufacturing,Total,167248,192037,232469,265128,310149,357136,392851,464277,499615,515517
Manufacturing,Registered,63104,79593,100510,114113,134902,161154,175019,223522,243380,234339
Manufacturing,Unregistered,104144,112444,131959,151015,175247,195982,217833,240755,256235,281179
Construction,Construction,447192,515589,577053,653915,710301,742807,756316,875868,939774,943029
"Electricity,gas and Water supply","Electricity,gas and Water supply",153517,144212,164915,191601,236088,328563,490609,511916,593250,631742
Industry,Total,770804,856078,979470,1116499,1261349,1435301,1652561,1866879,2083492,2176685
"Transport,storage & communication",Total,109434,123661,146466,163685,169708,201983,212740,247959,291140,334175
"Transport,storage & communication",Railways,5034,5672,6950,9738,9589,13406,10564,12869,14646,17025
"Transport,storage & communication","Transport by other means",65385,72889,81794,91825,108715,130026,141103,163250,189737,226412
"Transport,storage & communication",Storage,306,323,388,465,554,678,826,1018,1216,1361
"Transport,storage & communication",Communication,38709,44777,57334,61657,50850,57873,60247,70823,85540,89377
"Trade,hotels and restaurants","Trade,hotels and restaurants",190945,212609,248286,293328,344502,356692,390640,503024,579764,651561
"Banking & Insurance","Banking & Insurance",98431,104940,116483,133956,162044,173855,207061,245532,279225,312352
"Real estate,ownership of dwellings and business services","Real estate,ownership of dwellings and business services",169504,182089,193247,207237,227634,289945,342583,383968,438293,518885
"Public administration","Public administration",318959,363613,421791,489478,644180,698414,887972,1190601,1249782,1458907
"Other services","Other services",306232,337887,368627,410922,469370,644878,784636,940281,1091316,1238113
Services,Total,1193506,1324800,1494900,1698606,2017438,2365767,2825632,3511365,3929519,4513992
"State domestic product",Total,2730462,2991985,3323011,3709863,4231484,4838451,5807257,6818513,7755792,8731872
