Category,Sector,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14
"Ag and Allied",Agriculture,679460,736560,865457,993415,1242345,1169165,1467068,1842472,2124672,2450095
"Ag and Allied","Forestry and logging",201104,225732,387324,282881,267807,300348,385521,388793,427187,469373
"Ag and Allied",Fishing,11108,14320,22146,27801,31061,36087,44156,56312,79115,101120
"Ag and Allied",Total,891672,976612,1274927,1304097,1541213,1505600,1896745,2287577,2630974,3020588
"Mining and quarrying","Mining and quarrying",652343,738834,721727,814535,968461,1399230,1644851,1671453,1911913,2186967
Manufacturing,Total,2012916,1647398,1522474,2572822,1981328,1985066,2649975,3088560,3292597,3512899
Manufacturing,Registered,1732960,1339721,1167151,2159080,1531740,1494019,2084434,2450370,2574682,2705300
Manufacturing,Unregistered,279956,307677,355323,413742,449588,491047,565541,638190,717915,807599
Construction,Construction,361928,440370,535630,599645,737325,809118,1071165,1267606,1516178,1813495
"Electricity,gas and Water supply","Electricity,gas and Water supply",88992,85802,106347,122085,85524,94273,73120,73186,71170,69209
Industry,Total,3116179,2912404,2886178,4109087,3772638,4287687,5439111,6100805,6791858,7582570
"Transport,storage and communication",Total,360010,395091,482273,565144,638495,781464,833982,891250,1028370,1179059
"Transport,storage and communication",Railways,159803,165975,220080,252262,289944,353835,329491,305575,343744,378283
"Transport,storage and communication","Transport by other means",151473,170239,203058,248491,277847,340516,417376,486864,575237,679650
"Transport,storage and communication",Storage,1117,1176,1410,1696,2045,2641,3202,3769,4484,5335
"Transport,storage and communication",Communication,47617,57701,57725,62695,68659,84472,83913,95042,104905,115791
"Trade,hotels and restaurants","Trade,hotels and restaurants",604909,697917,800871,975642,1040890,1212515,1487255,1706437,1978942,2294965
"Banking and Insurance","Banking and Insurance",137474,146364,176133,205163,230002,276305,364727,406629,471674,550262
"Real estate,ownership of dwellings and business services","Real estate,ownership of dwellings and business services",211484,241578,285128,321991,345785,443218,567361,579483,669234,772887
"Public administration","Public administration",233998,232265,245754,274676,382596,507622,910297,1004231,1236540,1522589
"Other services","Other services",420046,487823,542211,639159,827774,1047657,1228627,1412731,1680008,1997851
Services,Total,1967921,2201038,2532370,2981775,3465542,4268781,5392249,6000761,7064768,8317613
"State domestic product",Total,5975772,6090054,6693475,8394959,8779393,10062068,12728105,14389143,16487600,18920771
