Category,Sector,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14
"Ag and Allied",Agriculture,2645533,3258811,3326756,3902162,4061267,4679203,6244015,6254817,6505536,6857264
"Ag and Allied","Forestry and logging",410446,487580,517723,618246,712737,609929,884717,864026,1013492,1192636
"Ag and Allied",Fishing,63005,83343,94182,91134,149603,175104,246464,272350,296163,323791
"Ag and Allied",Total,3118984,3829735,3938661,4611542,4923607,5464235,7375196,7391193,7815191,8373691
"Mining and quarrying","Mining and quarrying",192570,231563,293582,536287,538106,463971,762667,392228,409908,427996
Manufacturing,Total,3059886,3338519,4367417,4845468,5776686,5529466,6262942,6744628,7157096,7378550
Manufacturing,Registered,2378054,2576571,3486371,3833634,4538212,4346206,4897668,5221418,5536217,5706137
Manufacturing,Unregistered,681833,761948,881046,1011834,1238474,1183260,1365274,1523210,1620879,1672413
Construction,Construction,1425971,1788145,2129827,2693304,2965166,3082831,3873002,4460544,4998918,5430114
"Electricity,gas and Water supply","Electricity,gas and Water supply",370448,445846,479264,534564,444085,745650,871434,1064834,1154363,1313356
Industry,Total,5048876,5804072,7270090,8609623,9724042,9821917,11770045,12662234,13720285,14550016
"Transport,storage and communication",Total,1159170,1317408,1473020,1666840,1959476,2334533,2624407,3075985,3861849,4508328
"Transport,storage and communication",Railways,100265,108463,130905,158577,152007,168908,166009,180324,207162,226786
"Transport,storage and communication","Transport by other means",735639,858893,978959,1122143,1360782,1620332,1936713,2393852,2847623,3276670
"Transport,storage and communication",Storage,2976,3589,4626,4777,4987,8269,7593,9679,10665,11203
"Transport,storage and communication",Communication,320291,346462,358530,381342,441700,537024,514092,492130,796399,993669
"Trade,hotels and restaurants","Trade,hotels and restaurants",2313861,2847192,3209902,3904743,4377978,4744384,5842082,6415994,7034932,7537866
"Banking and Insurance","Banking and Insurance",1021207,1100446,1285566,1511153,1827914,1997937,2271773,2662590,3124751,3619365
"Real estate,ownership of dwellings and business services","Real estate,ownership of dwellings and business services",2159579,2656062,3239827,3955865,4803937,5629069,6650225,8161354,10006533,12277533
"Public administration","Public administration",661552,731954,830073,1002339,1232246,1205939,1359772,1652246,1974075,2221254
"Other services","Other services",1191484,1303538,1476567,1800774,2182033,2557835,3176816,3867841,4912587,6293061
Services,Total,8506853,9956600,11514955,13841714,16383583,18469698,21925075,25836010,30914727,36457407
"State domestic product",Total,16674713,19590407,22723706,27062879,31031233,33755850,41070316,45889437,52450203,59381114
