"Sl. No.",Sector,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14
1,Agriculture,2645533,3258811,3326756,3902162,4061267,4679203,6244015,6198503,6652655,6491849
2,"Forestry & logging",410446,487580,517723,618246,712737,609929,884717,864026,1146457,1339682
3,Fishing,63005,83343,94182,91134,149603,175104,246464,272350,319340,323791
Total,"Ag & Allied",3118984,3829735,3938661,4611542,4923607,5464235,7375196,7334879,8118453,8155322
4,"Mining & quarrying",192570,231563,293582,536287,538106,463971,762667,400512,399781,417002
5,Manufacturing,3059886,3338519,4367417,4845468,5776686,5529466,6262942,7000882,7462699,7853302
5.1,Registered,2378054,2576571,3486371,3833634,4538212,4346206,4897668,5475337,5844546,6183986
5.2,Unregistered,681833,761948,881046,1011834,1238474,1183260,1365274,1525545,1618153,1669316
6,Construction,1425971,1788145,2129827,2693304,2965166,3082831,3873002,4512772,4876070,5298291
7,"Electricity,gas and Water supply",370448,445846,479264,534564,444085,745650,871434,996916,1066383,1202617
Total,Industry,5048876,5804072,7270090,8609623,9724042,9821917,11770045,12911082,13804933,14771212
8,"Transport,storage & communication",1159170,1317408,1473020,1666840,1959476,2334533,2624407,3203823,3774551,4576596
8.1,Railways,100265,108463,130905,158577,152007,168908,166009,204420,228916,250601
8.2,"Transport by other means",735639,858893,978959,1122143,1360782,1620332,1936713,2419829,2878770,3307186
8.3,Storage,2976,3589,4626,4777,4987,8269,7593,9394,10870,11408
8.4,Communication,320291,346462,358530,381342,441700,537024,514092,570180,655996,1007401
9,"Trade,hotels and restaurants",2313861,2847192,3209902,3904743,4377978,4744384,5842082,6175415,6867492,7313190
10,"Banking & Insurance",1021207,1100446,1285566,1511153,1827914,1997937,2271773,2663942,3044474,3526380
11,"Real estate,ownership of dwellings and business services",2159579,2656062,3239827,3955865,4803937,5629069,6650225,7884549,9501052,11543405
12,"Public administration",661552,731954,830073,1002339,1232246,1205939,1359772,1468805,1888865,2100672
13,"Other services",1191484,1303538,1476567,1800774,2182033,2557835,3176816,3878741,4911072,6288587
Total,Services,8506853,9956600,11514955,13841714,16383583,18469698,21925075,25275275,29987506,35348831
14,"State domestic product (` Lakh)",16674713,19590407,22723706,27062879,31031233,33755850,41070316,45521235,51910892,58275364
