"Sl. No.",Sector,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14
1,Agriculture,1698051,1894914,2082101,2221633,2492744,2574835,3401238,4037910,4028847,4309647
2,"Forestry & logging",204902,258787,229261,260832,351414,416919,400484,401532,426385,482827
3,Fishing,181422,248196,264409,263431,268413,323461,340990,377443,515239,626454
Total,"Ag & Allied",2084375,2401897,2575771,2745896,3112571,3315215,4142712,4816885,4970471,5418928
4,"Mining & quarrying",45778,68092,62343,136876,129937,172531,174515,233232,245200,190791
5,Manufacturing,1022058,1092095,1229466,1508223,1735690,1756980,2047096,2242856,2407915,2604175
5.1,Registered,457614,479855,500903,643781,836319,777588,934538,993667,1071208,1163073
5.2,Unregistered,564444,612240,728563,864442,899371,979392,1112558,1249189,1336707,1441103
6,Construction,1448764,1744919,1997812,2173999,2321153,2821823,3519114,4001345,4397675,4664792
7,"Electricity,gas and Water supply",218290,241735,261348,285733,245380,310975,349160,403460,481786,528579
Total,Industry,2734890,3146841,3550969,4104831,4432160,5062310,6089885,6880892,7532576,7988338
8,"Transport,storage & communication",1183377,1335474,1493931,1641203,1959396,2264399,2638204,3087751,3528780,4292701
8.1,Railways,54765,55109,61413,62437,87296,108003,98555,100322,113287,115541
8.2,"Transport by other means",831308,956762,1081865,1207848,1465612,1704876,2036179,2398890,2748408,3321344
8.3,Storage,5063,5384,6549,8056,9456,11255,13577,16601,19544,23146
8.4,Communication,292241,318219,344104,362862,397032,440265,489893,571938,647541,832670
9,"Trade,hotels and restaurants",2387056,2803964,3170077,3560040,4268598,5202700,5298568,5804536,6470774,7103733
10,"Banking & Insurance",606049,668563,761235,871788,1024586,1127933,1373636,1573711,1811439,2122131
11,"Real estate,ownership of dwellings and business services",1301911,1543386,1793201,2151609,2614383,3005049,3469996,4039505,4745652,5645198
12,"Public administration",497921,554832,646446,774267,898236,942743,1032503,1450200,2193720,2431105
13,"Other services",1130821,1229219,1386858,1664474,1968349,2279518,2331826,3614237,3530664,4626112
Total,Services,7107135,8135438,9251748,10663381,12733548,14822343,16144733,19569939,22281031,26220980
14,"State domestic product (` Lakh)",11926400,13684176,15378488,17514108,20278279,23199867,26377330,31267716,34784078,39628246
