Category,Sector,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14
"Ag and Allied",Agriculture,2753979,3058330,3415396,3593132,4400691,5300467,5919124,7622014,10159094,14511321
"Ag and Allied","Forestry and logging",342010,364771,383378,413820,476184,559152,623500,719989,791127,837575
"Ag and Allied",Fishing,27841,27725,33287,31888,42053,48081,53382,64920,77215,91644
"Ag and Allied",Total,3123830,3450826,3832061,4038840,4918928,5907700,6596006,8406923,11027436,15440540
"Mining and quarrying","Mining and quarrying",544934,581329,621464,794256,963434,1033866,987215,1008530,964739,951127
Manufacturing,Total,1255729,1391309,1890980,2106421,2642026,2877484,3022513,3412728,3699478,3798237
Manufacturing,Registered,760612,859662,1274694,1402849,1884534,2053569,2095884,2344018,2547668,2614381
Manufacturing,Unregistered,495117,531647,616286,703572,757492,823915,926629,1068710,1151810,1183856
Construction,Construction,932423,1076884,1155614,1492048,2087627,2272221,2853082,3388411,4025457,4504768
"Electricity,gas and Water supply","Electricity,gas and Water supply",332722,326636,458967,324190,383569,539179,792013,782778,844734,1077941
Industry,Total,3065808,3376158,4127025,4716915,6076656,6722750,7654823,8592447,9534408,10332073
"Transport,storage and communication",Total,663813,728042,873886,960435,1103337,1264017,1400869,1585757,1853874,2157173
"Transport,storage and communication",Railways,198495,196046,265450,278168,286151,318795,307926,324586,367669,400384
"Transport,storage and communication","Transport by other means",332432,387287,459550,526232,605698,699786,871249,1066025,1288673,1530389
"Transport,storage and communication",Storage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transport,storage and communication",Communication,132886,144709,148886,156035,211488,245436,221694,195146,197532,226400
"Trade,hotels and restaurants","Trade,hotels and restaurants",1534159,1637451,1971304,2253668,2555508,2902519,3221438,3759417,4316454,5008108
"Banking and Insurance","Banking and Insurance",410720,450782,526085,586541,724334,870406,1162576,1467100,1651538,2079395
"Real estate,ownership of dwellings and business services","Real estate,ownership of dwellings and business services",923724,1058593,1216285,1455123,1672091,1940113,2365828,2807996,3296874,3705012
"Public administration","Public administration",554567,602717,626567,688236,951155,1115475,1374069,1581935,1906365,2175583
"Other services","Other services",1016068,1123030,1284468,1448181,1725611,2032684,2563964,2965456,3630117,4192155
Services,Total,5103051,5600615,6498595,7392184,8732036,10125214,12088744,14167661,16655222,19317426
"State domestic product",Total,11292689,12427599,14457681,16147939,19727620,22755664,26339573,31167031,37217066,45090039
